Category,Name,Value,Usage,Description,Severity
Size,Scrollbar Width Large,8px,大滚动条宽度,大尺寸滚动条宽度8px,Medium
Size,Scrollbar Width Default,6px,默认滚动条宽度,默认滚动条宽度6px,High
Size,Scrollbar Width Small,4px,小滚动条宽度,小尺寸滚动条宽度4px,Medium
Size,Scrollbar Height Large,8px,大滚动条高度,大尺寸滚动条高度8px,Medium
Size,Scrollbar Height Default,6px,默认滚动条高度,默认滚动条高度6px,High
Size,Scrollbar Height Small,4px,小滚动条高度,小尺寸滚动条高度4px,Medium
Size,Scrollbar Thumb Min Length,30px,滑块最小长度,滚动条滑块最小长度30px,High
Size,Scrollbar Thumb Border Radius,3px,滑块圆角,滚动条滑块圆角3px,High
Size,Scrollbar Track Border Radius,3px,轨道圆角,滚动条轨道圆角3px,Medium
Size,Scrollbar Padding,2px,滚动条内边距,滚动条内边距2px,Low
Color,Scrollbar Track Background,transparent,轨道背景,滚动条轨道透明背景,High
Color,Scrollbar Track Background Visible,#F7F8FA,轨道背景可见,滚动条轨道浅灰背景#F7F8FA,Medium
Color,Scrollbar Thumb Background,#C9CDD4,滑块背景,滚动条滑块灰色背景#C9CDD4,High
Color,Scrollbar Thumb Hover Background,#86909C,滑块悬停背景,滚动条滑块悬停深灰背景#86909C,High
Color,Scrollbar Thumb Active Background,#4E5969,滑块激活背景,滚动条滑块激活更深灰背景#4E5969,Medium
Color,Scrollbar Thumb Disabled Background,#E5E6EB,滑块禁用背景,滚动条滑块禁用浅灰背景#E5E6EB,Low
Color,Scrollbar Border Color,transparent,边框颜色,滚动条边框透明,Low
Direction,Direction Horizontal,horizontal,水平方向,水平滚动条,High
Direction,Direction Vertical,vertical,垂直方向,垂直滚动条,High
Direction,Direction Both,both,双向滚动,水平和垂直滚动条,Medium
Position,Position Right,right,右侧位置,垂直滚动条在右侧,High
Position,Position Left,left,左侧位置,垂直滚动条在左侧,Low
Position,Position Bottom,bottom,底部位置,水平滚动条在底部,High
Position,Position Top,top,顶部位置,水平滚动条在顶部,Low
Type,Type Always,always,始终显示,滚动条始终显示,Medium
Type,Type Hover,hover,悬停显示,滚动条悬停时显示,High
Type,Type Auto,auto,自动显示,滚动条自动显示隐藏,High
Type,Type Hidden,hidden,隐藏滚动条,滚动条隐藏,Low
