Category,Name,Value,Usage,Description,Severity
Size,Notification Width,384px,通知提醒框宽度,通知提醒框宽度384px,High
Size,Notification Min Height,80px,通知提醒框最小高度,通知提醒框最小高度80px,Medium
Size,Notification Max Height,none,通知提醒框最大高度,通知提醒框无最大高度限制,Low
Size,Notification Padding,16px 24px,通知提醒框内边距,通知提醒框内边距上下16px左右24px,High
Size,Notification Padding With Icon,16px 24px 16px 48px,带图标内边距,带图标通知提醒框左侧内边距48px,High
Size,Notification Padding With Close,16px 48px 16px 24px,带关闭内边距,带关闭按钮右侧内边距48px,Medium
Size,Notification Border Radius,4px,通知提醒框圆角,通知提醒框圆角4px,High
Size,Notification Icon Size,20px,通知提醒框图标大小,通知提醒框图标大小20px,High
Size,Notification Icon Gap,12px,通知提醒框图标间距,图标与文字间距12px,Medium
Size,Notification Close Icon Size,14px,关闭图标大小,关闭图标大小14px,Medium
Size,Notification Title Font Size,16px,通知提醒框标题字号,通知提醒框标题文字16px,High
Size,Notification Content Font Size,14px,通知提醒框内容字号,通知提醒框内容文字14px,High
Size,Notification Title Line Height,24px,通知提醒框标题行高,通知提醒框标题行高24px,Medium
Size,Notification Content Line Height,22px,通知提醒框内容行高,通知提醒框内容行高22px,Medium
Size,Notification Title Margin Bottom,4px,标题下边距,标题下边距4px,Low
Color,Notification Background,#FFFFFF,通知提醒框背景,通知提醒框白色背景,High
Color,Notification Border Color,#E5E6EB,通知提醒框边框颜色,通知提醒框灰色边框#E5E6EB,Medium
Color,Notification Title Color,#1D2129,标题颜色,通知提醒框标题深色文字#1D2129,High
Color,Notification Content Color,#4E5969,内容颜色,通知提醒框内容灰色文字#4E5969,High
Color,Notification Close Icon Color,#86909C,关闭图标颜色,关闭图标灰色#86909C,Medium
Color,Notification Close Icon Hover Color,#4E5969,关闭图标悬停颜色,关闭图标悬停深灰#4E5969,Medium
Color,Notification Icon Info Color,#165DFF,信息图标颜色,信息图标蓝色#165DFF,High
Color,Notification Icon Success Color,#00B42A,成功图标颜色,成功图标绿色#00B42A,High
Color,Notification Icon Warning Color,#FF7D00,警告图标颜色,警告图标橙色#FF7D00,High
Color,Notification Icon Error Color,#F53F3F,错误图标颜色,错误图标红色#F53F3F,High
Shadow,Notification Shadow,0 4px 10px rgba(0 0 0 0.1),通知提醒框阴影,通知提醒框阴影效果,High
Shadow,Notification Shadow Large,0 6px 16px rgba(0 0 0 0.12),通知提醒框大阴影,通知提醒框大阴影效果,Medium
Border,Notification Border Width,1px,通知提醒框边框宽度,通知提醒框边框宽度1px,Medium
Border,Notification Border Style,solid,通知提醒框边框样式,通知提醒框实线边框,High
Position,Position Top Right,top-right,右上角位置,通知提醒框在右上角,High
Position,Position Top Left,top-left,左上角位置,通知提醒框在左上角,Medium
Position,Position Bottom Right,bottom-right,右下角位置,通知提醒框在右下角,Medium
Position,Position Bottom Left,bottom-left,左下角位置,通知提醒框在左下角,Low
Position,Position Top,top,顶部中心位置,通知提醒框在顶部中心,Low
Position,Position Bottom,bottom,底部中心位置,通知提醒框在底部中心,Low
Offset,Offset Top,24px,顶部偏移,通知提醒框距离顶部24px,High
Offset,Offset Right,24px,右侧偏移,通知提醒框距离右侧24px,High
Offset,Offset Bottom,24px,底部偏移,通知提醒框距离底部24px,Medium
