Category,Name,Value,Usage,Description,Severity
Purpose,Input Purpose,文本输入,输入框用途,通过鼠标或键盘输入内容是最基础的表单域的包装,High
Purpose,Input Scenario,表单数据录入,使用场景,用于表单数据录入场景,High
Purpose,Input Behavior,键盘输入文本,输入行为,通过键盘输入文本内容,High
Type,Type Text,文本输入框,文本类型,单行文本输入框,High
Type,Type Password,密码输入框,密码类型,密码输入框内容隐藏,High
Type,Type Textarea,文本域,多行文本,多行文本输入框,High
Type,Type Search,搜索输入框,搜索类型,带搜索图标的输入框,Medium
Type,Type Number,数字输入框,数字类型,仅允许输入数字,Medium
Size,Size Large,40px,大尺寸,大尺寸输入框高度40px,Medium
Size,Size Default,32px,默认尺寸,默认尺寸输入框高度32px,High
Size,Size Small,28px,小尺寸,小尺寸输入框高度28px,Medium
Size,Size Mini,24px,迷你尺寸,迷你尺寸输入框高度24px,Low
Structure,Input Height Large,40px,大输入框高度,大尺寸输入框高度40px,Medium
Structure,Input Height Default,32px,默认输入框高度,默认尺寸输入框高度32px,High
Structure,Input Height Small,28px,小输入框高度,小尺寸输入框高度28px,Medium
Structure,Input Height Mini,24px,迷你输入框高度,迷你尺寸输入框高度24px,Low
Structure,Input Padding Large,0 12px,大输入框内边距,大尺寸输入框左右内边距12px,Medium
Structure,Input Padding Default,0 12px,默认输入框内边距,默认尺寸输入框左右内边距12px,High
Structure,Input Padding Small,0 8px,小输入框内边距,小尺寸输入框左右内边距8px,Medium
Structure,Input Border Radius,2px,输入框圆角,输入框圆角2px,High
Structure,Input Border Width,1px,输入框边框宽度,输入框边框宽度1px,Medium
Default,Default Background,#FFFFFF,默认背景,默认状态白色背景,High
Default,Default Border,1px solid #E5E6EB,默认边框,默认状态灰色边框#E5E6EB,High
Default,Default Color,#1D2129,默认文字颜色,默认状态深色文字,High
Default,Default Placeholder,#C9CDD4,默认占位符颜色,默认状态占位符灰色#C9CDD4,High
Hover,Hover Background,#FFFFFF,悬停背景,悬停状态白色背景,Medium
Hover,Hover Border,1px solid #C9CDD4,悬停边框,悬停状态深灰边框#C9CDD4,Medium
Focus,Focus Background,#FFFFFF,聚焦背景,聚焦状态白色背景,High
Focus,Focus Border,1px solid #165DFF,聚焦边框,聚焦状态蓝色边框#165DFF,High
Focus,Focus Shadow,0 0 0 2px rgba(22 93 255 0.1),聚焦阴影,聚焦状态蓝色阴影,High
Disabled,Disabled Background,#F2F3F5,禁用背景,禁用状态灰色背景#F2F3F5,High
Disabled,Disabled Border,1px solid #E5E6EB,禁用边框,禁用状态灰色边框,High
Disabled,Disabled Color,#C9CDD4,禁用文字颜色,禁用状态灰色文字,High
Disabled,Disabled Cursor,not-allowed,禁用光标,禁用状态禁止光标,Medium
Readonly,Readonly Background,#F7F8FA,只读背景,只读状态浅灰背景,Medium
Readonly,Readonly Border,1px solid #E5E6EB,只读边框,只读状态灰色边框,Medium
Readonly,Readonly Color,#1D2129,只读文字颜色,只读状态深色文字,Medium
Error,Error Background,#FFFFFF,错误背景,错误状态白色背景,High
Error,Error Border,1px solid #F53F3F,错误边框,错误状态红色边框#F53F3F,High
