Category,Name,Value,Usage,Description,Severity
Purpose,Form Purpose,表单,表单用途,表单用于收集用户输入的信息并进行校验提交,High
Purpose,Form Scenario,数据录入,使用场景,用于登录注册/信息录入/数据编辑等场景,High
Purpose,Form Behavior,填写提交,表单行为,用户填写表单项并提交数据,High
Type,Type Horizontal,水平表单,水平布局,标签在左控件在右的水平布局表单,High
Type,Type Vertical,垂直表单,垂直布局,标签在上控件在下的垂直布局表单,High
Type,Type Inline,行内表单,行内布局,表单项在一行内排列的行内布局,Medium
Type,Type Modal,弹窗表单,弹窗表单,在弹窗中展示的表单,High
Type,Type Drawer,抽屉表单,抽屉表单,在抽屉中展示的表单,High
Type,Type Step,分步表单,分步表单,分多个步骤填写的表单,Medium
Type,Type Filter,筛选表单,筛选表单,用于列表筛选的表单,High
Layout,Layout Horizontal,horizontal,水平布局,标签和控件水平排列,High
Layout,Layout Vertical,vertical,垂直布局,标签和控件垂直排列,High
Layout,Layout Inline,inline,行内布局,表单项行内排列,Medium
Layout,Layout Label Position,left/top,标签位置,标签在左侧或顶部,High
Layout,Layout Label Align,right/left,标签对齐,水平布局时标签对齐方式,High
Layout,Layout Label Width,auto/fixed,标签宽度,标签宽度自适应或固定,High
Layout,Layout Colon,true,显示冒号,水平布局时标签后显示冒号,Medium
FormItem,Item Margin Bottom,24px,表单项底部间距,表单项之间底部间距24px,High
FormItem,Item Margin Bottom Compact,16px,紧凑底部间距,紧凑模式表单项间距16px,Medium
FormItem,Item Margin Bottom Large,32px,宽松底部间距,宽松模式表单项间距32px,Low
FormItem,Item Display,flex,表单项显示,表单项flex布局,High
FormItem,Item Align Items,flex-start,表单项对齐,表单项顶部对齐,Medium
FormItem,Item Flex Wrap,wrap,表单项换行,表单项内容换行,Medium
Label,Label Font Size,14px,标签字号,标签文字字号14px,High
Label,Label Color,#1D2129,标签颜色,标签深色文字#1D2129,High
Label,Label Font Weight,400,标签字重,标签常规字重,Medium
Label,Label Line Height,32px,标签行高,标签行高与控件高度一致32px,High
Label,Label Text Align,right,标签对齐,水平布局标签右对齐,High
Label,Label Padding Right,12px,标签右内边距,标签右侧内边距12px,High
Label,Label Width,auto,标签宽度,标签宽度自适应,Medium
Label,Label Fixed Width,100px,固定标签宽度,固定标签宽度100px,Medium
Label,Label Max Width,200px,最大标签宽度,标签最大宽度200px,Low
Label,Label Colon,:,标签冒号,水平布局标签后冒号,Medium
Label,Label Colon Margin,0 8px 0 2px,冒号间距,冒号左右间距,Low
Required,Required Show,true,显示必填,必填项显示红色星号,High
Required,Required Mark,*,必填标记,必填项红色星号标记,High
Required,Required Color,#F53F3F,必填颜色,必填星号红色#F53F3F,High
Required,Required Position,before,必填位置,必填星号在标签前,High
Required,Required Font Size,14px,必填字号,必填星号字号14px,Medium
Required,Required Margin Right,4px,必填右间距,必填星号右侧间距4px,Medium
Control,Control Min Height,32px,控件最小高度,表单控件最小高度32px,High
Control,Control Width,100%,控件宽度,表单控件默认全宽,High
Control,Control Max Width,none,控件最大宽度,表单控件无最大宽度限制,Medium
Control,Control Flex,1,控件弹性,表单控件弹性伸缩,Medium
Validation,Validation Trigger,blur,验证触发,失焦时触发验证,High
Validation,Validation Trigger Change,change,变化验证,值变化时触发验证,Medium
Validation,Validation Trigger Submit,submit,提交验证,提交时触发验证,High
Validation,Validation Status,success/warning/error/validating,验证状态,表单项验证状态,High
Validation,Validation First,false,首次验证,是否只验证第一个错误,Low
Error,Error Show,true,显示错误,验证失败显示错误信息,High
Error,Error Color,#F53F3F,错误颜色,错误信息红色#F53F3F,High
Error,Error Font Size,12px,错误字号,错误信息字号12px,High
Error,Error Line Height,20px,错误行高,错误信息行高20px,Medium
Error,Error Margin Top,4px,错误顶部间距,错误信息与控件间距4px,High
Error,Error Position,bottom,错误位置,错误信息在控件下方,High
Error,Error Icon,CloseCircleFilled,错误图标,错误状态图标,Medium
Error,Error Icon Color,#F53F3F,错误图标颜色,错误图标红色,Medium
Error,Error Border Color,#F53F3F,错误边框颜色,错误状态控件红色边框,High
Error,Error Background,transparent,错误背景,错误状态控件透明背景,Medium
Success,Success Color,#00B42A,成功颜色,成功状态绿色#00B42A,Medium
Success,Success Icon,CheckCircleFilled,成功图标,成功状态图标,Medium
Success,Success Border Color,#00B42A,成功边框颜色,成功状态控件绿色边框,Medium
Warning,Warning Color,#FF7D00,警告颜色,警告状态橙色#FF7D00,Medium
Warning,Warning Icon,ExclamationCircleFilled,警告图标,警告状态图标,Medium
Warning,Warning Border Color,#FF7D00,警告边框颜色,警告状态控件橙色边框,Medium
Help,Help Show,true,显示帮助,显示帮助提示信息,Medium
Help,Help Color,#86909C,帮助颜色,帮助信息灰色#86909C,Medium
Help,Help Font Size,12px,帮助字号,帮助信息字号12px,Medium
Help,Help Line Height,20px,帮助行高,帮助信息行高20px,Medium
Help,Help Margin Top,4px,帮助顶部间距,帮助信息与控件间距4px,Medium
Help,Help Position,bottom,帮助位置,帮助信息在控件下方,Medium
ModalForm,Modal Width,520px,弹窗宽度,弹窗表单默认宽度520px,High
ModalForm,Modal Width Large,720px,大弹窗宽度,大弹窗表单宽度720px,Medium
ModalForm,Modal Width Small,400px,小弹窗宽度,小弹窗表单宽度400px,Medium
ModalForm,Modal Padding,24px,弹窗内边距,弹窗内边距24px,High
ModalForm,Modal Header Height,56px,弹窗头部高度,弹窗头部高度56px,High
ModalForm,Modal Header Padding,0 24px,弹窗头部内边距,弹窗头部左右内边距24px,Medium
ModalForm,Modal Header Border Bottom,1px solid #E5E6EB,弹窗头部底边框,弹窗头部底部分隔线,Medium
ModalForm,Modal Header Title Font Size,16px,弹窗标题字号,弹窗标题字号16px,High
ModalForm,Modal Header Title Color,#1D2129,弹窗标题颜色,弹窗标题深色文字,High
ModalForm,Modal Header Title Font Weight,500,弹窗标题字重,弹窗标题中等字重,Medium
ModalForm,Modal Body Padding,24px,弹窗内容内边距,弹窗内容区内边距24px,High
ModalForm,Modal Body Max Height,60vh,弹窗内容最大高度,弹窗内容最大高度60vh,Medium
ModalForm,Modal Body Overflow,auto,弹窗内容溢出,弹窗内容溢出滚动,Medium
ModalForm,Modal Footer Height,56px,弹窗底部高度,弹窗底部高度56px,High
ModalForm,Modal Footer Padding,0 24px,弹窗底部内边距,弹窗底部左右内边距24px,Medium
ModalForm,Modal Footer Border Top,1px solid #E5E6EB,弹窗底部顶边框,弹窗底部顶部分隔线,Medium
