Category,Name,Value,Usage,Description,Severity
Size,Alert Height,auto,警告提示高度,警告提示高度自动,High
Size,Alert Min Height,40px,警告提示最小高度,警告提示最小高度40px,Medium
Size,Alert Padding,8px 12px,警告提示内边距,警告提示内边距上下8px左右12px,High
Size,Alert Padding With Icon,8px 12px 8px 40px,带图标内边距,带图标警告提示左侧内边距40px,High
Size,Alert Padding With Close,8px 40px 8px 12px,带关闭内边距,带关闭按钮右侧内边距40px,Medium
Size,Alert Border Radius,4px,警告提示圆角,警告提示圆角4px,High
Size,Alert Border Width,1px,警告提示边框宽度,警告提示边框宽度1px,Medium
Size,Alert Icon Size,16px,警告提示图标大小,警告提示图标大小16px,High
Size,Alert Icon Gap,8px,警告提示图标间距,图标与文字间距8px,Medium
Size,Alert Close Icon Size,14px,关闭图标大小,关闭图标大小14px,Medium
Size,Alert Title Font Size,14px,警告提示标题字号,警告提示标题文字14px,High
Size,Alert Content Font Size,14px,警告提示内容字号,警告提示内容文字14px,High
Size,Alert Title Line Height,22px,警告提示标题行高,警告提示标题行高22px,Medium
Size,Alert Content Line Height,22px,警告提示内容行高,警告提示内容行高22px,Medium
Size,Alert Title Margin Bottom,4px,标题下边距,标题下边距4px,Low
Type,Type Info,info,信息类型,信息警告提示,High
Type,Type Success,success,成功类型,成功警告提示,High
Type,Type Warning,warning,警告类型,警告警告提示,High
Type,Type Error,error,错误类型,错误警告提示,High
Color Info,Info Background,#E8F3FF,信息背景,信息警告提示浅蓝背景#E8F3FF,High
Color Info,Info Border,#BEDAFF,信息边框,信息警告提示浅蓝边框#BEDAFF,Medium
Color Info,Info Color,#1D2129,信息文字,信息警告提示深色文字#1D2129,High
Color Info,Info Icon Color,#165DFF,信息图标,信息警告提示蓝色图标#165DFF,High
Color Info,Info Link Color,#165DFF,信息链接,信息警告提示蓝色链接#165DFF,Medium
Color Success,Success Background,#E8FFEA,成功背景,成功警告提示浅绿背景#E8FFEA,High
Color Success,Success Border,#AFF0B5,成功边框,成功警告提示浅绿边框#AFF0B5,Medium
Color Success,Success Color,#1D2129,成功文字,成功警告提示深色文字#1D2129,High
Color Success,Success Icon Color,#00B42A,成功图标,成功警告提示绿色图标#00B42A,High
Color Success,Success Link Color,#00B42A,成功链接,成功警告提示绿色链接#00B42A,Medium
Color Warning,Warning Background,#FFF7E8,警告背景,警告警告提示浅橙背景#FFF7E8,High
Color Warning,Warning Border,#FFCF8B,警告边框,警告警告提示浅橙边框#FFCF8B,Medium
Color Warning,Warning Color,#1D2129,警告文字,警告警告提示深色文字#1D2129,High
Color Warning,Warning Icon Color,#FF7D00,警告图标,警告警告提示橙色图标#FF7D00,High
Color Warning,Warning Link Color,#FF7D00,警告链接,警告警告提示橙色链接#FF7D00,Medium
Color Error,Error Background,#FFECE8,错误背景,错误警告提示浅红背景#FFECE8,High
Color Error,Error Border,#FBACA3,错误边框,错误警告提示浅红边框#FBACA3,Medium
Color Error,Error Color,#1D2129,错误文字,错误警告提示深色文字#1D2129,High
Color Error,Error Icon Color,#F53F3F,错误图标,错误警告提示红色图标#F53F3F,High
Color Error,Error Link Color,#F53F3F,错误链接,错误警告提示红色链接#F53F3F,Medium
Icon,Icon Position,left,图标位置,图标在左侧,High
Icon,Icon Vertical Align,top,图标垂直对齐,图标顶部对齐,Medium
Icon,Icon Info,InfoCircleFilled,信息图标,信息类型使用InfoCircleFilled图标,High
Icon,Icon Success,CheckCircleFilled,成功图标,成功类型使用CheckCircleFilled图标,High
Icon,Icon Warning,ExclamationCircleFilled,警告图标,警告类型使用ExclamationCircleFilled图标,High
Icon,Icon Error,CloseCircleFilled,错误图标,错误类型使用CloseCircleFilled图标,High
Icon,Show Icon,true,显示图标,显示类型图标,High
Icon,Hide Icon,false,隐藏图标,隐藏类型图标,Low
Close,Closable,false,可关闭,警告提示不可关闭,High
Close,Closable Enabled,true,启用关闭,警告提示可关闭,High
Close,Close Icon,CloseOutlined,关闭图标,使用CloseOutlined图标,High
Close,Close Icon Position,top-right,关闭图标位置,关闭图标在右上角,High
Close,Close Icon Color,#86909C,关闭图标颜色,关闭图标灰色#86909C,Medium
Close,Close Icon Hover Color,#4E5969,关闭图标悬停颜色,关闭图标悬停深灰#4E5969,Medium
Close,Close Button Size,24px,关闭按钮大小,关闭按钮大小24px,Medium
Close,Close Button Padding,4px,关闭按钮内边距,关闭按钮内边距4px,Low
Title,Title Visible,true,显示标题,显示警告提示标题,High
Title,Title Hidden,false,隐藏标题,隐藏警告提示标题,Medium
Title,Title Font Weight,500,标题字重,警告提示标题字重500,High
Title,Title Color,#1D2129,标题颜色,警告提示标题深色#1D2129,High
Title,Title Max Lines,1,标题最大行数,标题最多1行,Medium
Title,Title Overflow,ellipsis,标题溢出,标题溢出显示省略号,Low
Content,Content Visible,true,显示内容,显示警告提示内容,High
Content,Content Hidden,false,隐藏内容,隐藏警告提示内容,Low
Content,Content Font Weight,400,内容字重,警告提示内容字重400,High
Content,Content Color,#4E5969,内容颜色,警告提示内容灰色#4E5969,Medium
Content,Content Max Lines,none,内容最大行数,内容无最大行数限制,Low
Content,Content Word Break,break-word,内容换行,内容过长自动换行,Medium
Banner,Banner Mode,false,横幅模式,不启用横幅模式,Medium
Banner,Banner Mode Enabled,true,启用横幅模式,启用横幅模式,Medium
Banner,Banner Border Radius,0,横幅圆角,横幅模式圆角0,Low
Banner,Banner Full Width,true,横幅全宽,横幅模式全宽显示,Medium
Banner,Banner Margin,0,横幅外边距,横幅模式外边距0,Low
Action,Action Visible,false,显示操作,不显示操作按钮,Medium
Action,Action Enabled,true,启用操作,启用操作按钮,Medium
Action,Action Position,right,操作位置,操作按钮在右侧,Medium
Action,Action Gap,8px,操作间距,操作按钮间距8px,Low
Action,Action Button Type,text,操作按钮类型,操作按钮文字类型,Medium
Action,Action Button Size,small,操作按钮大小,操作按钮小尺寸,Low
Animation,Animation Enabled,true,启用动画,启用警告提示动画,Medium
Animation,Animation Duration,0.3s,动画时长,警告提示动画时长0.3s,Low
Animation,Animation Timing,ease-in-out,动画曲线,警告提示动画曲线ease-in-out,Low
Animation,Fade In Duration,0.3s,淡入时长,警告提示淡入时长0.3s,Low
Animation,Fade Out Duration,0.3s,淡出时长,警告提示淡出时长0.3s,Low
Animation,Slide Down Duration,0.3s,下滑时长,警告提示下滑时长0.3s,Low
State,State Visible,visible,显示状态,警告提示显示状态,High
State,State Hidden,hidden,隐藏状态,警告提示隐藏状态,High
State,State Closing,closing,关闭中状态,警告提示关闭中状态,Medium
Layout,Layout Horizontal,horizontal,水平布局,图标和内容水平排列,High
Layout,Layout Vertical,vertical,垂直布局,图标和内容垂直排列,Low
Layout,Layout Inline,inline,行内布局,行内显示警告提示,Low
Layout,Layout Block,block,块级布局,块级显示警告提示,High
Description,Description Visible,false,显示描述,不显示描述内容,Medium
Description,Description Enabled,true,启用描述,启用描述内容,Medium
Description,Description Font Size,14px,描述字号,描述内容文字14px,Medium
Description,Description Color,#4E5969,描述颜色,描述内容灰色#4E5969,Medium
Description,Description Line Height,22px,描述行高,描述内容行高22px,Low
Description,Description Margin Top,4px,描述上边距,描述内容上边距4px,Low
Link,Link Visible,false,显示链接,不显示链接,Low
Link,Link Enabled,true,启用链接,启用链接,Low
Link,Link Color,inherit,链接颜色,链接颜色继承类型颜色,Medium
