Category,Name,Value,Usage,Description,Severity
Size,Tag Height Small,22px,小标签高度,小标签高度22px,Medium
Size,Tag Height Default,24px,默认标签高度,默认标签高度24px,High
Size,Tag Height Large,28px,大标签高度,大标签高度28px,Medium
Size,Tag Padding Small,0 8px,小标签内边距,小标签左右内边距8px,Medium
Size,Tag Padding Default,0 8px,默认标签内边距,默认标签左右内边距8px,High
Size,Tag Padding Large,0 12px,大标签内边距,大标签左右内边距12px,Medium
Size,Tag Font Size Small,12px,小标签字号,小标签文字12px,Medium
Size,Tag Font Size Default,12px,默认标签字号,默认标签文字12px,High
Size,Tag Font Size Large,14px,大标签字号,大标签文字14px,Medium
Size,Tag Border Radius,2px,标签圆角,标签圆角2px,High
Size,Tag Icon Size,12px,标签图标大小,标签内图标12px,Medium
Size,Tag Icon Gap,4px,标签图标间距,图标与文字间距4px,Medium
Size,Tag Close Icon Size,12px,关闭图标大小,关闭图标大小12px,Medium
Size,Tag Close Icon Gap,4px,关闭图标间距,关闭图标与文字间距4px,Medium
Size,Tag Line Height Small,22px,小标签行高,小标签行高22px,Low
Size,Tag Line Height Default,24px,默认标签行高,默认标签行高24px,Medium
Size,Tag Line Height Large,28px,大标签行高,大标签行高28px,Low
Color,Tag Default Background,#F2F3F5,默认标签背景,默认标签灰色背景#F2F3F5,High
Color,Tag Default Color,#4E5969,默认标签文字,默认标签灰色文字#4E5969,High
Color,Tag Default Border,#E5E6EB,默认标签边框,默认标签灰色边框#E5E6EB,Medium
Color,Tag Primary Background,#E8F3FF,主要标签背景,主要标签浅蓝背景#E8F3FF,High
Color,Tag Primary Color,#165DFF,主要标签文字,主要标签蓝色文字#165DFF,High
Color,Tag Primary Border,#BEDAFF,主要标签边框,主要标签浅蓝边框#BEDAFF,Medium
Color,Tag Success Background,#E8FFEA,成功标签背景,成功标签浅绿背景#E8FFEA,High
Color,Tag Success Color,#00B42A,成功标签文字,成功标签绿色文字#00B42A,High
Color,Tag Success Border,#AFF0B5,成功标签边框,成功标签浅绿边框#AFF0B5,Medium
Color,Tag Warning Background,#FFF7E8,警告标签背景,警告标签浅橙背景#FFF7E8,High
Color,Tag Warning Color,#FF7D00,警告标签文字,警告标签橙色文字#FF7D00,High
Color,Tag Warning Border,#FFCF8B,警告标签边框,警告标签浅橙边框#FFCF8B,Medium
Color,Tag Danger Background,#FFECE8,危险标签背景,危险标签浅红背景#FFECE8,High
Color,Tag Danger Color,#F53F3F,危险标签文字,危险标签红色文字#F53F3F,High
Color,Tag Danger Border,#FBACA3,危险标签边框,危险标签浅红边框#FBACA3,Medium
Color,Tag Purple Background,#F5E8FF,紫色标签背景,紫色标签浅紫背景#F5E8FF,Medium
Color,Tag Purple Color,#722ED1,紫色标签文字,紫色标签紫色文字#722ED1,Medium
Color,Tag Purple Border,#D3ADF7,紫色标签边框,紫色标签浅紫边框#D3ADF7,Low
Color,Tag Cyan Background,#E8FFFB,青色标签背景,青色标签浅青背景#E8FFFB,Medium
Color,Tag Cyan Color,#14C9C9,青色标签文字,青色标签青色文字#14C9C9,Medium
Color,Tag Cyan Border,#87E8DE,青色标签边框,青色标签浅青边框#87E8DE,Low
Color,Tag Magenta Background,#FFE8F1,品红标签背景,品红标签浅红背景#FFE8F1,Medium
Color,Tag Magenta Color,#F5319D,品红标签文字,品红标签品红文字#F5319D,Medium
Color,Tag Magenta Border,#FFADD2,品红标签边框,品红标签浅红边框#FFADD2,Low
Type,Type Light,light,浅色类型,浅色背景标签,High
Type,Type Dark,dark,深色类型,深色背景标签,Medium
Type,Type Outlined,outlined,描边类型,描边标签,Medium
Type,Type Filled,filled,填充类型,填充背景标签,High
Dark,Dark Default Background,#4E5969,深色默认背景,深色默认标签背景#4E5969,Medium
Dark,Dark Default Color,#FFFFFF,深色默认文字,深色默认标签白色文字,Medium
Dark,Dark Primary Background,#165DFF,深色主要背景,深色主要标签蓝色背景#165DFF,High
Dark,Dark Primary Color,#FFFFFF,深色主要文字,深色主要标签白色文字,High
Dark,Dark Success Background,#00B42A,深色成功背景,深色成功标签绿色背景#00B42A,Medium
Dark,Dark Success Color,#FFFFFF,深色成功文字,深色成功标签白色文字,Medium
Dark,Dark Warning Background,#FF7D00,深色警告背景,深色警告标签橙色背景#FF7D00,Medium
Dark,Dark Warning Color,#FFFFFF,深色警告文字,深色警告标签白色文字,Medium
Dark,Dark Danger Background,#F53F3F,深色危险背景,深色危险标签红色背景#F53F3F,Medium
Dark,Dark Danger Color,#FFFFFF,深色危险文字,深色危险标签白色文字,Medium
Dark,Dark Purple Background,#722ED1,深色紫色背景,深色紫色标签背景#722ED1,Low
Dark,Dark Purple Color,#FFFFFF,深色紫色文字,深色紫色标签白色文字,Low
Outlined,Outlined Default Background,transparent,描边默认背景,描边默认标签透明背景,Medium
Outlined,Outlined Default Color,#4E5969,描边默认文字,描边默认标签灰色文字#4E5969,Medium
Outlined,Outlined Default Border,#E5E6EB,描边默认边框,描边默认标签灰色边框#E5E6EB,Medium
Outlined,Outlined Primary Background,transparent,描边主要背景,描边主要标签透明背景,Medium
Outlined,Outlined Primary Color,#165DFF,描边主要文字,描边主要标签蓝色文字#165DFF,High
Outlined,Outlined Primary Border,#165DFF,描边主要边框,描边主要标签蓝色边框#165DFF,High
Outlined,Outlined Success Background,transparent,描边成功背景,描边成功标签透明背景,Medium
Outlined,Outlined Success Color,#00B42A,描边成功文字,描边成功标签绿色文字#00B42A,Medium
Outlined,Outlined Success Border,#00B42A,描边成功边框,描边成功标签绿色边框#00B42A,Medium
Outlined,Outlined Warning Background,transparent,描边警告背景,描边警告标签透明背景,Medium
Outlined,Outlined Warning Color,#FF7D00,描边警告文字,描边警告标签橙色文字#FF7D00,Medium
Outlined,Outlined Warning Border,#FF7D00,描边警告边框,描边警告标签橙色边框#FF7D00,Medium
Outlined,Outlined Danger Background,transparent,描边危险背景,描边危险标签透明背景,Medium
Outlined,Outlined Danger Color,#F53F3F,描边危险文字,描边危险标签红色文字#F53F3F,Medium
Outlined,Outlined Danger Border,#F53F3F,描边危险边框,描边危险标签红色边框#F53F3F,Medium
Border,Border Width,1px,边框宽度,标签边框宽度1px,Medium
Border,Border Style,solid,边框样式,标签实线边框,High
Border,Border None,none,无边框,标签无边框,Low
Close,Closable,true,可关闭,标签可关闭,High
Close,Not Closable,false,不可关闭,标签不可关闭,High
Close,Close Icon,CloseOutlined,关闭图标,使用CloseOutlined图标,Medium
Close,Close Icon Hover Color,#1D2129,关闭图标悬停,关闭图标悬停深色#1D2129,Medium
Close,Close Icon Transition,all 0.2s,关闭图标过渡,关闭图标过渡动画0.2s,Low
Icon,Icon Position Left,left,图标左侧,图标在文字左侧,High
Icon,Icon Position Right,right,图标右侧,图标在文字右侧,Medium
Icon,Icon Only,icon-only,仅图标,仅显示图标,Medium
Icon,Icon Color Inherit,inherit,图标颜色继承,图标颜色继承文字颜色,High
Checkable,Checkable Enabled,true,可选中,标签可选中,Medium
Checkable,Checkable Disabled,false,不可选中,标签不可选中,High
Checkable,Checked Background,#165DFF,选中背景,选中标签蓝色背景#165DFF,High
Checkable,Checked Color,#FFFFFF,选中文字,选中标签白色文字,High
Checkable,Checked Border,#165DFF,选中边框,选中标签蓝色边框#165DFF,High
Checkable,Unchecked Background,#F2F3F5,未选中背景,未选中标签灰色背景#F2F3F5,Medium
Checkable,Unchecked Color,#4E5969,未选中文字,未选中标签灰色文字#4E5969,Medium
Checkable,Unchecked Border,#E5E6EB,未选中边框,未选中标签灰色边框#E5E6EB,Medium
Hover,Hover Enabled,true,启用悬停,启用悬停效果,Medium
Hover,Hover Disabled,false,禁用悬停,禁用悬停效果,Low
Hover,Hover Opacity,0.8,悬停透明度,悬停时透明度0.8,Medium
Hover,Hover Cursor,pointer,悬停光标,悬停显示手型光标,High
Hover,Hover Transition,all 0.2s,悬停过渡,悬停过渡动画0.2s,Medium
Hover,Hover Background Darken,10%,悬停背景加深,悬停时背景加深10%,Low
Animation,Fade In Duration,0.2s,淡入时长,标签淡入动画时长0.2s,Low
Animation,Fade Out Duration,0.2s,淡出时长,标签淡出动画时长0.2s,Low
Animation,Transition Timing,ease,过渡曲线,标签过渡曲线ease,Low
Animation,Scale From,0.8,缩放起始,标签缩放起始值0.8,Low
Animation,Scale To,1,缩放结束,标签缩放结束值1,Low
State,State Default,default,默认状态,标签默认状态,High
State,State Hover,hover,悬停状态,标签悬停状态,Medium
State,State Active,active,激活状态,标签激活状态,Medium
State,State Disabled,disabled,禁用状态,标签禁用状态,Medium
State,State Loading,loading,加载状态,标签加载状态,Low
Disabled,Disabled Background,#F7F8FA,禁用背景,禁用标签浅灰背景#F7F8FA,Medium
Disabled,Disabled Color,#C9CDD4,禁用文字,禁用标签灰色文字#C9CDD4,Medium
Disabled,Disabled Border,#E5E6EB,禁用边框,禁用标签灰色边框#E5E6EB,Medium
Disabled,Disabled Cursor,not-allowed,禁用光标,禁用标签禁止光标,Medium
Disabled,Disabled Opacity,0.6,禁用透明度,禁用标签透明度0.6,Low
Group,Group Gap,8px,标签组间距,标签组内标签间距8px,High
Group,Group Wrap,wrap,标签组换行,标签组自动换行,High
Group,Group Align,flex-start,标签组对齐,标签组左对齐,Medium
Group,Group Row Gap,8px,标签组行间距,标签组行与行间距8px,Medium
Max,Max Width,none,最大宽度,标签无最大宽度限制,Low
Max,Max Width Limited,200px,限制最大宽度,标签最大宽度200px,Medium
Max,Text Overflow,ellipsis,文字溢出,文字溢出显示省略号,Medium
Max,Text Overflow Tooltip,true,溢出提示,文字溢出显示提示,Medium
Ellipsis,Ellipsis Enabled,true,启用省略,启用文字省略,Medium
Ellipsis,Ellipsis Disabled,false,禁用省略,禁用文字省略,High
Ellipsis,Ellipsis Position,end,省略位置,文字末尾省略,High
Ellipsis,Ellipsis Character,...,省略字符,使用...作为省略符,High
Usage,Status Usage,状态标签,状态标签场景,用于展示状态信息,High
Usage,Category Usage,分类标签,分类标签场景,用于展示分类信息,High
Usage,Filter Usage,筛选标签,筛选标签场景,用于筛选功能,Medium
Usage,Label Usage,标记标签,标记标签场景,用于标记内容,Medium
Usage,Closable Usage,可关闭标签,可关闭场景,用于可删除的标签,High
Usage,Checkable Usage,可选中标签,可选中场景,用于可选择的标签,Medium
Usage,Link Usage,链接标签,链接标签场景,用于可点击跳转的标签,Medium
Guideline,Max Tag Count,适中,最大标签数,单行标签数量不宜过多,High
Guideline,Text Length,适中,文字长度,标签文字不宜过长,High
Guideline,Color Consistency,consistent,颜色一致性,同类标签颜色保持一致,High
Guideline,Size Consistency,consistent,尺寸一致性,同一场景标签尺寸保持一致,High
Guideline,Type Consistency,consistent,类型一致性,同一场景标签类型保持一致,Medium
Guideline,Spacing Uniform,uniform,间距统一,标签间距保持统一,Medium
Guideline,Status Color Mapping,mapped,状态颜色映射,状态与颜色对应关系明确,High
Guideline,Avoid Overuse,true,避免过度使用,避免页面标签过多,Medium
Accessibility,Keyboard Support,true,键盘支持,支持键盘操作,Medium
Accessibility,Focus Visible,true,焦点可见,键盘焦点状态可见,High
Accessibility,ARIA Role,button,ARIA角色,可交互标签使用button角色,Medium
Accessibility,ARIA Label,true,ARIA标签,使用aria-label属性,Medium
