Category,Name,Value,Usage,Description,Severity
Purpose,Steps Purpose,引导用户完成任务,步骤条用途,引导用户按照流程完成任务的导航条,High
Purpose,Steps Scenario,多步骤任务流程,使用场景,当任务复杂需要分步骤完成时使用,High
Purpose,Steps Behavior,展示当前进度,步骤条行为,展示当前所处步骤和整体进度,High
Type,Type Default,默认类型,默认步骤条,带数字圆圈的默认步骤条,High
Type,Type Navigation,导航类型,导航步骤条,带箭头的导航样式步骤条,Medium
Type,Type Dot,点状类型,点状步骤条,使用小圆点的简洁步骤条,Medium
Type,Type Arrow,箭头类型,箭头步骤条,带箭头连接的步骤条,Medium
Size,Size Large,48px,大尺寸,大尺寸步骤条图标48px,Medium
Size,Size Default,32px,默认尺寸,默认尺寸步骤条图标32px,High
Size,Size Small,24px,小尺寸,小尺寸步骤条图标24px,Medium
Size,Size Mini,16px,迷你尺寸,迷你尺寸步骤条图标16px,Low
Direction,Direction Horizontal,水平方向,水平步骤条,步骤条水平排列,High
Direction,Direction Vertical,垂直方向,垂直步骤条,步骤条垂直排列,Medium
Icon,Icon Size Default,32px,默认图标大小,默认步骤图标32px,High
Icon,Icon Size Small,24px,小图标大小,小尺寸步骤图标24px,Medium
Icon,Icon Background Wait,#F2F3F5,等待图标背景,等待状态图标灰色背景,High
Icon,Icon Background Process,#165DFF,进行中图标背景,进行中状态图标蓝色背景,High
Icon,Icon Background Finish,#165DFF,完成图标背景,完成状态图标蓝色背景,High
Icon,Icon Background Error,#F53F3F,错误图标背景,错误状态图标红色背景,High
Icon,Icon Color Wait,#86909C,等待图标颜色,等待状态图标灰色,High
Icon,Icon Color Process,#FFFFFF,进行中图标颜色,进行中状态图标白色,High
Icon,Icon Color Finish,#FFFFFF,完成图标颜色,完成状态图标白色,High
Icon,Icon Color Error,#FFFFFF,错误图标颜色,错误状态图标白色,High
Icon,Icon Border Radius,50%,图标圆角,步骤图标圆形,High
Icon,Icon Font Size,14px,图标字号,步骤数字字号14px,Medium
Icon,Icon Font Weight,500,图标字重,步骤数字中等字重,Medium
Icon,Finish Icon,CheckOutlined,完成图标,完成状态使用勾选图标,High
Icon,Error Icon,CloseOutlined,错误图标,错误状态使用关闭图标,High
Icon,Custom Icon Enable,true,自定义图标,支持自定义步骤图标,Medium
Title,Title Font Size,14px,标题字号,步骤标题文字14px,High
Title,Title Font Weight,500,标题字重,步骤标题中等字重500,Medium
Title,Title Color Wait,#86909C,等待标题颜色,等待状态标题灰色,High
Title,Title Color Process,#1D2129,进行中标题颜色,进行中状态标题深色,High
Title,Title Color Finish,#1D2129,完成标题颜色,完成状态标题深色,High
Title,Title Color Error,#F53F3F,错误标题颜色,错误状态标题红色,High
Title,Title Line Height,22px,标题行高,步骤标题行高22px,Medium
Title,Title Margin Top,8px,标题上间距,标题与图标间距8px,Medium
Title,Title Max Width,auto,标题最大宽度,标题宽度自适应,Low
Title,Title Ellipsis,true,标题省略,标题过长显示省略号,Low
Description,Description Font Size,12px,描述字号,步骤描述文字12px,Medium
Description,Description Color,#86909C,描述颜色,步骤描述灰色文字,Medium
Description,Description Line Height,20px,描述行高,步骤描述行高20px,Medium
Description,Description Margin Top,4px,描述上间距,描述与标题间距4px,Medium
Description,Description Max Lines,2,描述最大行数,描述最多显示2行,Low
Connector,Connector Type,line,连接线类型,步骤之间使用线条连接,High
Connector,Connector Width,1px,连接线宽度,连接线宽度1px,Medium
Connector,Connector Color Wait,#E5E6EB,等待连接线颜色,等待状态连接线灰色,High
Connector,Connector Color Finish,#165DFF,完成连接线颜色,完成状态连接线蓝色,High
Connector,Connector Style Solid,solid,实线连接,连接线实线样式,High
Connector,Connector Style Dashed,dashed,虚线连接,连接线虚线样式,Low
Connector,Connector Gap,8px,连接线间距,连接线与图标间距8px,Medium
Connector,Connector Horizontal Top,16px,水平连接线位置,水平步骤条连接线距顶部16px,Medium
