Category,Name,Value,Usage,Description,Severity
Purpose,Radio Purpose,多选项单选,单选框用途,用于在多个备选项中选中单个状态,High
Purpose,Radio Scenario,选项可见比较,使用场景,和Select的区别是Radio所有选项默认可见方便用户在比较中选择,High
Purpose,Radio Limit,选项不宜过多,选项限制,因此选项不宜过多建议2-5个,Medium
Purpose,Radio Behavior,单选互斥,单选行为,同一组内只能选中一个选项,High
Type,Type Default,默认类型,默认单选框,圆形单选框默认样式,High
Type,Type Button,按钮类型,按钮单选框,按钮样式的单选框,Medium
Type,Type Card,卡片类型,卡片单选框,卡片样式的单选框,Low
Size,Size Default,16px,默认大小,单选框默认大小16px,High
Size,Size Small,14px,小尺寸,单选框小尺寸14px,Medium
Size,Size Large,18px,大尺寸,单选框大尺寸18px,Low
Radio,Radio Width,16px,单选框宽度,单选框宽度16px,High
Radio,Radio Height,16px,单选框高度,单选框高度16px,High
Radio,Radio Border Radius,50%,单选框圆角,单选框圆形,High
Radio,Radio Border Width,1px,单选框边框宽度,单选框边框宽度1px,Medium
Radio,Radio Transition,all 0.2s,单选框过渡,单选框状态过渡0.2s,Low
Unchecked,Unchecked Background,#FFFFFF,未选中背景,未选中状态白色背景,High
Unchecked,Unchecked Border,1px solid #C9CDD4,未选中边框,未选中状态灰色边框#C9CDD4,High
Unchecked,Unchecked Inner,none,未选中内圆,未选中状态无内圆,High
Hover,Hover Background,#FFFFFF,悬停背景,悬停状态白色背景,Medium
Hover,Hover Border,1px solid #165DFF,悬停边框,悬停状态蓝色边框#165DFF,High
Hover,Hover Inner,none,悬停内圆,悬停状态无内圆,Medium
Checked,Checked Background,#FFFFFF,选中背景,选中状态白色背景,High
Checked,Checked Border,1px solid #165DFF,选中边框,选中状态蓝色边框#165DFF,High
Checked,Checked Inner Size,8px,选中内圆大小,选中状态内圆8px,High
Checked,Checked Inner Color,#165DFF,选中内圆颜色,选中状态内圆蓝色#165DFF,High
Checked,Checked Inner Border Radius,50%,选中内圆圆角,选中状态内圆圆形,Medium
DisabledUnchecked,Disabled Unchecked Background,#F2F3F5,未选中禁用背景,未选中禁用状态灰色背景,High
DisabledUnchecked,Disabled Unchecked Border,1px solid #E5E6EB,未选中禁用边框,未选中禁用状态浅灰边框,High
DisabledUnchecked,Disabled Unchecked Inner,none,未选中禁用内圆,未选中禁用状态无内圆,Medium
DisabledChecked,Disabled Checked Background,#F2F3F5,选中禁用背景,选中禁用状态灰色背景,High
DisabledChecked,Disabled Checked Border,1px solid #E5E6EB,选中禁用边框,选中禁用状态浅灰边框,High
DisabledChecked,Disabled Checked Inner Size,8px,选中禁用内圆大小,选中禁用状态内圆8px,Medium
DisabledChecked,Disabled Checked Inner Color,#C9CDD4,选中禁用内圆颜色,选中禁用状态内圆灰色#C9CDD4,High
Label,Label Font Size,14px,标签字号,单选框标签文字14px,High
Label,Label Color,#1D2129,标签颜色,单选框标签深色文字,High
Label,Label Disabled Color,#C9CDD4,标签禁用颜色,单选框标签禁用灰色文字,High
Label,Label Gap,8px,标签间距,单选框与标签间距8px,High
Label,Label Position,right,标签位置,标签在单选框右侧,Medium
Label,Label Line Height,22px,标签行高,单选框标签行高22px,Medium
Label,Label Cursor,pointer,标签光标,标签可点击光标,Low
Label,Label Disabled Cursor,not-allowed,标签禁用光标,标签禁用禁止光标,Low
Group,Group Direction Horizontal,horizontal,水平排列,单选组水平排列,High
Group,Group Direction Vertical,vertical,垂直排列,单选组垂直排列,Medium
Group,Group Gap Horizontal,16px,水平间距,水平排列单选项间距16px,High
Group,Group Gap Vertical,12px,垂直间距,垂直排列单选项间距12px,Medium
Group,Group Wrap,true,换行,单选组支持换行,Low
ButtonRadio,Button Height,32px,按钮高度,按钮单选框高度32px,High
ButtonRadio,Button Padding,0 16px,按钮内边距,按钮单选框左右内边距16px,High
ButtonRadio,Button Font Size,14px,按钮字号,按钮单选框文字14px,High
ButtonRadio,Button Border Radius,2px,按钮圆角,按钮单选框圆角2px,Medium
ButtonRadio,Button Background,#FFFFFF,按钮背景,按钮单选框白色背景,High
ButtonRadio,Button Border,1px solid #E5E6EB,按钮边框,按钮单选框灰色边框,High
ButtonRadio,Button Color,#4E5969,按钮颜色,按钮单选框灰色文字,High
ButtonRadio,Button Hover Border,1px solid #165DFF,按钮悬停边框,按钮单选框悬停蓝色边框,Medium
ButtonRadio,Button Hover Color,#165DFF,按钮悬停颜色,按钮单选框悬停蓝色文字,Medium
ButtonRadio,Button Checked Background,#E8F3FF,按钮选中背景,按钮单选框选中浅蓝背景,High
ButtonRadio,Button Checked Border,1px solid #165DFF,按钮选中边框,按钮单选框选中蓝色边框,High
ButtonRadio,Button Checked Color,#165DFF,按钮选中颜色,按钮单选框选中蓝色文字,High
ButtonRadio,Button Disabled Background,#F2F3F5,按钮禁用背景,按钮单选框禁用灰色背景,Medium
