Category,Name,Level,HexCode,Usage,Description,Severity
Red,Dust Red,1,#FFF1F0,背景色,薄雾红最浅色,Low
Red,Dust Red,2,#FFCCC7,边框色,薄雾红浅色,Low
Red,Dust Red,3,#FFA39E,禁用色,薄雾红次浅色,Low
Red,Dust Red,4,#FF7875,hover色,薄雾红中浅色,Medium
Red,Dust Red,5,#FF4D4F,常规色,薄雾红中色,Medium
Red,Dust Red,6,#F5222D,主色,薄雾红标准色,High
Red,Dust Red,7,#CF1322,点击色,薄雾红深色,High
Red,Dust Red,8,#A8071A,深色,薄雾红次深色,Medium
Red,Dust Red,9,#820014,更深色,薄雾红深色,Low
Red,Dust Red,10,#5C0011,最深色,薄雾红最深色,Low
Orange,Orange,1,#FFF7E6,背景色,晚秋红最浅色,Low
Orange,Orange,2,#FFE7BA,边框色,晚秋红浅色,Low
Orange,Orange,3,#FFD591,禁用色,晚秋红次浅色,Low
Orange,Orange,4,#FFC069,hover色,晚秋红中浅色,Medium
Orange,Orange,5,#FFA940,常规色,晚秋红中色,Medium
Orange,Orange,6,#FA8C16,主色,晚秋红标准色,High
Orange,Orange,7,#D46B08,点击色,晚秋红深色,High
Orange,Orange,8,#AD4E00,深色,晚秋红次深色,Medium
Orange,Orange,9,#873800,更深色,晚秋红深色,Low
Orange,Orange,10,#612500,最深色,晚秋红最深色,Low
OrangeRed,Orange Red,1,#FFF2E8,背景色,晚秋红最浅色,Low
OrangeRed,Orange Red,2,#FFD8BF,边框色,晚秋红浅色,Low
OrangeRed,Orange Red,3,#FFBB96,禁用色,晚秋红次浅色,Low
OrangeRed,Orange Red,4,#FF9C6E,hover色,晚秋红中浅色,Medium
OrangeRed,Orange Red,5,#FF7A45,常规色,晚秋红中色,Medium
OrangeRed,Orange Red,6,#FA541C,主色,晚秋红标准色,High
OrangeRed,Orange Red,7,#D4380D,点击色,晚秋红深色,High
OrangeRed,Orange Red,8,#AD2102,深色,晚秋红次深色,Medium
OrangeRed,Orange Red,9,#871400,更深色,晚秋红深色,Low
OrangeRed,Orange Red,10,#610B00,最深色,晚秋红最深色,Low
Gold,Gold,1,#FFFBE6,背景色,黄昏最浅色,Low
Gold,Gold,2,#FFF1B8,边框色,黄昏浅色,Low
Gold,Gold,3,#FFE58F,禁用色,黄昏次浅色,Low
Gold,Gold,4,#FFD666,hover色,黄昏中浅色,Medium
Gold,Gold,5,#FFC53D,常规色,黄昏中色,Medium
Gold,Gold,6,#FAAD14,主色,黄昏标准色,High
Gold,Gold,7,#D48806,点击色,黄昏深色,High
Gold,Gold,8,#AD6800,深色,黄昏次深色,Medium
Gold,Gold,9,#874D00,更深色,黄昏深色,Low
Gold,Gold,10,#613400,最深色,黄昏最深色,Low
Yellow,Yellow,1,#FEFFE6,背景色,柠檬黄最浅色,Low
Yellow,Yellow,2,#FFFFB8,边框色,柠檬黄浅色,Low
Yellow,Yellow,3,#FFFB8F,禁用色,柠檬黄次浅色,Low
Yellow,Yellow,4,#FFF566,hover色,柠檬黄中浅色,Medium
Yellow,Yellow,5,#FFEC3D,常规色,柠檬黄中色,Medium
Yellow,Yellow,6,#FADB14,主色,柠檬黄标准色,High
Yellow,Yellow,7,#D4B106,点击色,柠檬黄深色,High
Yellow,Yellow,8,#AD8B00,深色,柠檬黄次深色,Medium
Yellow,Yellow,9,#876800,更深色,柠檬黄深色,Low
Yellow,Yellow,10,#614700,最深色,柠檬黄最深色,Low

Lime,Lime,1,#FCFFE6,背景色,新生绿最浅色,Low
Lime,Lime,2,#F4FFBF,边框色,新生绿浅色,Low
Lime,Lime,3,#EAFF8F,禁用色,新生绿次浅色,Low
Lime,Lime,4,#D3F261,hover色,新生绿中浅色,Medium
Lime,Lime,5,#BAE637,常规色,新生绿中色,Medium
Lime,Lime,6,#A0D911,主色,新生绿标准色,High
Lime,Lime,7,#7CB305,点击色,新生绿深色,High
Lime,Lime,8,#5B8C00,深色,新生绿次深色,Medium
Lime,Lime,9,#3F6600,更深色,新生绿深色,Low
Lime,Lime,10,#254000,最深色,新生绿最深色,Low
Green,Green,1,#F6FFED,背景色,仙野绿最浅色,Low
Green,Green,2,#D9F7BE,边框色,仙野绿浅色,Low
Green,Green,3,#B7EB8F,禁用色,仙野绿次浅色,Low
Green,Green,4,#95DE64,hover色,仙野绿中浅色,Medium
Green,Green,5,#73D13D,常规色,仙野绿中色,Medium
Green,Green,6,#52C41A,主色,仙野绿标准色,High
Green,Green,7,#389E0D,点击色,仙野绿深色,High
