Category,Name,Value,Usage,Description,Severity
Size,Preview Container Width,100vw,预览容器宽度,预览容器宽度100vw,High
Size,Preview Container Height,100vh,预览容器高度,预览容器高度100vh,High
Size,Preview Image Max Width,90vw,预览图片最大宽度,预览图片最大宽度90vw,High
Size,Preview Image Max Height,90vh,预览图片最大高度,预览图片最大高度90vh,High
Size,Preview Toolbar Height,56px,预览工具栏高度,预览工具栏高度56px,High
Size,Preview Toolbar Icon Size,20px,工具栏图标尺寸,工具栏图标尺寸20px,High
Size,Preview Toolbar Icon Gap,16px,工具栏图标间距,工具栏图标间距16px,Medium
Size,Preview Toolbar Padding,0 24px,工具栏内边距,工具栏左右内边距24px,Medium
Size,Preview Arrow Size,40px,箭头按钮尺寸,箭头按钮尺寸40px,High
Size,Preview Arrow Icon Size,24px,箭头图标尺寸,箭头图标尺寸24px,High
Size,Preview Close Icon Size,20px,关闭图标尺寸,关闭图标尺寸20px,High
Size,Preview Thumbnail Size,64px,缩略图尺寸,缩略图尺寸64px,Medium
Size,Preview Thumbnail Gap,8px,缩略图间距,缩略图间距8px,Medium
Size,Preview Thumbnail Border Radius,4px,缩略图圆角,缩略图圆角4px,Low
Size,Preview Loading Icon Size,48px,加载图标尺寸,加载图标尺寸48px,Medium
Size,Preview Error Icon Size,64px,错误图标尺寸,错误图标尺寸64px,Medium
Size,Preview Info Height,48px,信息栏高度,信息栏高度48px,Medium
Size,Preview Info Font Size,14px,信息栏字号,信息栏字号14px,Medium
Size,Preview Counter Font Size,14px,计数器字号,计数器字号14px,Medium
Color,Preview Background,rgba(0 0 0 0.85),预览背景,预览半透明黑色背景#000 85%,High
Color,Preview Toolbar Background,rgba(0 0 0 0.5),工具栏背景,工具栏半透明黑色背景#000 50%,High
Color,Preview Toolbar Icon Color,#FFFFFF,工具栏图标颜色,工具栏白色图标#FFFFFF,High
Color,Preview Toolbar Icon Hover Color,#165DFF,工具栏图标悬停颜色,工具栏图标悬停蓝色#165DFF,Medium
Color,Preview Arrow Background,rgba(0 0 0 0.5),箭头背景,箭头半透明黑色背景#000 50%,High
Color,Preview Arrow Icon Color,#FFFFFF,箭头图标颜色,箭头白色图标#FFFFFF,High
Color,Preview Arrow Hover Background,rgba(0 0 0 0.7),箭头悬停背景,箭头悬停深色背景#000 70%,Medium
Color,Preview Close Icon Color,#FFFFFF,关闭图标颜色,关闭白色图标#FFFFFF,High
Color,Preview Close Hover Color,#F53F3F,关闭悬停颜色,关闭悬停红色#F53F3F,Medium
