Category,Name,Value,Usage,Description,Severity
Common,Chart Container Background,#FFFFFF,图表容器背景,图表容器白色背景,High
Common,Chart Container Padding,24px,图表容器内边距,图表容器内边距24px,High
Common,Chart Container Border Radius,4px,图表容器圆角,图表容器圆角4px,Medium
Common,Chart Container Shadow,0 2px 8px rgba(0 0 0 0.08),图表容器阴影,图表容器阴影效果,Medium
Common,Chart Title Font Size,16px,图表标题字号,图表标题文字16px,High
Common,Chart Title Font Weight,500,图表标题字重,图表标题字重500,High
Common,Chart Title Color,#1D2129,图表标题颜色,图表标题深色文字#1D2129,High
Common,Chart Title Margin Bottom,16px,图表标题下边距,图表标题下边距16px,Medium
Common,Chart Subtitle Font Size,14px,图表副标题字号,图表副标题文字14px,Medium
Common,Chart Subtitle Color,#4E5969,图表副标题颜色,图表副标题灰色文字#4E5969,Medium
Common,Chart Min Height,300px,图表最小高度,图表最小高度300px,High
Common,Chart Max Height,600px,图表最大高度,图表最大高度600px,Medium
Common,Chart Aspect Ratio,16:9,图表宽高比,图表默认宽高比16:9,Medium
Color,Primary Color,#165DFF,主色,图表主色蓝色#165DFF,High
Color,Secondary Color,#14C9C9,次色,图表次色青色#14C9C9,High
Color,Success Color,#00B42A,成功色,图表成功色绿色#00B42A,High
Color,Warning Color,#FF7D00,警告色,图表警告色橙色#FF7D00,High
Color,Danger Color,#F53F3F,危险色,图表危险色红色#F53F3F,High
Color,Purple Color,#722ED1,紫色,图表紫色#722ED1,Medium
Color,Magenta Color,#F5319D,品红色,图表品红色#F5319D,Medium
Color,Orange Color,#FF7D00,橙色,图表橙色#FF7D00,Medium
Color,Yellow Color,#F7BA1E,黄色,图表黄色#F7BA1E,Medium
Color,Lime Color,#9FDB1D,青柠色,图表青柠色#9FDB1D,Low
Color,Cyan Color,#14C9C9,青色,图表青色#14C9C9,Medium
Color,Blue Color,#165DFF,蓝色,图表蓝色#165DFF,High
Color,Geek Blue Color,#3491FA,极客蓝,图表极客蓝#3491FA,Medium
Color,Gray Color,#86909C,灰色,图表灰色#86909C,Medium
Color Palette,Color Palette 1,#165DFF,色板1,图表色板颜色1蓝色,High
Color Palette,Color Palette 2,#14C9C9,色板2,图表色板颜色2青色,High
Color Palette,Color Palette 3,#00B42A,色板3,图表色板颜色3绿色,High
Color Palette,Color Palette 4,#FF7D00,色板4,图表色板颜色4橙色,High
Color Palette,Color Palette 5,#F53F3F,色板5,图表色板颜色5红色,High
Color Palette,Color Palette 6,#722ED1,色板6,图表色板颜色6紫色,Medium
Color Palette,Color Palette 7,#F5319D,色板7,图表色板颜色7品红,Medium
Color Palette,Color Palette 8,#F7BA1E,色板8,图表色板颜色8黄色,Medium
Color Palette,Color Palette 9,#3491FA,色板9,图表色板颜色9浅蓝,Medium
Color Palette,Color Palette 10,#9FDB1D,色板10,图表色板颜色10青柠,Low
Axis,Axis Line Color,#E5E6EB,坐标轴线颜色,坐标轴线灰色#E5E6EB,High
Axis,Axis Line Width,1px,坐标轴线宽度,坐标轴线宽度1px,High
Axis,Axis Label Font Size,12px,坐标轴标签字号,坐标轴标签文字12px,High
Axis,Axis Label Color,#86909C,坐标轴标签颜色,坐标轴标签灰色#86909C,High
Axis,Axis Label Margin,8px,坐标轴标签边距,坐标轴标签边距8px,Medium
Axis,Axis Title Font Size,14px,坐标轴标题字号,坐标轴标题文字14px,Medium
Axis,Axis Title Color,#4E5969,坐标轴标题颜色,坐标轴标题灰色#4E5969,Medium
Axis,Axis Title Font Weight,500,坐标轴标题字重,坐标轴标题字重500,Medium
Axis,Axis Tick Length,4px,坐标轴刻度长度,坐标轴刻度长度4px,Low
Axis,Axis Tick Color,#E5E6EB,坐标轴刻度颜色,坐标轴刻度灰色#E5E6EB,Low
Grid,Grid Line Color,#F2F3F5,网格线颜色,网格线浅灰色#F2F3F5,Medium
Grid,Grid Line Width,1px,网格线宽度,网格线宽度1px,Medium
Grid,Grid Line Style,solid,网格线样式,网格线实线样式,Medium
Grid,Grid Line Dash,none,网格线虚线,网格线无虚线,Low
Grid,Grid Background,transparent,网格背景,网格透明背景,Low
