Category,Name,Value,Usage,Description,Severity
Size,Popover Min Width,150px,气泡最小宽度,气泡卡片最小宽度150px,Medium
Size,Popover Max Width,350px,气泡最大宽度,气泡卡片最大宽度350px,High
Size,Popover Padding,12px 16px,气泡内边距,气泡卡片内边距上下12px左右16px,High
Size,Popover Title Padding,12px 16px 8px,气泡标题内边距,气泡标题内边距上12px左右16px下8px,Medium
Size,Popover Content Padding,8px 16px 12px,气泡内容内边距,气泡内容内边距上8px左右16px下12px,Medium
Size,Popover Arrow Size,8px,气泡箭头大小,气泡箭头大小8px,High
Size,Popover Border Radius,4px,气泡圆角,气泡卡片圆角4px,High
Size,Popover Title Font Size,14px,气泡标题字号,气泡标题文字14px,High
Size,Popover Content Font Size,14px,气泡内容字号,气泡内容文字14px,High
Size,Popover Close Icon Size,14px,关闭图标大小,关闭图标大小14px,Medium
Size,Popover Title Line Height,22px,标题行高,气泡标题行高22px,Medium
Size,Popover Content Line Height,22px,内容行高,气泡内容行高22px,Medium
Color,Popover Background,#FFFFFF,气泡背景,气泡卡片白色背景,High
Color,Popover Border Color,#E5E6EB,气泡边框颜色,气泡卡片灰色边框#E5E6EB,High
Color,Popover Title Color,#1D2129,气泡标题颜色,气泡标题深色文字#1D2129,High
Color,Popover Content Color,#4E5969,气泡内容颜色,气泡内容灰色文字#4E5969,High
Color,Popover Arrow Background,#FFFFFF,箭头背景,气泡箭头白色背景,High
Color,Popover Arrow Border,#E5E6EB,箭头边框,气泡箭头灰色边框#E5E6EB,Medium
Color,Popover Close Icon Color,#86909C,关闭图标颜色,关闭图标灰色#86909C,Medium
Color,Popover Close Icon Hover,#4E5969,关闭图标悬停,关闭图标悬停深灰#4E5969,Medium
Color,Popover Link Color,#165DFF,链接颜色,气泡内链接蓝色#165DFF,Medium
Color,Popover Link Hover,#4080FF,链接悬停,气泡内链接悬停浅蓝#4080FF,Low
Shadow,Popover Shadow,0 4px 10px rgba(0 0 0 0.1),气泡阴影,气泡卡片阴影效果,High
Shadow,Popover Shadow Large,0 6px 16px rgba(0 0 0 0.12),气泡大阴影,气泡卡片大阴影效果,Medium
Border,Popover Border Width,1px,气泡边框宽度,气泡卡片边框宽度1px,Medium
Border,Popover Border Style,solid,气泡边框样式,气泡卡片实线边框,High
Position,Position Top,top,顶部位置,气泡在触发元素顶部,High
Position,Position Top Start,top-start,顶部左侧,气泡在触发元素顶部左侧,Medium
Position,Position Top End,top-end,顶部右侧,气泡在触发元素顶部右侧,Medium
Position,Position Bottom,bottom,底部位置,气泡在触发元素底部,High
Position,Position Bottom Start,bottom-start,底部左侧,气泡在触发元素底部左侧,Medium
Position,Position Bottom End,bottom-end,底部右侧,气泡在触发元素底部右侧,Medium
Position,Position Left,left,左侧位置,气泡在触发元素左侧,High
