Category,Name,Value,Usage,Description,Severity
Size,Message Min Width,200px,全局提示最小宽度,全局提示最小宽度200px,Medium
Size,Message Max Width,500px,全局提示最大宽度,全局提示最大宽度500px,High
Size,Message Height,auto,全局提示高度,全局提示高度自动,High
Size,Message Min Height,40px,全局提示最小高度,全局提示最小高度40px,Medium
Size,Message Padding,10px 16px,全局提示内边距,全局提示内边距上下10px左右16px,High
Size,Message Padding With Icon,10px 16px 10px 40px,带图标内边距,带图标全局提示左侧内边距40px,High
Size,Message Border Radius,4px,全局提示圆角,全局提示圆角4px,High
Size,Message Icon Size,16px,全局提示图标大小,全局提示图标大小16px,High
Size,Message Icon Gap,8px,全局提示图标间距,图标与文字间距8px,Medium
Size,Message Close Icon Size,14px,关闭图标大小,关闭图标大小14px,Medium
Size,Message Font Size,14px,全局提示字号,全局提示文字14px,High
Size,Message Line Height,22px,全局提示行高,全局提示行高22px,Medium
Color,Message Background,#FFFFFF,全局提示背景,全局提示白色背景,High
Color,Message Color,#1D2129,全局提示文字,全局提示深色文字#1D2129,High
Color,Message Border Color,#E5E6EB,全局提示边框颜色,全局提示灰色边框#E5E6EB,Medium
Color,Message Close Icon Color,#86909C,关闭图标颜色,关闭图标灰色#86909C,Medium
Color,Message Close Icon Hover Color,#4E5969,关闭图标悬停颜色,关闭图标悬停深灰#4E5969,Medium
Color,Message Icon Info Color,#165DFF,信息图标颜色,信息图标蓝色#165DFF,High
Color,Message Icon Success Color,#00B42A,成功图标颜色,成功图标绿色#00B42A,High
Color,Message Icon Warning Color,#FF7D00,警告图标颜色,警告图标橙色#FF7D00,High
Color,Message Icon Error Color,#F53F3F,错误图标颜色,错误图标红色#F53F3F,High
Color,Message Icon Loading Color,#165DFF,加载图标颜色,加载图标蓝色#165DFF,Medium
Shadow,Message Shadow,0 4px 10px rgba(0 0 0 0.1),全局提示阴影,全局提示阴影效果,High
Shadow,Message Shadow Large,0 6px 16px rgba(0 0 0 0.12),全局提示大阴影,全局提示大阴影效果,Medium
Border,Message Border Width,1px,全局提示边框宽度,全局提示边框宽度1px,Medium
Border,Message Border Style,solid,全局提示边框样式,全局提示实线边框,High
Position,Position Top,top,顶部位置,全局提示在顶部,High
Position,Position Top Center,top-center,顶部中心位置,全局提示在顶部中心,High
Position,Position Bottom,bottom,底部位置,全局提示在底部,Low
Position,Position Center,center,中心位置,全局提示在中心,Low
Offset,Offset Top,24px,顶部偏移,全局提示距离顶部24px,High
Offset,Offset Bottom,24px,底部偏移,全局提示距离底部24px,Low
Gap,Message Gap,16px,全局提示间距,多个全局提示间距16px,High
Type,Type Info,info,信息类型,信息全局提示,High
Type,Type Success,success,成功类型,成功全局提示,High
Type,Type Warning,warning,警告类型,警告全局提示,High
Type,Type Error,error,错误类型,错误全局提示,High
Type,Type Loading,loading,加载类型,加载全局提示,Medium
Type,Type Normal,normal,普通类型,普通全局提示,Medium
Icon,Icon Info,InfoCircleFilled,信息图标,信息类型使用InfoCircleFilled图标,High
Icon,Icon Success,CheckCircleFilled,成功图标,成功类型使用CheckCircleFilled图标,High
Icon,Icon Warning,ExclamationCircleFilled,警告图标,警告类型使用ExclamationCircleFilled图标,High
Icon,Icon Error,CloseCircleFilled,错误图标,错误类型使用CloseCircleFilled图标,High
Icon,Icon Loading,LoadingOutlined,加载图标,加载类型使用LoadingOutlined图标,Medium
Icon,Icon Position,left,图标位置,图标在左侧,High
Icon,Show Icon,true,显示图标,显示类型图标,High
Icon,Hide Icon,false,隐藏图标,隐藏类型图标,Low
Close,Closable,false,可关闭,全局提示不可关闭,High
Close,Closable Enabled,true,启用关闭,全局提示可关闭,Medium
Close,Close Icon,CloseOutlined,关闭图标,使用CloseOutlined图标,Medium
Close,Close Icon Position,right,关闭图标位置,关闭图标在右侧,Medium
Close,Close Button Size,24px,关闭按钮大小,关闭按钮大小24px,Low
Close,Close Button Padding,4px,关闭按钮内边距,关闭按钮内边距4px,Low
Duration,Duration Default,3000ms,默认持续时间,全局提示默认显示3000ms,High
Duration,Duration Short,2000ms,短持续时间,全局提示短时间显示2000ms,Medium
Duration,Duration Long,5000ms,长持续时间,全局提示长时间显示5000ms,Medium
Duration,Duration Infinite,0,无限持续时间,全局提示持续显示不自动关闭,Low
Animation,Animation Enter Duration,0.3s,进入动画时长,全局提示进入动画时长0.3s,Medium
Animation,Animation Leave Duration,0.3s,离开动画时长,全局提示离开动画时长0.3s,Medium
Animation,Animation Timing,ease-in-out,动画曲线,全局提示动画曲线ease-in-out,Low
Animation,Slide Down From,translateY(-100%),下滑起始,全局提示从上方滑入,High
Animation,Slide Down To,translateY(0),下滑结束,全局提示滑入到位,High
Animation,Slide Up To,translateY(-100%),上滑结束,全局提示向上滑出,Medium
Animation,Fade In Opacity From,0,淡入起始透明度,淡入起始透明度0,Low
Animation,Fade In Opacity To,1,淡入结束透明度,淡入结束透明度1,Low
ZIndex,Z Index,1000,层级,全局提示层级1000,High
ZIndex,Z Index Increment,1,层级增量,多个全局提示层级递增1,Low
Max Count,Max Count,1,最大数量,最多同时显示1个全局提示,High
Max Count,Max Count Multiple,3,多个最大数量,最多同时显示3个全局提示,Medium
Max Count,Max Count Unlimited,0,无限数量,不限制全局提示数量,Low
Max Count,Queue Mode,true,队列模式,超过最大数量时排队显示,High
Max Count,Replace Mode,false,替换模式,超过最大数量时替换旧的,Low
Content,Content Font Weight,400,内容字重,全局提示内容字重400,High
Content,Content Color,#1D2129,内容颜色,全局提示内容深色#1D2129,High
Content,Content Max Lines,2,内容最大行数,内容最多2行,Medium
Content,Content Word Break,break-word,内容换行,内容过长自动换行,Medium
Content,Content Text Align,left,内容对齐,内容左对齐,High
State,State Visible,visible,显示状态,全局提示显示状态,High
State,State Hidden,hidden,隐藏状态,全局提示隐藏状态,High
State,State Entering,entering,进入中状态,全局提示进入中状态,Medium
State,State Leaving,leaving,离开中状态,全局提示离开中状态,Medium
Hover,Hover Pause,false,悬停暂停,悬停时不暂停自动关闭,High
Hover,Hover Pause Enabled,true,悬停暂停启用,悬停时暂停自动关闭,Low
Hover,Hover Cursor,default,悬停光标,悬停显示默认光标,Low
Hover,Hover Background,#FFFFFF,悬停背景,悬停背景不变,Low
Container,Container Position,fixed,容器定位,全局提示容器固定定位,High
Container,Container Z Index,1000,容器层级,全局提示容器层级1000,High
Container,Container Pointer Events,none,容器指针事件,容器不响应指针事件,Medium
Container,Message Pointer Events,auto,提示指针事件,全局提示响应指针事件,High
Container,Container Width,100%,容器宽度,容器宽度100%,Medium
Container,Container Align,center,容器对齐,容器居中对齐,High
Responsive,Mobile Max Width,calc(100vw - 32px),移动端最大宽度,移动端全局提示最大宽度,High
Responsive,Mobile Padding,8px 12px,移动端内边距,移动端全局提示内边距,Medium
Responsive,Mobile Font Size,14px,移动端字号,移动端全局提示文字14px,Medium
Responsive,Mobile Icon Size,16px,移动端图标大小,移动端图标16px,Low
Responsive,Mobile Offset,16px,移动端偏移,移动端距离顶部16px,Medium
Responsive,Tablet Max Width,500px,平板端最大宽度,平板端全局提示最大宽度500px,Low
Usage,Info Usage,信息提示,信息提示场景,用于展示一般信息提示,High
Usage,Success Usage,成功提示,成功提示场景,用于展示成功操作提示,High
Usage,Warning Usage,警告提示,警告提示场景,用于展示警告信息提示,High
Usage,Error Usage,错误提示,错误提示场景,用于展示错误信息提示,High
Usage,Loading Usage,加载提示,加载提示场景,用于展示加载状态提示,Medium
Guideline,Content Length,1-2行,内容长度,内容建议1-2行内,High
Guideline,Icon Visible,true,图标可见,建议显示类型图标,High
Guideline,Position Top,true,位置顶部,建议放置在顶部,High
Guideline,Duration Appropriate,3000ms,持续时间适当,建议持续时间3000ms,High
Guideline,Max Count Single,true,最大数量单个,建议最多同时显示1个,High
Guideline,Closable Optional,false,可关闭可选,一般不需要关闭按钮,High
Guideline,Auto Close,true,自动关闭,建议自动关闭,High
Guideline,Simple Content,true,内容简洁,内容应简洁明了,High
Accessibility,Keyboard Close,not-supported,键盘关闭,不支持键盘关闭,Low
Accessibility,Focus Visible,false,焦点可见,无焦点状态,Low
Accessibility,ARIA Role,alert,ARIA角色,使用alert角色,High
Accessibility,ARIA Live,polite,ARIA实时,使用aria-live属性,High
Accessibility,ARIA Atomic,true,ARIA原子,使用aria-atomic属性,Medium
Accessibility,Screen Reader,supported,屏幕阅读器,支持屏幕阅读器,Medium
Accessibility,Announce,true,语音播报,支持语音播报提示内容,Medium
Performance,Lazy Render,false,延迟渲染,不延迟渲染,Low
Performance,Destroy On Close,true,关闭时销毁,关闭时销毁DOM,High
Performance,Transition,true,过渡效果,启用过渡效果,Medium
Performance,GPU Acceleration,true,GPU加速,启用GPU加速,Medium
Performance,Will Change,transform,Will Change属性,使用will-change优化,Low
Event,On Close,supported,关闭事件,支持关闭事件,High
Event,On Click,supported,点击事件,支持点击事件,Low
Event,Before Close,supported,关闭前事件,支持关闭前事件,Low
Event,After Close,supported,关闭后事件,支持关闭后事件,Low
Event,On Duration End,supported,持续时间结束事件,支持持续时间结束事件,Medium
Method,Open,supported,打开方法,支持打开全局提示,High
Method,Close,supported,关闭方法,支持关闭全局提示,High
Method,Close All,supported,关闭全部方法,支持关闭所有全局提示,Medium
Method,Destroy,supported,销毁方法,支持销毁全局提示,Low
Props,Content,supported,内容属性,支持设置内容,High
Props,Type,supported,类型属性,支持设置类型,High
Props,Icon,supported,图标属性,支持设置图标,Medium
Props,Closable,supported,可关闭属性,支持控制可关闭,Medium
Props,Duration,supported,持续时间属性,支持设置持续时间,High
Props,Show Icon,supported,显示图标属性,支持控制图标显示,High
Props,On Close,supported,关闭回调属性,支持设置关闭回调,High
Slot,Default Slot,supported,默认插槽,支持默认内容插槽,High
Slot,Icon Slot,supported,图标插槽,支持图标插槽,Medium
Custom,Custom Icon,supported,自定义图标,支持自定义类型图标,Medium
Custom,Custom Close Icon,supported,自定义关闭图标,支持自定义关闭图标,Low
Custom,Custom Max Width,supported,自定义最大宽度,支持自定义最大宽度,Medium
API,Message.info,supported,信息提示API,支持信息提示API,High
API,Message.success,supported,成功提示API,支持成功提示API,High
API,Message.warning,supported,警告提示API,支持警告提示API,High
API,Message.error,supported,错误提示API,支持错误提示API,High
API,Message.loading,supported,加载提示API,支持加载提示API,High
API,Message.open,supported,打开提示API,支持打开提示API,High
API,Message.close,supported,关闭提示API,支持关闭提示API,High
API,Message.destroy,supported,销毁提示API,支持销毁所有提示API,Medium
API,Message.config,supported,配置提示API,支持全局配置提示API,Medium
Config,Config Top,supported,配置顶部偏移,支持配置顶部偏移,High
Config,Config Duration,supported,配置持续时间,支持配置默认持续时间,High
Config,Config Max Count,supported,配置最大数量,支持配置最大数量,High
Config,Config RTL,supported,配置RTL,支持配置从右到左,Low
Config,Config Get Container,supported,配置容器,支持配置挂载容器,Low
Queue,Queue Enabled,true,启用队列,启用提示队列,High
Queue,Queue Max Length,10,队列最大长度,队列最大长度10,Medium
Queue,Queue Strategy FIFO,fifo,先进先出策略,先进先出队列策略,High
Queue,Queue Strategy LIFO,lifo,后进先出策略,后进先出队列策略,Low
Update,Update By Key,supported,按键更新,支持按键更新提示,Low
Update,Update Content,supported,更新内容,支持更新内容,Low
Update,Update Duration,supported,更新持续时间,支持更新持续时间,Low
Transition,Transition Name,slide-fade,过渡名称,滑动淡入淡出过渡效果,Medium
Transition,Transition Duration,0.3s,过渡时长,过渡时长0.3s,Medium
Transition,Transition Timing,ease-in-out,过渡曲线,过渡曲线ease-in-out,Low
Transition,Enter From Top,translateY(-100%),从顶部进入,从顶部滑入,High
Transition,Leave To Top,translateY(-100%),向顶部离开,向顶部滑出,Medium
Theme,Theme Light,light,浅色主题,浅色主题全局提示,High
Theme,Theme Dark,dark,深色主题,深色主题全局提示,Low
Dark,Dark Background,#1D2129,深色背景,深色主题背景#1D2129,Low
Dark,Dark Color,#FFFFFF,深色文字,深色主题文字白色,Low
Dark,Dark Border Color,#4E5969,深色边框颜色,深色主题边框灰色#4E5969,Low
RTL,RTL Enabled,false,启用RTL,不启用从右到左,Low
RTL,RTL Direction,rtl,RTL方向,从右到左方向,Low
RTL,RTL Text Align,right,RTL文字对齐,RTL模式文字右对齐,Low
Loading,Loading Icon Spin,true,加载图标旋转,加载图标旋转动画,High
Loading,Loading Icon Speed,1s,加载图标速度,加载图标旋转速度1s,Low
Loading,Loading Duration,0,加载持续时间,加载提示不自动关闭,High
Loading,Loading Closable,false,加载可关闭,加载提示不可关闭,High
Variant,Variant Default,default,默认变体,默认全局提示样式,High
Variant,Variant Filled,filled,填充变体,填充背景变体,Low
Variant,Variant Outlined,outlined,描边变体,描边变体,Low
Filled,Filled Info Background,#E8F3FF,填充信息背景,填充信息浅蓝背景#E8F3FF,Low
Filled,Filled Info Color,#165DFF,填充信息文字,填充信息蓝色文字#165DFF,Low
Filled,Filled Success Background,#E8FFEA,填充成功背景,填充成功浅绿背景#E8FFEA,Low
Filled,Filled Success Color,#00B42A,填充成功文字,填充成功绿色文字#00B42A,Low
Filled,Filled Warning Background,#FFF7E8,填充警告背景,填充警告浅橙背景#FFF7E8,Low
Filled,Filled Warning Color,#FF7D00,填充警告文字,填充警告橙色文字#FF7D00,Low
Filled,Filled Error Background,#FFECE8,填充错误背景,填充错误浅红背景#FFECE8,Low
Filled,Filled Error Color,#F53F3F,填充错误文字,填充错误红色文字#F53F3F,Low
Outlined,Outlined Info Border,#165DFF,描边信息边框,描边信息蓝色边框#165DFF,Low
Outlined,Outlined Info Color,#165DFF,描边信息文字,描边信息蓝色文字#165DFF,Low
Outlined,Outlined Success Border,#00B42A,描边成功边框,描边成功绿色边框#00B42A,Low
Outlined,Outlined Success Color,#00B42A,描边成功文字,描边成功绿色文字#00B42A,Low
Outlined,Outlined Warning Border,#FF7D00,描边警告边框,描边警告橙色边框#FF7D00,Low
Outlined,Outlined Warning Color,#FF7D00,描边警告文字,描边警告橙色文字#FF7D00,Low
Outlined,Outlined Error Border,#F53F3F,描边错误边框,描边错误红色边框#F53F3F,Low
Outlined,Outlined Error Color,#F53F3F,描边错误文字,描边错误红色文字#F53F3F,Low
Popup,Popup Container,body,弹出容器,全局提示挂载到body,High
Popup,Popup Get Container,supported,获取容器,支持自定义挂载容器,Low
