Category,Name,Value,Usage,Description,Severity
Grid,Grid Columns,24,栅格列数,24列栅格系统,High
Grid,Grid Gutter,16px,栅格间距,列间距16px,High
Grid,Grid Gutter Large,24px,大栅格间距,大屏列间距24px,Medium
Grid,Container Max Width,1200px,容器最大宽度,内容区最大宽度1200px,High
Grid,Container Padding,24px,容器内边距,内容区左右内边距24px,High
Spacing,Spacing XS,4px,超小间距,紧凑元素间距,Medium
Spacing,Spacing SM,8px,小间距,相关元素间距,High
Spacing,Spacing MD,12px,中间距,组件内部间距,High
Spacing,Spacing LG,16px,大间距,区块间距,High
Spacing,Spacing XL,24px,超大间距,模块间距,High
Spacing,Spacing XXL,32px,特大间距,页面区域间距,Medium
Spacing,Spacing XXXL,48px,巨大间距,大区块间距,Low
Header,Header Height,48px,顶部导航高度,固定顶部导航栏高度48px,High
Header,Header Background,#165DFF,顶部导航背景,蓝色背景#165DFF,High
Header,Header Text Color,#FFFFFF,顶部导航文字,白色文字,High
Header,Header Padding,0 24px,顶部导航内边距,左右内边距24px,Medium
Header,Header Logo Width,120px,Logo宽度,Logo区域宽度120px,Medium
Header,Header Menu Gap,24px,菜单间距,顶部菜单项间距24px,Medium
Sider,Sider Width,208px,侧边栏宽度,展开状态侧边栏宽度208px,High
Sider,Sider Width Collapsed,48px,侧边栏收起宽度,收起状态侧边栏宽度48px,High
Sider,Sider Background,#165DFF,侧边栏背景,蓝色背景#165DFF,High
Sider,Sider Text Color,rgba(255 255 255 0.65),侧边栏文字,半透明白色文字,High
Sider,Sider Text Hover,#FFFFFF,侧边栏文字悬停,白色文字,High
Sider,Sider Item Height,40px,菜单项高度,侧边栏菜单项高度40px,High
Sider,Sider Item Padding,0 16px,菜单项内边距,菜单项左右内边距16px,Medium
Sider,Sider Submenu Indent,24px,子菜单缩进,子菜单缩进24px,Medium
Content,Content Padding,24px,内容区内边距,内容区四周内边距24px,High
Content,Content Background,#F2F3F5,内容区背景,浅灰色背景#F2F3F5,High
Content,Content Min Height,calc(100vh - 48px),内容区最小高度,减去顶部导航高度,Medium
Footer,Footer Height,48px,底部高度,页脚高度48px,Low
Footer,Footer Background,#FFFFFF,底部背景,白色背景,Low
Footer,Footer Padding,0 24px,底部内边距,左右内边距24px,Low
Card,Card Padding,16px,卡片内边距,卡片内边距16px,High
Card,Card Padding Large,24px,大卡片内边距,大卡片内边距24px,Medium
Card,Card Gap,16px,卡片间距,卡片之间间距16px,High
Card,Card Header Height,48px,卡片头部高度,卡片标题区高度48px,Medium
Card,Card Header Padding,0 16px,卡片头部内边距,卡片标题区内边距,Medium

Table,Table Filter Height,auto,筛选区高度,筛选区自适应高度,Medium
Table,Table Filter Padding,16px,筛选区内边距,筛选区内边距16px,High
Table,Table Filter Gap,16px,筛选项间距,筛选项之间间距16px,High
Table,Table Filter Label Width,80px,筛选标签宽度,筛选标签固定宽度80px,Medium
Table,Table Filter Input Width,180px,筛选输入框宽度,筛选输入框宽度180px,Medium
Table,Table Toolbar Height,48px,工具栏高度,表格工具栏高度48px,Medium
Table,Table Toolbar Padding,0 16px,工具栏内边距,工具栏左右内边距16px,Medium
Table,Table Header Height,44px,表头高度,表格头部行高44px,High
Table,Table Row Height,48px,表格行高,表格内容行高48px,High
Table,Table Row Height Compact,36px,紧凑行高,紧凑模式行高36px,Medium
Table,Table Row Height Large,56px,宽松行高,宽松模式行高56px,Low
Table,Table Cell Padding,12px 16px,单元格内边距,单元格内边距,High
Table,Table Pagination Height,48px,分页高度,分页区域高度48px,Medium
Table,Table Pagination Padding,16px,分页内边距,分页区域内边距16px,Medium
Form,Form Label Width,100px,表单标签宽度,表单标签固定宽度100px,High
Form,Form Label Align,right,表单标签对齐,表单标签右对齐,High
Form,Form Item Gap,24px,表单项间距,表单项垂直间距24px,High
Form,Form Item Gap Horizontal,16px,表单项水平间距,表单项水平间距16px,Medium
Form,Form Input Height,32px,表单输入框高度,输入框高度32px,High
Form,Form Input Height Large,40px,大输入框高度,大号输入框高度40px,Medium
