Category,Name,Value,Usage,Description,Severity
Purpose,Transfer Purpose,穿梭框,穿梭框用途,需要在多个可选项中进行多选时比起Select和TreeSelect穿梭框占据更大的空间可以展示可选项的更多信息,High
Purpose,Transfer Scenario,多选转移,使用场景,选择一个或以上的选项后点击对应的方向键可以把选中的选项移动到另一栏,High
Purpose,Transfer Behavior,左右穿梭,穿梭行为,其中左边一栏为来源右边一栏为目标API的设计也反映了这两个概念,High
Type,Type Basic,基本穿梭框,基本类型,基础穿梭框样式,High
Type,Type Search,带搜索穿梭框,搜索类型,支持搜索过滤的穿梭框,High
Type,Type Tree,树穿梭框,树类型,树形结构的穿梭框,Medium
Type,Type Table,表格穿梭框,表格类型,表格形式的穿梭框,Medium
Type,Type Modal,弹窗穿梭框,弹窗类型,在弹窗中展示的穿梭框,High
Type,Type Simple,简单穿梭框,简单类型,简化版穿梭框无操作按钮,Low
Container,Container Display,flex,容器显示,穿梭框flex布局,High
Container,Container Align Items,stretch,容器对齐,穿梭框拉伸对齐,Medium
Container,Container Gap,16px,容器间距,左右面板间距16px,High
Panel,Panel Width,200px,面板宽度,单个面板宽度200px,High
Panel,Panel Min Width,180px,面板最小宽度,面板最小宽度180px,Medium
Panel,Panel Height,300px,面板高度,面板高度300px,High
Panel,Panel Background,#FFFFFF,面板背景,面板白色背景,High
Panel,Panel Border,1px solid #E5E6EB,面板边框,面板灰色边框,High
Panel,Panel Border Radius,4px,面板圆角,面板圆角4px,High
Panel,Panel Overflow,hidden,面板溢出,面板内容溢出隐藏,Medium
PanelHeader,Header Height,40px,头部高度,面板头部高度40px,High
PanelHeader,Header Padding,0 12px,头部内边距,头部左右内边距12px,High
PanelHeader,Header Background,#F7F8FA,头部背景,头部浅灰背景,High
PanelHeader,Header Border Bottom,1px solid #E5E6EB,头部底边框,头部底部分隔线,Medium
PanelHeader,Header Display,flex,头部显示,头部flex布局,High
PanelHeader,Header Justify,space-between,头部对齐,头部两端对齐,High
PanelHeader,Header Align Items,center,头部垂直对齐,头部垂直居中,Medium
PanelHeader,Header Title Font Size,14px,头部标题字号,头部标题字号14px,High
PanelHeader,Header Title Color,#1D2129,头部标题颜色,头部标题深色文字,High
PanelHeader,Header Title Font Weight,500,头部标题字重,头部标题中等字重,Medium
PanelHeader,Header Count Font Size,12px,头部计数字号,头部计数字号12px,Medium
PanelHeader,Header Count Color,#86909C,头部计数颜色,头部计数灰色文字,Medium
SourcePanel,Source Title,来源,来源标题,左侧面板标题来源,High
SourcePanel,Source Position,left,来源位置,来源面板在左侧,High
SourcePanel,Source Checkbox All,true,来源全选,来源面板支持全选,High
TargetPanel,Target Title,目标,目标标题,右侧面板标题目标,High
TargetPanel,Target Position,right,目标位置,目标面板在右侧,High
TargetPanel,Target Checkbox All,true,目标全选,目标面板支持全选,High
PanelBody,Body Padding,8px 0,内容内边距,面板内容上下内边距8px,High
PanelBody,Body Max Height,220px,内容最大高度,面板内容最大高度220px,High
PanelBody,Body Overflow Y,auto,内容垂直溢出,面板内容垂直滚动,High
PanelBody,Body Overflow X,hidden,内容水平溢出,面板内容水平隐藏,Medium
Item,Item Height,32px,选项高度,选项高度32px,High
Item,Item Padding,0 12px,选项内边距,选项左右内边距12px,High
Item,Item Display,flex,选项显示,选项flex布局,High
Item,Item Align Items,center,选项对齐,选项垂直居中,Medium
