Category,Name,Value,Usage,Description,Severity
RowHeight,Row Height 32,32px,紧凑行高,表格支持4个行高尺寸-32px最紧凑-表头高度固定不变,Medium
RowHeight,Row Height 36,36px,较紧凑行高,表格支持4个行高尺寸-36px较紧凑,Medium
RowHeight,Row Height 44,44px,默认行高,表格支持4个行高尺寸-44px默认推荐,High
RowHeight,Row Height 48,48px,宽松行高,表格支持4个行高尺寸-48px宽松,Medium
RowHeight,Header Height Fixed,44px,表头高度固定,表头高度固定44px-不随行高变化,High
Density,Density Compact,32px,紧凑密度,紧凑模式-适用于数据密集场景,Medium
Density,Density Default,44px,默认密度,默认模式-推荐使用,High
Density,Density Middle,36px,中等密度,中等模式-介于紧凑和默认之间,Medium
Density,Density Loose,48px,宽松密度,宽松模式-适用于数据较少场景,Medium
Density,Density Switch,a-dropdown,密度切换组件,使用下拉菜单切换密度,Low
Header,Header Background,#F7F8FA,表头背景色,表头背景色#F7F8FA浅灰色,High
Header,Header Text Color,#4E5969,表头文字颜色,表头文字颜色#4E5969,High
Header,Header Font Size,14px,表头字号,表头文字14px,High
Header,Header Font Weight,500,表头字重,表头文字中等字重500,High
Header,Header Padding,0 16px,表头内边距,表头单元格左右内边距16px,Medium
Header,Header Border Bottom,1px solid #E5E6EB,表头底部边框,表头底部边框#E5E6EB,Medium
Header,Header Sort Icon,CaretUpOutlined/CaretDownOutlined,排序图标,表头排序上下箭头图标,Medium
Header,Header Sort Icon Color,#C9CDD4,排序图标默认色,排序图标默认灰色#C9CDD4,Low
Header,Header Sort Icon Active,#165DFF,排序图标激活色,排序图标激活蓝色#165DFF,Medium
Header,Header Filter Icon,FilterOutlined,筛选图标,表头筛选漏斗图标FilterOutlined,Medium
Header,Header Filter Icon Color,#C9CDD4,筛选图标默认色,筛选图标默认灰色#C9CDD4,Low
Header,Header Filter Icon Active,#165DFF,筛选图标激活色,筛选图标激活蓝色#165DFF,Medium
Header,Header Resize Handle,col-resize,列宽调整手柄,拖拽调整列宽光标样式,Low
Body,Body Background,#FFFFFF,表体背景色,表格内容区白色背景,High
Body,Body Text Color,#1D2129,表体文字颜色,表格内容文字颜色#1D2129,High
Body,Body Font Size,14px,表体字号,表格内容文字14px,High
Body,Body Font Weight,400,表体字重,表格内容文字常规字重400,Medium
Body,Body Padding,12px 16px,表体内边距,表格单元格内边距12px 16px,High
Body,Body Border Bottom,1px solid #E5E6EB,表体行边框,表格行底部边框#E5E6EB,Medium
Body,Row Hover Background,#F2F3F5,行悬停背景,鼠标悬停行背景色#F2F3F5,High
Body,Row Selected Background,#E8F3FF,行选中背景,选中行背景色#E8F3FF浅蓝,High
Body,Row Stripe Odd,#FFFFFF,斑马纹奇数行,奇数行白色背景,Medium
Body,Row Stripe Even,#FAFBFC,斑马纹偶数行,偶数行浅灰背景#FAFBFC,Medium
Body,Row Expanded Background,#FAFBFC,展开行背景,展开详情区背景色#FAFBFC,Low
Body,Cell Ellipsis,true,单元格省略,文字溢出显示省略号,Medium
Body,Cell Tooltip,true,单元格提示,溢出文字hover显示完整内容,Low

Column,Checkbox Column Width,48px,复选框列宽,复选框列固定宽度48px,High
Column,Index Column Width,64px,序号列宽,序号列固定宽度64px,Medium
Column,Index Column Align,center,序号列对齐,序号列居中对齐,Medium
Column,Action Column Width,auto,操作列宽,操作列根据按钮数量自适应,Medium
Column,Action Column Min Width,120px,操作列最小宽,操作列最小宽度120px,Medium
Column,Action Column Align,center,操作列对齐,操作列居中对齐,Medium
Column,Fixed Left Shadow,2px 0 6px rgba(0 0 0 0.06),左固定列阴影,左固定列右侧阴影效果,Low
Column,Fixed Right Shadow,-2px 0 6px rgba(0 0 0 0.06),右固定列阴影,右固定列左侧阴影效果,Low
Column,Column Align Left,left,左对齐,文字类列左对齐,High
Column,Column Align Center,center,居中对齐,状态/操作列居中对齐,Medium
Column,Column Align Right,right,右对齐,数字/金额列右对齐,Medium
Selection,Checkbox Size,16px,复选框大小,复选框16px,Medium
Selection,Checkbox Border Radius,2px,复选框圆角,复选框圆角2px,Low
Selection,Checkbox Unchecked Border,#C9CDD4,复选框未选边框,未选中边框色#C9CDD4,Medium
Selection,Checkbox Checked Background,#165DFF,复选框选中背景,选中背景色#165DFF,High
Selection,Checkbox Checked Border,#165DFF,复选框选中边框,选中边框色#165DFF,High
Selection,Checkbox Indeterminate,#165DFF,复选框半选,半选状态蓝色横线#165DFF,Medium
Selection,Checkbox Disabled Background,#F2F3F5,复选框禁用背景,禁用背景色#F2F3F5,Low
Selection,Radio Size,16px,单选框大小,单选框16px,Medium
Selection,Radio Checked Color,#165DFF,单选框选中色,单选框选中蓝色#165DFF,High
Selection,Select All Position,Header First Column,全选位置,全选复选框在表头第一列,High
Selection,Selected Row Keys,Array,选中行数据,选中行的key数组,High
Selection,Selected Count Display,已选择 X 项,已选数量显示,工具栏显示已选择的行数,Medium
Selection,Batch Actions Show,selectedRowKeys.length > 0,批量操作显示条件,选中行后显示批量操作按钮,Medium
Filter,Filter Container Background,#FFFFFF,筛选容器背景,筛选区白色背景,High
Filter,Filter Container Padding,16px,筛选容器内边距,筛选区内边距16px,High
Filter,Filter Container Radius,4px,筛选容器圆角,筛选区圆角4px,Medium
Filter,Filter Container Margin Bottom,16px,筛选容器底部间距,筛选区与表格间距16px,Medium
Filter,Filter Row Gutter,16px,筛选行间距,筛选项之间间距16px,High
Filter,Filter Label Color,#4E5969,筛选标签颜色,筛选标签文字颜色#4E5969,Medium
Filter,Filter Label Font Size,14px,筛选标签字号,筛选标签文字14px,Medium
Filter,Filter Label Width,80px,筛选标签宽度,筛选标签固定宽度80px,Medium
Filter,Filter Label Colon,true,筛选标签冒号,筛选标签后带冒号,Low
Filter,Filter Input Width,180px,筛选输入框宽度,筛选输入框宽度180px,Medium
Filter,Filter Input Height,32px,筛选输入框高度,筛选输入框高度32px,High
