Category,Name,Value,Usage,Description,Severity
Purpose,Select Purpose,下拉选择,选择器用途,弹出一个下拉菜单给用户选择操作用于代替原生的选择器,High
Purpose,Select Scenario,选项较多时使用,使用场景,当选项较多时使用选择器节省空间,High
Purpose,Select Behavior,点击展开选择,选择器行为,点击选择器展开下拉菜单选择选项,High
Type,Type Single,单选类型,单选选择器,单选下拉选择器,High
Type,Type Multiple,多选类型,多选选择器,多选下拉选择器,High
Type,Type Search,搜索类型,搜索选择器,带搜索功能的选择器,High
Type,Type Cascader,级联类型,级联选择器,级联下拉选择器,Medium
Type,Type TreeSelect,树选择类型,树选择器,树形结构选择器,Medium
Size,Size Large,40px,大尺寸,大尺寸选择器高度40px,Medium
Size,Size Default,32px,默认尺寸,默认尺寸选择器高度32px,High
Size,Size Small,28px,小尺寸,小尺寸选择器高度28px,Medium
Size,Size Mini,24px,迷你尺寸,迷你尺寸选择器高度24px,Low
Selector,Selector Height Large,40px,大选择器高度,大尺寸选择器高度40px,Medium
Selector,Selector Height Default,32px,默认选择器高度,默认尺寸选择器高度32px,High
Selector,Selector Height Small,28px,小选择器高度,小尺寸选择器高度28px,Medium
Selector,Selector Padding,0 12px,选择器内边距,选择器左右内边距12px,High
Selector,Selector Border Radius,2px,选择器圆角,选择器圆角2px,High
Selector,Selector Border Width,1px,选择器边框宽度,选择器边框宽度1px,Medium
Default,Default Background,#FFFFFF,默认背景,默认状态白色背景,High
Default,Default Border,1px solid #E5E6EB,默认边框,默认状态灰色边框#E5E6EB,High
Default,Default Color,#1D2129,默认文字颜色,默认状态深色文字,High
Default,Default Placeholder,#C9CDD4,默认占位符颜色,默认状态占位符灰色#C9CDD4,High
Hover,Hover Background,#FFFFFF,悬停背景,悬停状态白色背景,Medium
Hover,Hover Border,1px solid #C9CDD4,悬停边框,悬停状态深灰边框#C9CDD4,Medium
Focus,Focus Background,#FFFFFF,聚焦背景,聚焦状态白色背景,High
Focus,Focus Border,1px solid #165DFF,聚焦边框,聚焦状态蓝色边框#165DFF,High
Focus,Focus Shadow,0 0 0 2px rgba(22 93 255 0.1),聚焦阴影,聚焦状态蓝色阴影,High
Disabled,Disabled Background,#F2F3F5,禁用背景,禁用状态灰色背景#F2F3F5,High
Disabled,Disabled Border,1px solid #E5E6EB,禁用边框,禁用状态灰色边框,High
Disabled,Disabled Color,#C9CDD4,禁用文字颜色,禁用状态灰色文字,High
Disabled,Disabled Cursor,not-allowed,禁用光标,禁用状态禁止光标,Medium
Error,Error Background,#FFFFFF,错误背景,错误状态白色背景,High
Error,Error Border,1px solid #F53F3F,错误边框,错误状态红色边框#F53F3F,High
Error,Error Focus Shadow,0 0 0 2px rgba(245 63 63 0.1),错误聚焦阴影,错误聚焦状态红色阴影,Medium
Arrow,Arrow Icon,DownOutlined,箭头图标,选择器下拉箭头图标,High
Arrow,Arrow Size,12px,箭头大小,下拉箭头12px,Medium
Arrow,Arrow Color,#86909C,箭头颜色,下拉箭头灰色#86909C,Medium
Arrow,Arrow Rotate,180deg,箭头旋转,展开时箭头旋转180度,Medium
Arrow,Arrow Transition,0.2s,箭头过渡,箭头旋转过渡0.2s,Low
Clear,Clear Show,true,显示清除,选择器支持清除按钮,High
Clear,Clear Icon,CloseCircleFilled,清除图标,清除按钮圆形关闭图标,High
Clear,Clear Icon Size,14px,清除图标大小,清除图标14px,Medium
Clear,Clear Icon Color,#C9CDD4,清除图标颜色,清除图标灰色#C9CDD4,Medium
Clear,Clear Icon Hover Color,#86909C,清除图标悬停颜色,清除图标悬停深灰色,Medium
Clear,Clear Visibility,hover,清除显示时机,悬停时显示清除按钮,Medium
Dropdown,Dropdown Background,#FFFFFF,下拉面板背景,下拉面板白色背景,High
Dropdown,Dropdown Border,none,下拉面板边框,下拉面板无边框,Medium
Dropdown,Dropdown Border Radius,4px,下拉面板圆角,下拉面板圆角4px,High
Dropdown,Dropdown Shadow,0 4px 10px rgba(0 0 0 0.1),下拉面板阴影,下拉面板阴影效果,High
Dropdown,Dropdown Padding,4px 0,下拉面板内边距,下拉面板上下内边距4px,Medium
Dropdown,Dropdown Max Height,256px,下拉面板最大高度,下拉面板最大高度256px,High
Dropdown,Dropdown Min Width,100%,下拉面板最小宽度,下拉面板最小宽度与选择器等宽,Medium
Dropdown,Dropdown Margin Top,4px,下拉面板顶部间距,下拉面板与选择器间距4px,Medium
Option,Option Height,36px,选项高度,下拉选项高度36px,High
Option,Option Padding,0 12px,选项内边距,下拉选项左右内边距12px,High
Option,Option Font Size,14px,选项字号,下拉选项文字14px,High
Option,Option Color,#1D2129,选项颜色,下拉选项深色文字,High
Option,Option Background,transparent,选项背景,下拉选项透明背景,Medium
Option,Option Hover Background,#F2F3F5,选项悬停背景,下拉选项悬停灰色背景,High
Option,Option Hover Color,#1D2129,选项悬停颜色,下拉选项悬停深色文字,Medium
Option,Option Selected Background,#E8F3FF,选项选中背景,下拉选项选中浅蓝背景,High
Option,Option Selected Color,#165DFF,选项选中颜色,下拉选项选中蓝色文字,High
Option,Option Selected Icon,CheckOutlined,选项选中图标,下拉选项选中勾选图标,High
Option,Option Selected Icon Size,14px,选项选中图标大小,选中图标14px,Medium
Option,Option Selected Icon Color,#165DFF,选项选中图标颜色,选中图标蓝色,Medium
Option,Option Disabled Color,#C9CDD4,选项禁用颜色,下拉选项禁用灰色文字,High
Option,Option Disabled Background,transparent,选项禁用背景,下拉选项禁用透明背景,Medium
Option,Option Disabled Cursor,not-allowed,选项禁用光标,下拉选项禁用禁止光标,Medium
Group,Group Title Height,32px,分组标题高度,选项分组标题高度32px,Medium
Group,Group Title Padding,0 12px,分组标题内边距,选项分组标题内边距,Medium
Group,Group Title Font Size,12px,分组标题字号,选项分组标题文字12px,Medium
Group,Group Title Color,#86909C,分组标题颜色,选项分组标题灰色文字,Medium
