Category,Name,Value,Usage,Description,Severity
Size,Timeline Item Gap,16px,时间轴项间距,时间轴项间距16px,High
Size,Timeline Item Gap Large,24px,时间轴项大间距,时间轴项大间距24px,Medium
Size,Timeline Item Gap Small,12px,时间轴项小间距,时间轴项小间距12px,Low
Size,Timeline Dot Size Small,16px,小时间点尺寸,小时间点直径16px,Medium
Size,Timeline Dot Size Default,24px,默认时间点尺寸,默认时间点直径24px,High
Size,Timeline Dot Size Large,32px,大时间点尺寸,大时间点直径32px,Medium
Size,Timeline Dot Size XLarge,40px,超大时间点尺寸,超大时间点直径40px,Low
Size,Timeline Dot Inner Size,8px,时间点内圆尺寸,时间点内圆直径8px,High
Size,Timeline Line Width,2px,时间轴线宽度,时间轴线宽度2px,High
Size,Timeline Line Offset,12px,时间轴线偏移,时间轴线距离左侧12px,High
Size,Timeline Content Padding Left,24px,内容左内边距,内容距离时间点左内边距24px,High
Size,Timeline Content Padding Left Large,32px,内容左内边距大,内容距离时间点左内边距32px,Medium
Size,Timeline Content Padding Bottom,16px,内容底部内边距,内容底部内边距16px,Medium
Size,Timeline Title Font Size,14px,标题字号,时间轴标题字号14px,High
Size,Timeline Title Line Height,22px,标题行高,时间轴标题行高22px,Medium
Size,Timeline Description Font Size,14px,描述字号,时间轴描述字号14px,High
Size,Timeline Description Line Height,22px,描述行高,时间轴描述行高22px,Medium
Size,Timeline Time Font Size,12px,时间字号,时间轴时间字号12px,High
Size,Timeline Time Line Height,20px,时间行高,时间轴时间行高20px,Medium
Size,Timeline Icon Size,16px,图标尺寸,时间点图标尺寸16px,Medium
Color,Timeline Line Color,#E5E6EB,时间轴线颜色,时间轴线灰色#E5E6EB,High
Color,Timeline Dot Border Color,#E5E6EB,时间点边框颜色,时间点边框灰色#E5E6EB,High
Color,Timeline Dot Background,#FFFFFF,时间点背景,时间点白色背景#FFFFFF,High
Color,Timeline Dot Inner Color Default,#165DFF,默认时间点内圆颜色,默认时间点内圆蓝色#165DFF,High
Color,Timeline Dot Inner Color Success,#00B42A,成功时间点内圆颜色,成功时间点内圆绿色#00B42A,High
Color,Timeline Dot Inner Color Warning,#FF7D00,警告时间点内圆颜色,警告时间点内圆橙色#FF7D00,High
Color,Timeline Dot Inner Color Error,#F53F3F,错误时间点内圆颜色,错误时间点内圆红色#F53F3F,High
Color,Timeline Dot Inner Color Gray,#86909C,灰色时间点内圆颜色,灰色时间点内圆#86909C,Medium
Color,Timeline Title Color,#1D2129,标题颜色,时间轴标题深色#1D2129,High
Color,Timeline Description Color,#4E5969,描述颜色,时间轴描述灰色#4E5969,High
Color,Timeline Time Color,#86909C,时间颜色,时间轴时间灰色#86909C,High
Color,Timeline Icon Color,#FFFFFF,图标颜色,时间点图标白色#FFFFFF,Medium
Type,Type Default,default,默认类型,默认时间轴样式,High
Type,Type Alternate,alternate,交替类型,交替时间轴样式,Medium
Type,Type Left,left,左侧类型,左侧时间轴样式,High
Type,Type Right,right,右侧类型,右侧时间轴样式,Low
Mode,Mode Vertical,vertical,垂直模式,垂直时间轴,High
Mode,Mode Horizontal,horizontal,水平模式,水平时间轴,Medium
Direction,Direction Forward,forward,正向方向,时间轴正向排列,High
Direction,Direction Reverse,reverse,反向方向,时间轴反向排列,Low
Status,Status Default,default,默认状态,默认时间轴状态,High
Status,Status Success,success,成功状态,成功时间轴状态,High
Status,Status Warning,warning,警告状态,警告时间轴状态,Medium
Status,Status Error,error,错误状态,错误时间轴状态,High
Status,Status Processing,processing,处理中状态,处理中时间轴状态,Medium
Status,Status Gray,gray,灰色状态,灰色时间轴状态,Low
Dot,Dot Type Solid,solid,实心点,实心时间点,High
Dot,Dot Type Hollow,hollow,空心点,空心时间点,Medium
Dot,Dot Type Icon,icon,图标点,图标时间点,Medium
Dot,Dot Type Custom,custom,自定义点,自定义时间点,Low
Dot,Dot Border Width,2px,时间点边框宽度,时间点边框宽度2px,High
Dot,Dot Border Radius,50%,时间点圆角,时间点圆形50%,High
Dot,Dot Position,left,时间点位置,时间点在左侧,High
Dot,Dot Position Center,center,时间点居中,时间点居中,Low
Line,Line Style Solid,solid,实线样式,时间轴实线,High
Line,Line Style Dashed,dashed,虚线样式,时间轴虚线,Low
Line,Line Style Dotted,dotted,点线样式,时间轴点线,Low
Line,Line Color,#E5E6EB,线条颜色,时间轴线灰色#E5E6EB,High
Line,Line Width,2px,线条宽度,时间轴线宽度2px,High
Line,Line Position,left,线条位置,时间轴线在左侧,High
Content,Content Padding Left,24px,内容左内边距,内容左内边距24px,High
Content,Content Padding Right,0,内容右内边距,内容右内边距0,Low
Content,Content Padding Top,0,内容顶部内边距,内容顶部内边距0,Low
Content,Content Padding Bottom,16px,内容底部内边距,内容底部内边距16px,Medium
Content,Content Min Height,32px,内容最小高度,内容最小高度32px,Medium
Content,Content Position,relative,内容定位,内容相对定位,Medium
Title,Title Visible,true,显示标题,显示时间轴标题,High
Title,Title Hidden,false,隐藏标题,隐藏时间轴标题,Low
Title,Title Font Size,14px,标题字号,标题字号14px,High
Title,Title Font Weight,500,标题字重,标题字重500,High
Title,Title Line Height,22px,标题行高,标题行高22px,Medium
Title,Title Color,#1D2129,标题颜色,标题深色#1D2129,High
Title,Title Margin Bottom,4px,标题底部间距,标题底部间距4px,Medium
Description,Description Visible,true,显示描述,显示时间轴描述,High
Description,Description Hidden,false,隐藏描述,隐藏时间轴描述,Low
Description,Description Font Size,14px,描述字号,描述字号14px,High
Description,Description Font Weight,400,描述字重,描述字重400,Medium
Description,Description Line Height,22px,描述行高,描述行高22px,Medium
Description,Description Color,#4E5969,描述颜色,描述灰色#4E5969,High
Description,Description Margin Top,4px,描述顶部间距,描述顶部间距4px,Low
Time,Time Visible,true,显示时间,显示时间信息,High
Time,Time Hidden,false,隐藏时间,隐藏时间信息,Low
Time,Time Font Size,12px,时间字号,时间字号12px,High
Time,Time Font Weight,400,时间字重,时间字重400,Medium
Time,Time Line Height,20px,时间行高,时间行高20px,Medium
Time,Time Color,#86909C,时间颜色,时间灰色#86909C,High
Time,Time Position Top,top,时间顶部位置,时间在顶部,High
Time,Time Position Bottom,bottom,时间底部位置,时间在底部,Medium
Time,Time Margin Bottom,4px,时间底部间距,时间底部间距4px,Medium
Icon,Icon Visible,false,显示图标,不显示图标,Low
Icon,Icon Size,16px,图标尺寸,图标尺寸16px,Medium
Icon,Icon Color,#FFFFFF,图标颜色,图标白色#FFFFFF,Medium
Icon,Icon Background,#165DFF,图标背景,图标蓝色背景#165DFF,Medium
Label,Label Visible,false,显示标签,不显示标签,Low
Label,Label Font Size,12px,标签字号,标签字号12px,Low
Label,Label Color,#86909C,标签颜色,标签灰色#86909C,Low
Label,Label Position,left,标签位置,标签在左侧,Low
Alternate,Alternate Enabled,false,启用交替,不启用交替布局,Low
