Category,Name,Value,Usage,Description,Severity
Purpose,Pagination Purpose,数据分页导航,分页用途,用于长列表数据的分页导航,High
Purpose,Pagination Scenario,数据量大时使用,使用场景,当数据量较大需要分页展示时使用,High
Purpose,Pagination Behavior,切换页码加载数据,分页行为,点击页码切换加载对应页数据,High
Type,Type Default,默认类型,默认分页,带页码按钮的默认分页,High
Type,Type Simple,简单类型,简单分页,仅上一页下一页的简单分页,Medium
Type,Type Mini,迷你类型,迷你分页,紧凑的迷你分页样式,Medium
Size,Size Large,40px,大尺寸,大尺寸分页按钮高度40px,Low
Size,Size Default,32px,默认尺寸,默认尺寸分页按钮高度32px,High
Size,Size Small,28px,小尺寸,小尺寸分页按钮高度28px,Medium
Size,Size Mini,24px,迷你尺寸,迷你尺寸分页按钮高度24px,Medium
Button,Button Min Width,32px,按钮最小宽度,分页按钮最小宽度32px,High
Button,Button Height,32px,按钮高度,分页按钮高度32px,High
Button,Button Padding,0 8px,按钮内边距,分页按钮左右内边距8px,Medium
Button,Button Gap,8px,按钮间距,分页按钮之间间距8px,High
Button,Button Border Radius,2px,按钮圆角,分页按钮圆角2px,Medium
Button,Button Font Size,14px,按钮字号,分页按钮文字14px,High
Button,Button Font Weight,400,按钮字重,分页按钮常规字重,Medium
Default,Default Background,#FFFFFF,默认背景,默认状态白色背景,High
Default,Default Color,#4E5969,默认颜色,默认状态灰色文字,High
Default,Default Border,1px solid #E5E6EB,默认边框,默认状态灰色边框,High
Hover,Hover Background,#FFFFFF,悬停背景,悬停状态白色背景,Medium
Hover,Hover Color,#165DFF,悬停颜色,悬停状态蓝色文字,High
Hover,Hover Border,1px solid #165DFF,悬停边框,悬停状态蓝色边框,High
Active,Active Background,#165DFF,激活背景,当前页蓝色背景,High
Active,Active Color,#FFFFFF,激活颜色,当前页白色文字,High
Active,Active Border,1px solid #165DFF,激活边框,当前页蓝色边框,High
Active,Active Font Weight,500,激活字重,当前页中等字重,Medium
Disabled,Disabled Background,#F2F3F5,禁用背景,禁用状态灰色背景,Medium
Disabled,Disabled Color,#C9CDD4,禁用颜色,禁用状态浅灰文字,High
Disabled,Disabled Border,1px solid #E5E6EB,禁用边框,禁用状态灰色边框,Medium
Disabled,Disabled Cursor,not-allowed,禁用光标,禁用状态禁止光标,Medium
PrevNext,Prev Icon,LeftOutlined,上一页图标,上一页左箭头图标,High
PrevNext,Next Icon,RightOutlined,下一页图标,下一页右箭头图标,High
PrevNext,Prev Text,上一页,上一页文字,上一页按钮文字,Low
PrevNext,Next Text,下一页,下一页文字,下一页按钮文字,Low
PrevNext,Icon Size,12px,图标大小,上下页图标12px,Medium
PrevNext,Icon Only,true,仅图标,默认仅显示图标不显示文字,Medium
PrevNext,Show Text,false,显示文字,是否显示上一页下一页文字,Low
Ellipsis,Ellipsis Icon,EllipsisOutlined,省略图标,省略号图标,Medium
Ellipsis,Ellipsis Text,...,省略文字,省略号文字,Medium
Ellipsis,Ellipsis Hover Icon,DoubleLeftOutlined/DoubleRightOutlined,省略悬停图标,省略号悬停显示双箭头,Medium
Ellipsis,Ellipsis Jump Step,5,省略跳转步长,点击省略号跳转5页,Medium
Total,Total Show,true,显示总数,显示数据总条数,High
Total,Total Text,共 X 条,总数文字,总数显示格式,High
Total,Total Position,left,总数位置,总数在分页左侧,Medium
Total,Total Font Size,14px,总数字号,总数文字14px,Medium
Total,Total Color,#4E5969,总数颜色,总数灰色文字,Medium
Total,Total Gap,16px,总数间距,总数与分页按钮间距16px,Medium
SizeChanger,Size Changer Show,true,显示条数选择,显示每页条数选择器,High
SizeChanger,Size Changer Options,10/20/50/100,条数选项,每页条数选择器选项,High
SizeChanger,Size Changer Default,10,默认条数,默认每页10条,High
SizeChanger,Size Changer Width,100px,选择器宽度,条数选择器宽度100px,Medium
SizeChanger,Size Changer Height,32px,选择器高度,条数选择器高度32px,Medium
SizeChanger,Size Changer Text,X 条/页,条数文字,条数选择器文字格式,Medium
SizeChanger,Size Changer Position,right,选择器位置,条数选择器在分页右侧,Medium
SizeChanger,Size Changer Gap,16px,选择器间距,条数选择器与分页间距16px,Medium
Jumper,Jumper Show,true,显示跳转,显示页码跳转输入框,Medium
Jumper,Jumper Text,跳至,跳转文字,跳转输入框前文字,Medium
Jumper,Jumper Text After,页,跳转后文字,跳转输入框后文字,Medium
Jumper,Jumper Input Width,50px,跳转输入框宽度,跳转输入框宽度50px,Medium
Jumper,Jumper Input Height,32px,跳转输入框高度,跳转输入框高度32px,Medium
Jumper,Jumper Position,right,跳转位置,跳转输入框在分页右侧,Medium
Jumper,Jumper Gap,8px,跳转间距,跳转输入框与文字间距8px,Medium
Jumper,Jumper Font Size,14px,跳转字号,跳转文字14px,Medium
Jumper,Jumper Color,#4E5969,跳转颜色,跳转文字灰色,Medium
