Category,Name,Value,Usage,Description,Severity
Purpose,Footer Purpose,显示公共信息,页脚用途,用于显示用户可能想要从网站中的任何页面都能访问到的公共信息,High
Purpose,Footer Scenario,网站和后台系统,使用场景,网站场景和B端后台场景均可使用页脚,High
Purpose,Footer Content,版权/链接/联系方式,页脚内容,页脚包含版权信息、相关链接、联系方式等,High
Type,Type Website,网站场景样式,网站页脚,网站场景页脚包含Logo、版权、链接、联系方式,High
Type,Type Backend,B端后台场景样式,后台页脚,B端后台场景页脚简洁仅显示Logo和版权,High
Type,Type Simple,简单样式,简单页脚,仅显示版权信息的简单页脚,Medium
Type,Type Rich,丰富样式,丰富页脚,包含多栏链接和信息的丰富页脚,Medium
Structure,Footer Width,100%,页脚宽度,页脚宽度100%占满容器,High
Structure,Footer Min Height,auto,页脚最小高度,页脚高度根据内容自适应,Medium
Structure,Footer Position,bottom,页脚位置,页脚位于页面底部,High
Structure,Footer Background,#FFFFFF,页脚背景,页脚白色背景,High
Structure,Footer Border Top,1px solid #E5E6EB,页脚顶部边框,页脚顶部分割线,Medium
Structure,Footer Padding,24px 0,页脚内边距,页脚上下内边距24px,High
Structure,Footer Max Width,1200px,页脚最大宽度,页脚内容区最大宽度1200px,Medium
Structure,Footer Margin,0 auto,页脚外边距,页脚内容区居中,Medium
Logo,Logo Show,true,显示Logo,页脚显示品牌Logo,High
Logo,Logo Height,32px,Logo高度,页脚Logo高度32px,Medium
Logo,Logo Width,auto,Logo宽度,页脚Logo宽度自适应,Medium
Logo,Logo Position,center,Logo位置,页脚Logo居中显示,High
Logo,Logo Margin Bottom,8px,Logo底部间距,Logo与版权信息间距8px,Medium
Copyright,Copyright Show,true,显示版权,页脚显示版权信息,High
Copyright,Copyright Text,Copyright© 2018 海尔集团 版权所有,版权文字,版权信息文字内容,High
Copyright,Copyright Font Size,12px,版权字号,版权信息文字12px,Medium
Copyright,Copyright Color,#86909C,版权颜色,版权信息灰色文字,Medium
Copyright,Copyright Line Height,20px,版权行高,版权信息行高20px,Low
Copyright,Copyright Align,center,版权对齐,版权信息居中对齐,Medium
Copyright,Copyright Margin Top,8px,版权上间距,版权信息与Logo间距8px,Low
Links,Links Show,true,显示链接,页脚显示相关链接,Medium
Links,Links Layout,column,链接布局,链接分栏布局,Medium
Links,Links Column Gap,80px,链接栏间距,链接栏之间间距80px,Medium
Links,Links Row Gap,12px,链接行间距,链接行之间间距12px,Medium
Links,Links Title Font Size,14px,链接标题字号,链接分组标题14px,Medium
Links,Links Title Font Weight,500,链接标题字重,链接分组标题中等字重,Medium
Links,Links Title Color,#1D2129,链接标题颜色,链接分组标题深色,Medium
Links,Links Title Margin Bottom,12px,链接标题底部间距,链接标题与链接项间距12px,Medium
Links,Links Item Font Size,14px,链接项字号,链接项文字14px,Medium
Links,Links Item Color,#4E5969,链接项颜色,链接项灰色文字,Medium
Links,Links Item Hover Color,#165DFF,链接项悬停颜色,链接项悬停蓝色,Medium
Links,Links Item Line Height,28px,链接项行高,链接项行高28px,Medium
Links,Links Item Cursor,pointer,链接项光标,链接项可点击光标,Low
Contact,Contact Show,true,显示联系方式,页脚显示联系方式,Medium
Contact,Contact Title,联系我们,联系标题,联系方式分组标题,Medium
Contact,Contact Label Font Size,14px,联系标签字号,联系标签文字14px,Medium
Contact,Contact Label Color,#86909C,联系标签颜色,联系标签灰色文字,Medium
Contact,Contact Value Font Size,14px,联系值字号,联系值文字14px,Medium
Contact,Contact Value Color,#1D2129,联系值颜色,联系值深色文字,Medium
Contact,Contact Item Gap,8px,联系项间距,联系项之间间距8px,Medium
Social,Social Show,true,显示社交媒体,页脚显示社交媒体链接,Low
