Category,Name,Value,Usage,Description,Severity
Purpose,Navigation Position,让用户明确知晓当前所处产品中的位置,导航定位,让用户明确知晓当前所处产品中的位置,High
Purpose,Quick Access,方便快捷地带用户到他想去的地方,快速访问,方便快捷地带用户到他想去的地方,High
Header,Header Height,48px,顶部导航高度,顶部导航栏高度48px,High
Header,Header Background,#165DFF,顶部导航背景,顶部导航蓝色背景#165DFF,High
Header,Header Text Color,#FFFFFF,顶部导航文字,顶部导航白色文字,High
Header,Header Logo Width,120px,Logo宽度,Logo区域宽度120px,Medium
Header,Header Logo Height,32px,Logo高度,Logo高度32px,Medium
Header,Header Menu Gap,24px,顶部菜单间距,顶部菜单项间距24px,Medium
Header,Header Menu Item Height,48px,顶部菜单项高度,顶部菜单项高度与导航栏一致,Medium
Header,Header Menu Item Padding,0 16px,顶部菜单项内边距,顶部菜单项左右内边距16px,Medium
Header,Header Menu Item Hover,rgba(255 255 255 0.1),顶部菜单项悬停,顶部菜单项悬停半透明白色背景,Medium
Header,Header Menu Item Active,rgba(255 255 255 0.2),顶部菜单项激活,顶部菜单项激活半透明白色背景,Medium
Header,Header Right Actions,搜索/通知/用户,顶部右侧操作,顶部导航右侧操作区域,Medium
Header,Header Search Icon,SearchOutlined,搜索图标,顶部搜索图标,Low
Header,Header Notification Icon,BellOutlined,通知图标,顶部通知图标,Medium
Header,Header Notification Badge,red dot,通知徽标,通知图标红点徽标,Medium
Sider,Sider Width Expanded,208px,侧边栏展开宽度,侧边栏展开状态宽度208px,High
Sider,Sider Width Collapsed,48px,侧边栏收起宽度,侧边栏收起状态宽度48px,High
Sider,Sider Background,#165DFF,侧边栏背景,侧边栏蓝色背景#165DFF,High
Sider,Sider Text Color,rgba(255 255 255 0.65),侧边栏文字,侧边栏半透明白色文字,High
Sider,Sider Text Hover,#FFFFFF,侧边栏文字悬停,侧边栏悬停白色文字,High
Sider,Sider Text Active,#FFFFFF,侧边栏文字激活,侧边栏激活白色文字,High
Sider,Sider Icon Size,16px,侧边栏图标大小,侧边栏菜单图标16px,Medium
Sider,Sider Icon Color,rgba(255 255 255 0.65),侧边栏图标颜色,侧边栏图标半透明白色,Medium
Sider,Sider Icon Active,#FFFFFF,侧边栏图标激活,侧边栏激活图标白色,Medium
Sider,Sider Collapse Button,bottom,收起按钮位置,侧边栏收起按钮在底部,Medium
Sider,Sider Collapse Icon,MenuFoldOutlined/MenuUnfoldOutlined,收起按钮图标,侧边栏收起/展开图标,Low
MenuItem,Menu Item Height,40px,菜单项高度,侧边栏菜单项高度40px,High
MenuItem,Menu Item Padding,0 16px,菜单项内边距,菜单项左右内边距16px,Medium
MenuItem,Menu Item Margin,4px 8px,菜单项外边距,菜单项上下左右外边距,Medium
MenuItem,Menu Item Border Radius,4px,菜单项圆角,菜单项圆角4px,Medium
MenuItem,Menu Item Font Size,14px,菜单项字号,菜单项文字14px,High
MenuItem,Menu Item Icon Gap,8px,菜单项图标间距,图标与文字间距8px,Medium
MenuItem,Menu Item Hover Background,rgba(255 255 255 0.1),菜单项悬停背景,菜单项悬停半透明白色背景,High
MenuItem,Menu Item Active Background,rgba(255 255 255 0.2),菜单项激活背景,菜单项激活半透明白色背景,High
MenuItem,Menu Item Selected Background,#FFFFFF,菜单项选中背景,菜单项选中白色背景,High
MenuItem,Menu Item Selected Color,#165DFF,菜单项选中文字,菜单项选中蓝色文字#165DFF,High
MenuItem,Menu Item Selected Icon,#165DFF,菜单项选中图标,菜单项选中蓝色图标#165DFF,High
MenuItem,Menu Item Arrow Icon,RightOutlined,菜单项箭头图标,子菜单展开箭头图标,Low
MenuItem,Menu Item Arrow Size,12px,菜单项箭头大小,子菜单箭头图标12px,Low
SubMenu,SubMenu Indent,24px,子菜单缩进,子菜单每级缩进24px,Medium
SubMenu,SubMenu Arrow Rotate,90deg,子菜单箭头旋转,展开时箭头旋转90度,Low
SubMenu,SubMenu Transition,0.3s,子菜单动画时长,子菜单展开收起动画0.3s,Low
Dropdown,Dropdown Panel Background,#FFFFFF,下拉面板背景,下拉面板白色背景,High
Dropdown,Dropdown Panel Shadow,0 6px 16px rgba(0 0 0 0.08),下拉面板阴影,下拉面板阴影效果,High
Dropdown,Dropdown Panel Border Radius,8px,下拉面板圆角,下拉面板圆角8px,Medium
Dropdown,Dropdown Panel Padding,8px,下拉面板内边距,下拉面板内边距8px,Medium
Dropdown,Dropdown Item Height,36px,下拉菜单项高度,下拉菜单项高度36px,Medium
Dropdown,Dropdown Item Padding,0 12px,下拉菜单项内边距,下拉菜单项左右内边距12px,Medium
Dropdown,Dropdown Item Hover,#F2F3F5,下拉菜单项悬停,下拉菜单项悬停灰色背景,Medium
Dropdown,Dropdown Item Active,#E8F3FF,下拉菜单项激活,下拉菜单项激活蓝色背景,Medium
Dropdown,Dropdown Item Selected,#165DFF,下拉菜单项选中文字,下拉菜单项选中蓝色文字,High
Dropdown,Dropdown Divider,1px solid #E5E6EB,下拉分割线,下拉菜单分割线样式,Low
MegaMenu,MegaMenu Panel Width,auto,超级菜单面板宽度,超级菜单面板自适应宽度,High
MegaMenu,MegaMenu Panel Max Width,1200px,超级菜单最大宽度,超级菜单面板最大宽度1200px,High
MegaMenu,MegaMenu Panel Background,#FFFFFF,超级菜单背景,超级菜单白色背景,High
MegaMenu,MegaMenu Panel Shadow,0 6px 20px rgba(0 0 0 0.1),超级菜单阴影,超级菜单面板阴影效果,High
MegaMenu,MegaMenu Panel Border Radius,8px,超级菜单圆角,超级菜单面板圆角8px,Medium
MegaMenu,MegaMenu Column Width,200px,超级菜单列宽,超级菜单每列宽度200px,Medium
MegaMenu,MegaMenu Column Gap,24px,超级菜单列间距,超级菜单列间距24px,Medium
MegaMenu,MegaMenu Group Title,14px bold #1D2129,超级菜单分组标题,超级菜单分组标题样式,High
MegaMenu,MegaMenu Group Title Margin,0 0 8px 0,超级菜单分组标题边距,分组标题下边距8px,Medium
MegaMenu,MegaMenu Item Font Size,14px,超级菜单项字号,超级菜单项文字14px,Medium
MegaMenu,MegaMenu Item Color,#4E5969,超级菜单项颜色,超级菜单项灰色文字,Medium
MegaMenu,MegaMenu Item Hover Color,#165DFF,超级菜单项悬停颜色,超级菜单项悬停蓝色文字,Medium
MegaMenu,MegaMenu Item Line Height,32px,超级菜单项行高,超级菜单项行高32px,Medium
MegaMenu,MegaMenu Highlight Background,linear-gradient(135deg #E8F7E8 #F0FFF0),超级菜单高亮背景,超级菜单高亮区域渐变绿色背景,Medium
MegaMenu,MegaMenu Highlight Border Radius,8px,超级菜单高亮圆角,超级菜单高亮区域圆角8px,Medium
MegaMenu,MegaMenu Badge,#FF4D4F,超级菜单徽标,超级菜单NEW/HOT徽标红色,Medium
MegaMenu,MegaMenu Badge Font Size,10px,超级菜单徽标字号,超级菜单徽标文字10px,Low
MegaMenu,MegaMenu Badge Padding,2px 6px,超级菜单徽标内边距,超级菜单徽标内边距,Low
MegaMenu,MegaMenu Badge Border Radius,10px,超级菜单徽标圆角,超级菜单徽标圆角10px,Low
Responsive,Breakpoint XL,1920px,超大屏断点,1920px及以上超大屏布局,High
Responsive,Breakpoint LG,1440px,大屏断点,1440px大屏布局,High
Responsive,Breakpoint MD,992px,中屏断点,992px中屏布局,High
Responsive,Breakpoint SM,768px,小屏断点,768px小屏布局,High
Responsive,Layout XL Fixed Width,208px,超大屏固定区域,1920px以上侧边栏固定208px,High
Responsive,Layout XL Adaptive,calc(100% - 208px),超大屏适配区域,1920px以上内容区域自适应,High
Responsive,Layout LG Fixed Width,208px,大屏固定区域,1440px侧边栏固定208px,High
Responsive,Layout LG Adaptive,calc(100% - 208px),大屏适配区域,1440px内容区域自适应宽度280px起,High
Responsive,Layout MD Fixed Width,208px,中屏固定区域,992px以下侧边栏固定208px,High
Responsive,Layout MD Adaptive,calc(100% - 208px),中屏适配区域,992px以下内容区域最小宽度784px,High
Responsive,Layout Right Panel,固定区域/比例适配,右侧面板布局,右侧面板固定或比例适配,Medium
Responsive,Content Min Width,784px,内容最小宽度,内容区域最小宽度784px,High
SiderInteraction,Sider Expand Trigger,hover/click,侧边栏展开触发,一级有收缩点击展开/二级有收缩悬停展开,High
SiderInteraction,Sider Expand Animation,0.2s ease,侧边栏展开动画,侧边栏展开收起动画0.2s,Medium
SiderInteraction,Sider Level 1 Behavior,点击展开,一级菜单行为,一级有收缩点击展开没有则打开,High
SiderInteraction,Sider Level 2 Behavior,悬停展开,二级菜单行为,二级有收缩悬停展开没有则打开,High
SiderInteraction,Sider Keep Expanded,true,菜单展开保持,菜单展开时切页面保持状态,Medium
SiderInteraction,Sider Scroll Behavior,内部滚动,侧边栏滚动,侧边栏内容超出时内部滚动,Medium
SpaceSwitcher,Space Switcher Width,208px,空间切换器宽度,空间切换器宽度与侧边栏一致,High
SpaceSwitcher,Space Switcher Background,#165DFF,空间切换器背景,空间切换器蓝色背景,High
SpaceSwitcher,Space Switcher Height,48px,空间切换器高度,空间切换器高度48px,Medium
SpaceSwitcher,Space Switcher Padding,8px 12px,空间切换器内边距,空间切换器内边距,Medium
SpaceSwitcher,Space Switcher Dropdown Background,#FFFFFF,空间切换下拉背景,空间切换下拉白色背景,High
