Category,Name,Value,Usage,Description,Severity
Size,Badge Dot Size,8px,徽标点尺寸,徽标点直径8px,High
Size,Badge Number Size Small,16px,小数字徽标尺寸,小数字徽标最小尺寸16px,Medium
Size,Badge Number Size Default,18px,默认数字徽标尺寸,默认数字徽标尺寸18px,High
Size,Badge Number Size Large,20px,大数字徽标尺寸,大数字徽标尺寸20px,Medium
Size,Badge Number Height,16px,数字徽标高度,数字徽标高度16px,High
Size,Badge Number Min Width,16px,数字徽标最小宽度,数字徽标最小宽度16px,High
Size,Badge Number Padding Horizontal,4px,数字徽标水平内边距,数字徽标左右内边距4px,High
Size,Badge Text Height,18px,文字徽标高度,文字徽标高度18px,High
Size,Badge Text Min Width,18px,文字徽标最小宽度,文字徽标最小宽度18px,Medium
Size,Badge Text Padding Horizontal,6px,文字徽标水平内边距,文字徽标左右内边距6px,High
Size,Badge Font Size,12px,徽标字号,徽标文字12px,High
Size,Badge Border Width,2px,徽标边框宽度,徽标边框宽度2px,High
Size,Badge Border Radius Dot,50%,点徽标圆角,点徽标圆形50%,High
Size,Badge Border Radius Number,8px,数字徽标圆角,数字徽标圆角8px,High
Size,Badge Border Radius Text,9px,文字徽标圆角,文字徽标圆角9px,High
Size,Badge Offset X,4px,徽标X轴偏移,徽标X轴偏移4px,High
Size,Badge Offset Y,4px,徽标Y轴偏移,徽标Y轴偏移4px,High
Size,Badge Offset X Top Right,8px,右上角X轴偏移,右上角徽标X轴偏移8px,High
Size,Badge Offset Y Top Right,8px,右上角Y轴偏移,右上角徽标Y轴偏移8px,High
Size,Badge Offset X Top Left,8px,左上角X轴偏移,左上角徽标X轴偏移8px,Medium
Size,Badge Offset Y Top Left,8px,左上角Y轴偏移,左上角徽标Y轴偏移8px,Medium
Size,Badge Offset X Bottom Right,8px,右下角X轴偏移,右下角徽标X轴偏移8px,Low
Size,Badge Offset Y Bottom Right,8px,右下角Y轴偏移,右下角徽标Y轴偏移8px,Low
Size,Badge Offset X Bottom Left,8px,左下角X轴偏移,左下角徽标X轴偏移8px,Low
Size,Badge Offset Y Bottom Left,8px,左下角Y轴偏移,左下角徽标Y轴偏移8px,Low
Color,Badge Background Red,#F53F3F,红色徽标背景,红色徽标背景#F53F3F,High
