Category,Name,Value,Usage,Description,Severity
Purpose,Checkbox Purpose,多项选择,多选框用途,在一组可选项中进行多项选择时使用,High
Purpose,Checkbox Scenario,状态标记,使用场景,单独使用可以表示两种状态之间的切换和switch类似,High
Purpose,Checkbox Difference,需要提交操作,与Switch区别,区别在于切换switch会直接触发状态改变而checkbox一般用于状态标记需要和提交操作配合,High
Purpose,Checkbox Behavior,多选可选,多选行为,同一组内可以选中多个选项,High
Type,Type Default,默认类型,默认多选框,方形多选框默认样式,High
Type,Type Button,按钮类型,按钮多选框,按钮样式的多选框,Medium
Type,Type Card,卡片类型,卡片多选框,卡片样式的多选框,Low
Size,Size Default,16px,默认大小,多选框默认大小16px,High
Size,Size Small,14px,小尺寸,多选框小尺寸14px,Medium
Size,Size Large,18px,大尺寸,多选框大尺寸18px,Low
Checkbox,Checkbox Width,16px,多选框宽度,多选框宽度16px,High
Checkbox,Checkbox Height,16px,多选框高度,多选框高度16px,High
Checkbox,Checkbox Border Radius,2px,多选框圆角,多选框圆角2px,High
Checkbox,Checkbox Border Width,1px,多选框边框宽度,多选框边框宽度1px,Medium
Checkbox,Checkbox Transition,all 0.2s,多选框过渡,多选框状态过渡0.2s,Low
Unchecked,Unchecked Background,#FFFFFF,未选中背景,未选中状态白色背景,High
Unchecked,Unchecked Border,1px solid #C9CDD4,未选中边框,未选中状态灰色边框#C9CDD4,High
Hover,Hover Background,#FFFFFF,悬停背景,悬停状态白色背景,Medium
Hover,Hover Border,1px solid #165DFF,悬停边框,悬停状态蓝色边框#165DFF,High
Checked,Checked Background,#165DFF,选中背景,选中状态蓝色背景#165DFF,High
Checked,Checked Border,1px solid #165DFF,选中边框,选中状态蓝色边框#165DFF,High
Checked,Checked Icon,CheckOutlined,选中图标,选中状态勾选图标,High
Checked,Checked Icon Color,#FFFFFF,选中图标颜色,选中状态白色勾选图标,High
Checked,Checked Icon Size,12px,选中图标大小,选中状态勾选图标12px,Medium
Indeterminate,Indeterminate Background,#165DFF,半选背景,半选状态蓝色背景#165DFF,High
Indeterminate,Indeterminate Border,1px solid #165DFF,半选边框,半选状态蓝色边框#165DFF,High
