Category,Name,Value,Usage,Description,Severity
Purpose,Upload Purpose,文件上传,上传用途,上传是将信息（网页、文字、图片、视频等）通过网页或者上传工具发布到远程服务器上的过程,High
Purpose,Upload Scenario File,文件上传,文件场景,当需要上传一个或一些文件时,High
Purpose,Upload Scenario Progress,进度展示,进度场景,当需要展现上传的进度时,High
Purpose,Upload Scenario Drag,拖拽交互,拖拽场景,当需要使用拖拽交互时,High
Type,Type Button,点击上传,按钮类型,点击按钮选择文件上传,High
Type,Type Drag,拖拽上传,拖拽类型,拖拽文件到区域上传,High
Type,Type Picture,图片上传,图片类型,图片文件上传展示缩略图,High
Type,Type Picture Wall,照片墙,照片墙类型,多图片网格展示,High
Type,Type Picture Card,图片卡片,图片卡片类型,卡片形式展示图片,High
Type,Type Avatar,头像上传,头像类型,头像图片上传,Medium
Type,Type Directory,文件夹上传,文件夹类型,上传整个文件夹,Low
ButtonUpload,Button Type,default,按钮类型,上传按钮默认类型,High
ButtonUpload,Button Text,上传文件,按钮文字,上传按钮文字,High
ButtonUpload,Button Icon,UploadOutlined,按钮图标,上传按钮上传图标,High
ButtonUpload,Button Height,32px,按钮高度,上传按钮高度32px,High
ButtonUpload,Button Padding,0 16px,按钮内边距,上传按钮内边距,Medium
ButtonUpload,Button Border,1px solid #E5E6EB,按钮边框,上传按钮灰色边框,High
ButtonUpload,Button Border Radius,2px,按钮圆角,上传按钮圆角2px,Medium
ButtonUpload,Button Background,#FFFFFF,按钮背景,上传按钮白色背景,High
ButtonUpload,Button Color,#1D2129,按钮颜色,上传按钮深色文字,High
ButtonUpload,Button Hover Border,1px solid #165DFF,按钮悬停边框,悬停时蓝色边框,Medium
ButtonUpload,Button Hover Color,#165DFF,按钮悬停颜色,悬停时蓝色文字,Medium
DragUpload,Drag Area Width,100%,拖拽区域宽度,拖拽区域全宽,High
DragUpload,Drag Area Height,150px,拖拽区域高度,拖拽区域高度150px,High
DragUpload,Drag Area Background,#FAFBFC,拖拽区域背景,拖拽区域浅灰背景,High
DragUpload,Drag Area Border,1px dashed #E5E6EB,拖拽区域边框,拖拽区域虚线边框,High
DragUpload,Drag Area Border Radius,4px,拖拽区域圆角,拖拽区域圆角4px,Medium
DragUpload,Drag Area Padding,24px,拖拽区域内边距,拖拽区域内边距24px,Medium
DragUpload,Drag Area Text Align,center,拖拽区域对齐,拖拽区域内容居中,Medium
DragUpload,Drag Area Cursor,pointer,拖拽区域光标,拖拽区域可点击光标,Medium
DragUpload,Drag Hover Background,#E8F3FF,拖拽悬停背景,拖拽悬停浅蓝背景,High
DragUpload,Drag Hover Border,1px dashed #165DFF,拖拽悬停边框,拖拽悬停蓝色虚线边框,High
DragUpload,Drag Icon,InboxOutlined,拖拽图标,拖拽区域收件箱图标,High
DragUpload,Drag Icon Size,48px,拖拽图标大小,拖拽图标48px,Medium
DragUpload,Drag Icon Color,#165DFF,拖拽图标颜色,拖拽图标蓝色,Medium
DragUpload,Drag Title,点击或拖拽文件到此处上传,拖拽标题,拖拽区域标题文字,High
DragUpload,Drag Title Font Size,14px,拖拽标题字号,拖拽标题字号14px,Medium
DragUpload,Drag Title Color,#1D2129,拖拽标题颜色,拖拽标题深色文字,Medium
DragUpload,Drag Hint,支持扩展名：.doc .docx .pdf,拖拽提示,拖拽区域提示文字,Medium
DragUpload,Drag Hint Font Size,12px,拖拽提示字号,拖拽提示字号12px,Medium
DragUpload,Drag Hint Color,#86909C,拖拽提示颜色,拖拽提示灰色文字,Medium
PictureCard,Card Width,104px,卡片宽度,图片卡片宽度104px,High
PictureCard,Card Height,104px,卡片高度,图片卡片高度104px,High
PictureCard,Card Border,1px dashed #E5E6EB,卡片边框,图片卡片虚线边框,High
PictureCard,Card Border Radius,4px,卡片圆角,图片卡片圆角4px,Medium
PictureCard,Card Background,#FAFBFC,卡片背景,图片卡片浅灰背景,High
PictureCard,Card Margin Right,8px,卡片右间距,图片卡片右侧间距8px,High
PictureCard,Card Margin Bottom,8px,卡片底间距,图片卡片底部间距8px,High
PictureCard,Card Cursor,pointer,卡片光标,图片卡片可点击光标,Medium
PictureCard,Card Hover Border,1px dashed #165DFF,卡片悬停边框,悬停时蓝色虚线边框,Medium
PictureCard,Card Add Icon Size,24px,添加图标大小,添加图标24px,Medium
PictureCard,Card Add Icon Color,#86909C,添加图标颜色,添加图标灰色,Medium
PictureCard,Card Add Text,上传,添加文字,添加卡片文字,Medium
PictureCard,Card Add Text Font Size,12px,添加文字字号,添加文字字号12px,Medium
PictureCard,Card Add Text Color,#86909C,添加文字颜色,添加文字灰色,Medium
PictureCard,Card Add Text Margin Top,8px,添加文字顶间距,添加文字顶部间距8px,Medium
PicturePreview,Preview Width,100%,预览宽度,图片预览全宽,High
PicturePreview,Preview Height,100%,预览高度,图片预览全高,High
PicturePreview,Preview Object Fit,cover,预览填充,图片预览覆盖填充,High
PicturePreview,Preview Border Radius,4px,预览圆角,图片预览圆角4px,Medium
PicturePreview,Preview Mask,rgba(0 0 0 0.5),预览遮罩,图片预览半透明遮罩,High
PicturePreview,Preview Mask Show,hover,预览遮罩显示,悬停时显示遮罩,High
PicturePreview,Preview Actions,preview delete,预览操作,预览和删除操作,High
PicturePreview,Preview Icon Size,16px,预览图标大小,预览操作图标16px,Medium
PicturePreview,Preview Icon Color,#FFFFFF,预览图标颜色,预览操作图标白色,Medium
PicturePreview,Preview Icon Gap,8px,预览图标间距,预览操作图标间距8px,Medium
PicturePreview,Preview Eye Icon,EyeOutlined,预览眼睛图标,预览操作眼睛图标,High
PicturePreview,Preview Delete Icon,DeleteOutlined,预览删除图标,预览操作删除图标,High
PictureWall,Wall Layout,flex,照片墙布局,照片墙flex布局,High
PictureWall,Wall Flex Wrap,wrap,照片墙换行,照片墙自动换行,High
PictureWall,Wall Gap,8px,照片墙间距,照片墙图片间距8px,High
