Category,Name,Value,Usage,Description,Severity
Size,Button Height Mini,24px,迷你按钮高度,迷你按钮高度24px,Low
Size,Button Height Small,28px,小按钮高度,小按钮高度28px,Medium
Size,Button Height Default,32px,默认按钮高度,默认按钮高度32px,High
Size,Button Height Large,36px,大按钮高度,大按钮高度36px,Medium
Size,Button Padding Mini,0 8px,迷你按钮内边距,迷你按钮左右内边距8px,Low
Size,Button Padding Small,0 12px,小按钮内边距,小按钮左右内边距12px,Medium
Size,Button Padding Default,0 16px,默认按钮内边距,默认按钮左右内边距16px,High
Size,Button Padding Large,0 20px,大按钮内边距,大按钮左右内边距20px,Medium
Size,Button Font Size Mini,12px,迷你按钮字号,迷你按钮文字12px,Low
Size,Button Font Size Small,14px,小按钮字号,小按钮文字14px,Medium
Size,Button Font Size Default,14px,默认按钮字号,默认按钮文字14px,High
Size,Button Font Size Large,14px,大按钮字号,大按钮文字14px,Medium
Size,Button Border Radius,2px,按钮圆角,按钮圆角2px,High
Size,Button Icon Size,16px,按钮图标大小,按钮内图标16px,Medium
Size,Button Icon Gap,8px,按钮图标间距,图标与文字间距8px,Medium
Type,Primary Background,#165DFF,主按钮背景,主按钮蓝色背景#165DFF,High
Type,Primary Color,#FFFFFF,主按钮文字,主按钮白色文字,High
Type,Primary Border,none,主按钮边框,主按钮无边框,High
Type,Primary Hover Background,#4080FF,主按钮悬停背景,主按钮悬停浅蓝#4080FF,High
Type,Primary Active Background,#0E42D2,主按钮点击背景,主按钮点击深蓝#0E42D2,Medium
Type,Primary Disabled Background,#94BFFF,主按钮禁用背景,主按钮禁用浅蓝#94BFFF,Medium
Type,Primary Disabled Color,#FFFFFF,主按钮禁用文字,主按钮禁用白色文字,Medium
Type,Secondary Background,#F2F3F5,次按钮背景,次按钮灰色背景#F2F3F5,Medium
Type,Secondary Color,#4E5969,次按钮文字,次按钮灰色文字#4E5969,Medium
Type,Secondary Border,none,次按钮边框,次按钮无边框,Medium
Type,Secondary Hover Background,#E5E6EB,次按钮悬停背景,次按钮悬停深灰#E5E6EB,Medium
Type,Secondary Active Background,#C9CDD4,次按钮点击背景,次按钮点击更深灰#C9CDD4,Low
Type,Secondary Disabled Background,#F7F8FA,次按钮禁用背景,次按钮禁用浅灰#F7F8FA,Low
Type,Secondary Disabled Color,#C9CDD4,次按钮禁用文字,次按钮禁用灰色#C9CDD4,Low
Type,Outline Background,transparent,线框按钮背景,线框按钮透明背景,Medium
Type,Outline Color,#165DFF,线框按钮文字,线框按钮蓝色文字#165DFF,Medium
Type,Outline Border,1px solid #165DFF,线框按钮边框,线框按钮蓝色边框,Medium
Type,Outline Hover Background,#E8F3FF,线框按钮悬停背景,线框按钮悬停浅蓝背景,Medium
Type,Outline Active Background,#BEDAFF,线框按钮点击背景,线框按钮点击浅蓝背景,Low
Type,Outline Disabled Border,1px solid #94BFFF,线框按钮禁用边框,线框按钮禁用浅蓝边框,Low
Type,Outline Disabled Color,#94BFFF,线框按钮禁用文字,线框按钮禁用浅蓝文字,Low

Type,Dashed Background,transparent,虚线按钮背景,虚线按钮透明背景,Low
