Category,Name,Value,Usage,Description,Severity
Purpose,Tab Purpose,内容分类切换,标签页用途,用于在同一区域内切换显示不同内容分类,High
Purpose,Tab Behavior,点击切换内容,标签页行为,点击标签项切换对应内容面板,High
Purpose,Tab Limit,建议2-7个,标签数量限制,标签数量建议2-7个避免过多,Medium
Size,Size Large,48px,大尺寸标签,大尺寸标签高度48px,Medium
Size,Size Default,40px,默认尺寸标签,默认尺寸标签高度40px,High
Size,Size Small,32px,小尺寸标签,小尺寸标签高度32px,Medium
Size,Size Mini,24px,迷你尺寸标签,迷你尺寸标签高度24px,Low
Type,Type Line,下划线类型,线条类型,标签底部下划线指示器,High
Type,Type Card,卡片类型,卡片类型,标签卡片样式带背景,Medium
Type,Type Card Gutter,卡片间隔类型,卡片间隔类型,卡片标签之间有间隔,Medium
Type,Type Segment,分段类型,分段类型,分段控制器样式,Medium
Type,Type Capsule,胶囊类型,胶囊类型,胶囊形状圆角标签,Medium
Type,Type Text,纯文字类型,文字类型,纯文字无边框无背景,Low
LineTab,Line Tab Height,40px,线条标签高度,线条类型标签高度40px,High
LineTab,Line Tab Padding,0 16px,线条标签内边距,线条标签左右内边距16px,High
LineTab,Line Tab Font Size,14px,线条标签字号,线条标签文字14px,High
LineTab,Line Tab Color,#4E5969,线条标签颜色,线条标签默认灰色文字,High
LineTab,Line Tab Hover Color,#165DFF,线条标签悬停颜色,线条标签悬停蓝色文字,Medium
LineTab,Line Tab Active Color,#165DFF,线条标签激活颜色,线条标签激活蓝色文字,High
LineTab,Line Tab Active Font Weight,500,线条标签激活字重,线条标签激活中等字重,Medium
LineTab,Line Indicator Height,2px,线条指示器高度,底部线条指示器高度2px,High
LineTab,Line Indicator Color,#165DFF,线条指示器颜色,底部线条指示器蓝色,High
LineTab,Line Indicator Width,auto,线条指示器宽度,线条指示器宽度与文字等宽,Medium
LineTab,Line Indicator Transition,0.3s,线条指示器过渡,线条指示器滑动动画0.3s,Medium
LineTab,Line Border Bottom,1px solid #E5E6EB,线条标签底边框,线条标签底部分割线,Medium
CardTab,Card Tab Height,40px,卡片标签高度,卡片类型标签高度40px,High
CardTab,Card Tab Padding,0 16px,卡片标签内边距,卡片标签左右内边距16px,High
CardTab,Card Tab Font Size,14px,卡片标签字号,卡片标签文字14px,High
CardTab,Card Tab Background,#F7F8FA,卡片标签背景,卡片标签默认灰色背景,High
CardTab,Card Tab Color,#4E5969,卡片标签颜色,卡片标签默认灰色文字,High
