Category,Name,Value,Usage,Description,Severity
Size,Progress Line Height Small,4px,小进度条高度,小尺寸线性进度条高度4px,Medium
Size,Progress Line Height Default,6px,默认进度条高度,默认线性进度条高度6px,High
Size,Progress Line Height Large,8px,大进度条高度,大尺寸线性进度条高度8px,Medium
Size,Progress Line Width,100%,进度条宽度,线性进度条宽度100%,High
Size,Progress Line Min Width,200px,进度条最小宽度,线性进度条最小宽度200px,Medium
Size,Progress Circle Size Small,80px,小圆形进度条尺寸,小尺寸圆形进度条直径80px,Medium
Size,Progress Circle Size Default,120px,默认圆形进度条尺寸,默认圆形进度条直径120px,High
Size,Progress Circle Size Large,160px,大圆形进度条尺寸,大尺寸圆形进度条直径160px,Medium
Size,Progress Circle Stroke Width Small,4px,小圆形进度条线宽,小尺寸圆形进度条线宽4px,Medium
Size,Progress Circle Stroke Width Default,6px,默认圆形进度条线宽,默认圆形进度条线宽6px,High
Size,Progress Circle Stroke Width Large,8px,大圆形进度条线宽,大尺寸圆形进度条线宽8px,Medium
Size,Progress Text Font Size Small,12px,小进度文字字号,小尺寸进度文字12px,Medium
Size,Progress Text Font Size Default,14px,默认进度文字字号,默认进度文字14px,High
Size,Progress Text Font Size Large,16px,大进度文字字号,大尺寸进度文字16px,Medium
Size,Progress Text Gap,8px,进度文字间距,进度条与文字间距8px,Medium
Size,Progress Border Radius Line,100px,线性进度条圆角,线性进度条圆角100px,High
Size,Progress Dot Size,8px,进度点大小,进度点直径8px,Medium
Size,Progress Dot Gap,4px,进度点间距,进度点与进度条间距4px,Low
Color,Progress Track Background,#F2F3F5,进度条轨道背景,进度条轨道灰色背景#F2F3F5,High
Color,Progress Bar Background Default,#165DFF,默认进度条颜色,默认进度条蓝色#165DFF,High
Color,Progress Bar Background Success,#00B42A,成功进度条颜色,成功进度条绿色#00B42A,High
Color,Progress Bar Background Warning,#FF7D00,警告进度条颜色,警告进度条橙色#FF7D00,High
Color,Progress Bar Background Error,#F53F3F,错误进度条颜色,错误进度条红色#F53F3F,High
Color,Progress Text Color,#1D2129,进度文字颜色,进度文字深色#1D2129,High
Color,Progress Text Color Secondary,#4E5969,进度文字次要颜色,进度文字次要灰色#4E5969,Medium
Color,Progress Dot Color,#165DFF,进度点颜色,进度点蓝色#165DFF,Medium
Color,Progress Circle Text Color,#1D2129,圆形进度文字颜色,圆形进度文字深色#1D2129,High
Type,Type Line,line,线性类型,线性进度条,High
Type,Type Circle,circle,圆形类型,圆形进度条,High
Type,Type Dashboard,dashboard,仪表盘类型,仪表盘进度条,Medium
Status,Status Normal,normal,正常状态,正常进度状态,High
Status,Status Success,success,成功状态,成功进度状态,High
Status,Status Warning,warning,警告状态,警告进度状态,High
Status,Status Error,error,错误状态,错误进度状态,High
Status,Status Active,active,活动状态,活动进度状态,Medium
Percentage,Percentage Min,0%,最小百分比,进度最小值0%,High
Percentage,Percentage Max,100%,最大百分比,进度最大值100%,High
Percentage,Percentage Format,{value}%,百分比格式,百分比显示格式,High
Percentage,Percentage Precision,0,百分比精度,百分比小数位数0,Medium
Percentage,Percentage Precision Decimal,2,百分比小数精度,百分比小数位数2,Low
Text,Text Inside,false,文字内置,文字不在进度条内,Medium
Text,Text Outside,true,文字外置,文字在进度条外,High
Text,Text Position Right,right,文字右侧,文字在进度条右侧,High
Text,Text Position Bottom,bottom,文字底部,文字在进度条底部,Medium
Text,Text Position Center,center,文字居中,文字在圆形进度条中心,High
Text,Text Visible,true,显示文字,显示进度文字,High
Text,Text Hidden,false,隐藏文字,隐藏进度文字,Low
Text,Text Font Weight,400,文字字重,进度文字字重400,Medium
Text,Text Line Height,22px,文字行高,进度文字行高22px,Medium
Animation,Animation Duration,0.3s,动画时长,进度条动画时长0.3s,Medium
Animation,Animation Timing,ease,动画曲线,进度条动画曲线ease,Medium
Animation,Animation Active,true,活动动画,启用活动状态动画,Medium
Animation,Animation Active Duration,2s,活动动画时长,活动状态动画时长2s,Low
Animation,Animation Stripe,true,条纹动画,启用条纹动画,Low
Animation,Animation Stripe Duration,2s,条纹动画时长,条纹动画时长2s,Low
Stripe,Stripe Enabled,false,启用条纹,不启用条纹效果,Low
Stripe,Stripe Width,20px,条纹宽度,条纹宽度20px,Low
Stripe,Stripe Angle,45deg,条纹角度,条纹角度45度,Low
Stripe,Stripe Color,rgba(255 255 255 0.2),条纹颜色,条纹半透明白色,Low
Gradient,Gradient Enabled,false,启用渐变,不启用渐变效果,Low
Gradient,Gradient From,#165DFF,渐变起始色,渐变起始蓝色#165DFF,Low
Gradient,Gradient To,#722ED1,渐变结束色,渐变结束紫色#722ED1,Low
Gradient,Gradient Direction,to right,渐变方向,渐变从左到右,Low
Track,Track Background,#F2F3F5,轨道背景,轨道灰色背景#F2F3F5,High
Track,Track Border Radius,100px,轨道圆角,轨道圆角100px,High
Track,Track Height,6px,轨道高度,轨道高度6px,High
Bar,Bar Background,#165DFF,进度条背景,进度条蓝色背景#165DFF,High
Bar,Bar Border Radius,100px,进度条圆角,进度条圆角100px,High
Bar,Bar Height,6px,进度条高度,进度条高度6px,High
Bar,Bar Transition,width 0.3s ease,进度条过渡,进度条宽度过渡效果,Medium
Circle,Circle Stroke Linecap,round,圆形线帽,圆形进度条圆形线帽,High
