Category,Name,Value,Usage,Description,Severity
Size,MessageBox Width Small,416px,小对话框宽度,小尺寸对话框宽度416px,Medium
Size,MessageBox Width Default,520px,默认对话框宽度,默认对话框宽度520px,High
Size,MessageBox Width Large,720px,大对话框宽度,大尺寸对话框宽度720px,Medium
Size,MessageBox Min Width,416px,对话框最小宽度,对话框最小宽度416px,High
Size,MessageBox Max Width,90vw,对话框最大宽度,对话框最大宽度90vw,Medium
Size,MessageBox Min Height,200px,对话框最小高度,对话框最小高度200px,Medium
Size,MessageBox Max Height,90vh,对话框最大高度,对话框最大高度90vh,Medium
Size,MessageBox Header Height,56px,对话框头部高度,对话框头部高度56px,High
Size,MessageBox Footer Height,64px,对话框底部高度,对话框底部高度64px,High
Size,MessageBox Header Padding,16px 24px,对话框头部内边距,对话框头部内边距上下16px左右24px,High
Size,MessageBox Body Padding,24px,对话框主体内边距,对话框主体内边距24px,High
Size,MessageBox Footer Padding,16px 24px,对话框底部内边距,对话框底部内边距上下16px左右24px,High
Size,MessageBox Border Radius,8px,对话框圆角,对话框圆角8px,High
Size,MessageBox Title Font Size,16px,对话框标题字号,对话框标题文字16px,High
Size,MessageBox Content Font Size,14px,对话框内容字号,对话框内容文字14px,High
Size,MessageBox Icon Size,20px,对话框图标大小,对话框图标大小20px,High
Size,MessageBox Icon Gap,12px,对话框图标间距,图标与文字间距12px,Medium
Size,MessageBox Close Icon Size,16px,关闭图标大小,关闭图标大小16px,Medium
Size,MessageBox Button Height,32px,对话框按钮高度,对话框按钮高度32px,High
Size,MessageBox Button Padding,0 16px,对话框按钮内边距,对话框按钮左右内边距16px,Medium
Size,MessageBox Button Gap,8px,对话框按钮间距,对话框按钮间距8px,High
Color,MessageBox Background,#FFFFFF,对话框背景,对话框白色背景,High
Color,MessageBox Header Background,#FFFFFF,对话框头部背景,对话框头部白色背景,High
Color,MessageBox Body Background,#FFFFFF,对话框主体背景,对话框主体白色背景,High
Color,MessageBox Footer Background,#FFFFFF,对话框底部背景,对话框底部白色背景,High
Color,MessageBox Title Color,#1D2129,对话框标题颜色,对话框标题深色文字#1D2129,High
Color,MessageBox Content Color,#4E5969,对话框内容颜色,对话框内容灰色文字#4E5969,High
Color,MessageBox Border Color,#E5E6EB,对话框边框颜色,对话框边框灰色#E5E6EB,Low
Color,MessageBox Close Icon Color,#86909C,关闭图标颜色,关闭图标灰色#86909C,Medium
Color,MessageBox Close Icon Hover Color,#4E5969,关闭图标悬停颜色,关闭图标悬停深灰#4E5969,Medium
Color,MessageBox Icon Info Color,#165DFF,信息图标颜色,信息图标蓝色#165DFF,High
Color,MessageBox Icon Success Color,#00B42A,成功图标颜色,成功图标绿色#00B42A,High
Color,MessageBox Icon Warning Color,#FF7D00,警告图标颜色,警告图标橙色#FF7D00,High
Color,MessageBox Icon Error Color,#F53F3F,错误图标颜色,错误图标红色#F53F3F,High
Color,MessageBox Mask Background,rgba(0 0 0 0.45),对话框遮罩背景,对话框遮罩半透明黑色背景,High
Shadow,MessageBox Shadow,0 8px 24px rgba(0 0 0 0.15),对话框阴影,对话框阴影效果,High
Shadow,MessageBox Shadow Large,0 12px 32px rgba(0 0 0 0.2),对话框大阴影,对话框大阴影效果,Medium
Border,MessageBox Border Width,0,对话框边框宽度,对话框边框宽度0,Low
Border,MessageBox Border Style,none,对话框边框样式,对话框无边框,Low
Border,MessageBox Header Border Bottom,1px solid #E5E6EB,头部底部边框,头部底部灰色边框,Medium
Border,MessageBox Footer Border Top,1px solid #E5E6EB,底部顶部边框,底部顶部灰色边框,Medium
Type,Type Alert,alert,警告类型,警告对话框,High
Type,Type Confirm,confirm,确认类型,确认对话框,High
Type,Type Prompt,prompt,输入类型,输入对话框,Medium
Type,Type Custom,custom,自定义类型,自定义对话框,Medium
Icon,Icon Info,InfoCircleFilled,信息图标,信息类型使用InfoCircleFilled图标,High
Icon,Icon Success,CheckCircleFilled,成功图标,成功类型使用CheckCircleFilled图标,High
Icon,Icon Warning,ExclamationCircleFilled,警告图标,警告类型使用ExclamationCircleFilled图标,High
