Category,Name,Value,Usage,Description,Severity
Purpose,Switch Purpose,开关,开关用途,开关选择器表示两种相互对立的状态间的切换,High
Purpose,Switch Scenario,状态切换,使用场景,用于功能开启关闭/状态切换等场景,High
Purpose,Switch Behavior,点击切换,开关行为,点击开关切换开启关闭状态,High
Type,Type Default,默认开关,默认类型,基础开关样式,High
Type,Type With Text,文字开关,文字类型,带文字标签的开关,Medium
Type,Type With Icon,图标开关,图标类型,带图标的开关,Medium
Type,Type Loading,加载开关,加载类型,带加载状态的开关,Medium
Size,Size Large,大/40px,大尺寸,大尺寸开关宽度40px,Medium
Size,Size Default,中/36px,默认尺寸,默认尺寸开关宽度36px,High
Size,Size Small,小/28px,小尺寸,小尺寸开关宽度28px,Medium
Size,Size Mini,迷你/24px,迷你尺寸,迷你尺寸开关宽度24px,Low
SizeLarge,Large Width,40px,大尺寸宽度,大尺寸开关宽度40px,High
SizeLarge,Large Height,24px,大尺寸高度,大尺寸开关高度24px,High
SizeLarge,Large Handle Size,20px,大尺寸滑块大小,大尺寸滑块直径20px,High
SizeLarge,Large Handle Offset,2px,大尺寸滑块偏移,大尺寸滑块边距2px,Medium
SizeDefault,Default Width,36px,默认尺寸宽度,默认尺寸开关宽度36px,High
SizeDefault,Default Height,20px,默认尺寸高度,默认尺寸开关高度20px,High
SizeDefault,Default Handle Size,16px,默认尺寸滑块大小,默认尺寸滑块直径16px,High
SizeDefault,Default Handle Offset,2px,默认尺寸滑块偏移,默认尺寸滑块边距2px,Medium
SizeSmall,Small Width,28px,小尺寸宽度,小尺寸开关宽度28px,High
SizeSmall,Small Height,16px,小尺寸高度,小尺寸开关高度16px,High
SizeSmall,Small Handle Size,12px,小尺寸滑块大小,小尺寸滑块直径12px,High
SizeSmall,Small Handle Offset,2px,小尺寸滑块偏移,小尺寸滑块边距2px,Medium
SizeMini,Mini Width,24px,迷你尺寸宽度,迷你尺寸开关宽度24px,Medium
SizeMini,Mini Height,14px,迷你尺寸高度,迷你尺寸开关高度14px,Medium
SizeMini,Mini Handle Size,10px,迷你尺寸滑块大小,迷你尺寸滑块直径10px,Medium
SizeMini,Mini Handle Offset,2px,迷你尺寸滑块偏移,迷你尺寸滑块边距2px,Medium
Track,Track Border Radius,100px,轨道圆角,开关轨道全圆角,High
Track,Track Transition,all 0.2s,轨道过渡,开关轨道过渡动画,Medium
Track,Track Cursor,pointer,轨道光标,开关可点击光标,High
Unchecked,Unchecked Background,#C9CDD4,关闭背景,关闭状态灰色背景#C9CDD4,High
Unchecked,Unchecked Border,none,关闭边框,关闭状态无边框,Medium
Unchecked,Unchecked Handle Position,left,关闭滑块位置,关闭状态滑块在左侧,High
Unchecked,Unchecked Handle Left,2px,关闭滑块左偏移,关闭状态滑块左侧偏移2px,High
UncheckedHover,Unchecked Hover Background,#A9AEB8,关闭悬停背景,关闭悬停深灰背景#A9AEB8,Medium
Checked,Checked Background,#165DFF,开启背景,开启状态蓝色背景#165DFF,High
Checked,Checked Border,none,开启边框,开启状态无边框,Medium
Checked,Checked Handle Position,right,开启滑块位置,开启状态滑块在右侧,High
Checked,Checked Handle Right,2px,开启滑块右偏移,开启状态滑块右侧偏移2px,High
CheckedHover,Checked Hover Background,#4080FF,开启悬停背景,开启悬停浅蓝背景#4080FF,Medium
Handle,Handle Background,#FFFFFF,滑块背景,滑块白色背景,High
Handle,Handle Border Radius,50%,滑块圆角,滑块圆形,High
Handle,Handle Shadow,0 1px 2px rgba(0 0 0 0.2),滑块阴影,滑块阴影效果,Medium
Handle,Handle Transition,all 0.2s,滑块过渡,滑块移动过渡动画,Medium
Handle,Handle Position,absolute,滑块定位,滑块绝对定位,High
Handle,Handle Top,50%,滑块顶部,滑块垂直居中,High
Handle,Handle Transform,translateY(-50%),滑块变换,滑块垂直居中变换,High
Disabled,Disabled Background Unchecked,#F2F3F5,禁用关闭背景,禁用关闭状态浅灰背景,High
Disabled,Disabled Background Checked,#94BFFF,禁用开启背景,禁用开启状态浅蓝背景,High
Disabled,Disabled Handle Background,#FFFFFF,禁用滑块背景,禁用状态滑块白色背景,High
Disabled,Disabled Cursor,not-allowed,禁用光标,禁用状态禁止光标,High
Disabled,Disabled Opacity,1,禁用透明度,禁用状态不透明,Medium
Loading,Loading Show,true,显示加载,开关支持加载状态,Medium
Loading,Loading Icon,LoadingOutlined,加载图标,加载中旋转图标,Medium
