Category,Name,Value,Usage,Description,Severity
Size,Carousel Container Width,100%,走马灯容器宽度,走马灯容器宽度100%,High
Size,Carousel Container Height,400px,走马灯容器高度,走马灯容器高度400px,High
Size,Carousel Container Height Small,240px,小走马灯容器高度,小走马灯容器高度240px,Medium
Size,Carousel Container Height Large,600px,大走马灯容器高度,大走马灯容器高度600px,Medium
Size,Carousel Item Width,100%,走马灯项宽度,走马灯项宽度100%,High
Size,Carousel Item Height,100%,走马灯项高度,走马灯项高度100%,High
Size,Carousel Arrow Size,40px,箭头按钮尺寸,箭头按钮尺寸40px,High
Size,Carousel Arrow Icon Size,24px,箭头图标尺寸,箭头图标尺寸24px,High
Size,Carousel Arrow Offset,16px,箭头偏移,箭头距离边缘偏移16px,Medium
Size,Carousel Indicator Height,8px,指示器高度,指示器高度8px,High
Size,Carousel Indicator Width,24px,指示器宽度,指示器宽度24px,High
Size,Carousel Indicator Width Dot,8px,指示器点宽度,指示器点宽度8px,High
Size,Carousel Indicator Gap,8px,指示器间距,指示器间距8px,High
Size,Carousel Indicator Offset,16px,指示器偏移,指示器距离底部偏移16px,Medium
Size,Carousel Indicator Border Radius,4px,指示器圆角,指示器圆角4px,Medium
Size,Carousel Indicator Dot Border Radius,50%,指示器点圆角,指示器点圆形50%,High
Size,Carousel Card Width,280px,卡片宽度,卡片走马灯项宽度280px,High
Size,Carousel Card Height,200px,卡片高度,卡片走马灯项高度200px,Medium
Size,Carousel Card Gap,16px,卡片间距,卡片间距16px,Medium
Size,Carousel Card Scale,0.85,卡片缩放,非激活卡片缩放0.85,Medium
Color,Carousel Background,transparent,走马灯背景,走马灯透明背景,Low
Color,Carousel Item Background,#F2F3F5,走马灯项背景,走马灯项灰色背景#F2F3F5,Medium
Color,Carousel Arrow Background,rgba(0 0 0 0.3),箭头背景,箭头半透明黑色背景,High
Color,Carousel Arrow Hover Background,rgba(0 0 0 0.5),箭头悬停背景,箭头悬停深色背景,Medium
Color,Carousel Arrow Icon Color,#FFFFFF,箭头图标颜色,箭头白色图标#FFFFFF,High
Color,Carousel Arrow Disabled Background,rgba(0 0 0 0.1),箭头禁用背景,箭头禁用浅色背景,Low
Color,Carousel Arrow Disabled Icon Color,rgba(255 255 255 0.5),箭头禁用图标颜色,箭头禁用半透明白色图标,Low
Color,Carousel Indicator Background,rgba(255 255 255 0.3),指示器背景,指示器半透明白色背景,High
Color,Carousel Indicator Active Background,#FFFFFF,指示器激活背景,指示器激活白色背景#FFFFFF,High
Color,Carousel Indicator Hover Background,rgba(255 255 255 0.5),指示器悬停背景,指示器悬停半透明白色背景,Medium
Color,Carousel Indicator Dark Background,rgba(0 0 0 0.3),指示器深色背景,指示器深色半透明背景,Medium
Color,Carousel Indicator Dark Active Background,#165DFF,指示器深色激活背景,指示器深色激活蓝色背景,High
Color,Carousel Card Active Opacity,1,卡片激活透明度,激活卡片透明度1,High
Color,Carousel Card Inactive Opacity,0.6,卡片未激活透明度,未激活卡片透明度0.6,Medium
Type,Type Default,default,默认类型,默认走马灯样式,High
Type,Type Card,card,卡片类型,卡片走马灯样式,High
Type,Type Fade,fade,淡入淡出类型,淡入淡出走马灯样式,Medium
Direction,Direction Horizontal,horizontal,水平方向,水平走马灯,High
Direction,Direction Vertical,vertical,垂直方向,垂直走马灯,Medium
Arrow,Arrow Visible Always,always,箭头始终显示,箭头始终显示,High
Arrow,Arrow Visible Hover,hover,箭头悬停显示,箭头悬停时显示,High
Arrow,Arrow Visible Never,never,箭头不显示,箭头不显示,Low
Arrow,Arrow Size,40px,箭头尺寸,箭头按钮尺寸40px,High
Arrow,Arrow Icon Size,24px,箭头图标尺寸,箭头图标尺寸24px,High
Arrow,Arrow Position,side,箭头位置,箭头在两侧,High
Arrow,Arrow Position Outside,outside,箭头外部位置,箭头在容器外部,Medium
Arrow,Arrow Offset,16px,箭头偏移,箭头偏移16px,Medium
Arrow,Arrow Border Radius,50%,箭头圆角,箭头圆形50%,Medium
Arrow,Arrow Background,rgba(0 0 0 0.3),箭头背景,箭头半透明背景,High
Arrow,Arrow Hover Background,rgba(0 0 0 0.5),箭头悬停背景,箭头悬停背景,Medium
Indicator,Indicator Visible,true,显示指示器,显示指示器,High
Indicator,Indicator Hidden,false,隐藏指示器,隐藏指示器,Low
Indicator,Indicator Type Line,line,线型指示器,线型指示器,High
Indicator,Indicator Type Dot,dot,点型指示器,点型指示器,High
Indicator,Indicator Type Number,number,数字指示器,数字指示器,Medium
