Category,Name,Value,Usage,Description,Severity
Purpose,InputNumber Purpose,数字输入框,数字输入框用途,通过鼠标或键盘输入内容仅允许输入数字,High
Purpose,InputNumber Scenario,数值输入,使用场景,用于需要输入数字的表单场景,High
Purpose,InputNumber Behavior,输入或步进,输入行为,支持直接输入或点击按钮步进调整数值,High
Type,Type Default,基础数字输入,默认类型,基础数字输入框样式,High
Type,Type Button,按钮模式,按钮类型,带加减按钮的数字输入框,High
Type,Type Embed,内嵌按钮,内嵌类型,按钮内嵌在输入框内,High
Type,Type Step,步进器,步进类型,左右按钮步进调整,Medium
ButtonMode,Button Mode Right,右侧按钮,右侧按钮模式,加减按钮在右侧上下排列,High
ButtonMode,Button Mode Both,两侧按钮,两侧按钮模式,减号在左加号在右,High
ButtonMode,Button Mode None,无按钮,无按钮模式,不显示加减按钮,Medium
Size,Size Large,40px,大尺寸,大尺寸数字输入框高度40px,Medium
Size,Size Default,32px,默认尺寸,默认尺寸数字输入框高度32px,High
Size,Size Small,28px,小尺寸,小尺寸数字输入框高度28px,Medium
Container,Container Height,32px,容器高度,数字输入框容器高度32px,High
Container,Container Min Width,90px,容器最小宽度,数字输入框最小宽度90px,High
Container,Container Border Radius,2px,容器圆角,数字输入框圆角2px,High
Container,Container Border,1px solid #E5E6EB,容器边框,数字输入框灰色边框,High
Container,Container Background,#FFFFFF,容器背景,数字输入框白色背景,High
Container,Container Display,inline-flex,容器显示,数字输入框行内flex布局,High
Container,Container Align Items,center,容器对齐,数字输入框垂直居中,Medium
Input,Input Height,30px,输入框高度,输入框高度30px,High
Input,Input Padding,0 12px,输入框内边距,输入框左右内边距12px,High
Input,Input Font Size,14px,输入框字号,输入框字号14px,High
Input,Input Color,#1D2129,输入框颜色,输入框深色文字,High
Input,Input Text Align,left,输入框对齐,输入框文字左对齐,Medium
Input,Input Background,transparent,输入框背景,输入框透明背景,Medium
Input,Input Border,none,输入框边框,输入框无边框,Medium
Input,Input Outline,none,输入框轮廓,输入框无轮廓,Medium
Input,Input Flex,1,输入框弹性,输入框弹性伸缩,Medium
Default,Default Border,1px solid #E5E6EB,默认边框,默认状态灰色边框#E5E6EB,High
Default,Default Background,#FFFFFF,默认背景,默认状态白色背景,High
Default,Default Color,#1D212
Default,Default Border,1px solid #E5E6EB,默认边框,默认状态灰色边框#E5E6EB,High
