Category,Name,Value,Usage,Description,Severity
Purpose,Slider Purpose,滑动输入条,滑动输入条用途,滑动型输入器展示当前值和可选范围,High
Purpose,Slider Scenario,数值区间选择,使用场景,当用户需要在数值区间/自定义区间内进行选择时可为连续或离散值,High
Purpose,Slider Behavior,拖动选择,滑动行为,拖动滑块选择数值或范围,High
Type,Type Single,单值选择,单值类型,选择单个数值,High
Type,Type Range,范围选择,范围类型,选择数值范围有两个滑块,High
Type,Type With Input,带输入框,输入框类型,滑块配合数字输入框使用,High
Type,Type With Marks,带刻度,刻度类型,显示刻度标记的滑块,Medium
Type,Type Vertical,垂直滑块,垂直类型,垂直方向的滑块,Low
Size,Size Default Height,4px,默认轨道高度,默认轨道高度4px,High
Size,Size Handle,14px,滑块大小,滑块直径14px,High
Size,Size Handle Hover,16px,滑块悬停大小,悬停时滑块直径16px,Medium
Track,Track Height,4px,轨道高度,滑动轨道高度4px,High
Track,Track Background,#E5E6EB,轨道背景,轨道灰色背景#E5E6EB,High
Track,Track Border Radius,2px,轨道圆角,轨道圆角2px,High
Track,Track Cursor,pointer,轨道光标,轨道可点击光标,Medium
TrackFill,Fill Background,#165DFF,填充背景,已选择区域蓝色背景#165DFF,High
TrackFill,Fill Border Radius,2px,填充圆角,填充区域圆角2px,Medium
TrackFill,Fill Transition,width 0.1s,填充过渡,填充宽度过渡动画,Low
Handle,Handle Width,14px,滑块宽度,滑块宽度14px,High
Handle,Handle Height,14px,滑块高度,滑块高度14px,High
Handle,Handle Background,#FFFFFF,滑块背景,滑块白色背景,High
Handle,Handle Border,2px solid #165DFF,滑块边框,滑块蓝色边框#165DFF,High
Handle,Handle Border Radius,50%,滑块圆角,滑块圆形,High
Handle,Handle Shadow,0 1px 2px rgba(0 0 0 0.1),滑块阴影,滑块阴影效果,Medium
Handle,Handle Cursor,grab,滑块光标,滑块抓取光标,High
Handle,Handle Cursor Active,grabbing,滑块激活光标,拖动时抓取中光标,Medium
Handle,Handle Position,absolute,滑块定位,滑块绝对定位,High
Handle,Handle Top,50%,滑块顶部,滑块垂直居中,High
Handle,Handle Transform,translate(-50% -50%),滑块变换,滑块居中变换,High
Handle,Handle Transition,all 0.2s,滑块过渡,滑块状态过渡动画,Low
Handle,Handle Z Index,1,滑块层级,滑块层级1,Medium
HandleDefault,Handle Default Background,#FFFFFF,默认滑块背景,默认状态滑块白色背景,High
HandleDefault,Handle Default Border,2px solid #165DFF,默认滑块边框,默认状态滑块蓝色边框,High
HandleHover,Handle Hover Background,#FFFFFF,悬停滑块背景,悬停状态滑块白色背景,High
HandleHover,Handle Hover Border,2px solid #165DFF,悬停滑块边框,悬停状态滑块蓝色边框,High
HandleHover,Handle Hover Scale,1.14,悬停滑块缩放,悬停时滑块放大到16px,Medium
HandleHover,Handle Hover Shadow,0 2px 4px rgba(22 93 255 0.2),悬停滑块阴影,悬停时蓝色阴影,Medium
HandleActive,Handle Active Background,#FFFFFF,激活滑块背景,拖动时滑块白色背景,High
HandleActive,Handle Active Border,2px solid #165DFF,激活滑块边框,拖动时滑块蓝色边框,High
HandleActive,Handle Active Scale,1.14,激活滑块缩放,拖动时滑块放大,Medium
