Category,Name,Value,Usage,Description,Severity
Size,Popconfirm Min Width,200px,气泡确认框最小宽度,气泡确认框最小宽度200px,High
Size,Popconfirm Max Width,350px,气泡确认框最大宽度,气泡确认框最大宽度350px,High
Size,Popconfirm Padding,16px,气泡确认框内边距,气泡确认框内边距16px,High
Size,Popconfirm Content Padding,0 0 12px 0,内容区内边距,内容区内边距下12px,Medium
Size,Popconfirm Footer Padding,12px 0 0 0,底部内边距,底部内边距上12px,Medium
Size,Popconfirm Border Radius,4px,气泡确认框圆角,气泡确认框圆角4px,High
Size,Popconfirm Arrow Size,8px,气泡确认框箭头大小,气泡确认框箭头大小8px,High
Size,Popconfirm Icon Size,16px,图标大小,确认框图标大小16px,High
Size,Popconfirm Icon Gap,8px,图标间距,图标与文字间距8px,Medium
Size,Popconfirm Title Font Size,14px,标题字号,确认框标题文字14px,High
Size,Popconfirm Content Font Size,14px,内容字号,确认框内容文字14px,High
Size,Popconfirm Button Height,28px,按钮高度,确认框按钮高度28px,High
Size,Popconfirm Button Padding,0 12px,按钮内边距,确认框按钮左右内边距12px,Medium
Size,Popconfirm Button Font Size,14px,按钮字号,确认框按钮文字14px,Medium
Size,Popconfirm Button Gap,8px,按钮间距,确认框按钮间距8px,High
Color,Popconfirm Background,#FFFFFF,气泡确认框背景,气泡确认框白色背景,High
Color,Popconfirm Border Color,#E5E6EB,气泡确认框边框颜色,气泡确认框灰色边框#E5E6EB,High
Color,Popconfirm Title Color,#1D2129,标题颜色,确认框标题深色文字#1D2129,High
Color,Popconfirm Content Color,#4E5969,内容颜色,确认框内容灰色文字#4E5969,High
Color,Popconfirm Arrow Background,#FFFFFF,箭头背景,气泡确认框箭头白色背景,High
Color,Popconfirm Arrow Border,#E5E6EB,箭头边框,气泡确认框箭头灰色边框#E5E6EB,Medium
Color,Popconfirm Icon Warning Color,#FF7D00,警告图标颜色,警告图标橙色#FF7D00,High
Color,Popconfirm Icon Success Color,#00B42A,成功图标颜色,成功图标绿色#00B42A,Medium
Color,Popconfirm Icon Info Color,#165DFF,信息图标颜色,信息图标蓝色#165DFF,Medium
Color,Popconfirm Icon Error Color,#F53F3F,错误图标颜色,错误图标红色#F53F3F,Medium
Shadow,Popconfirm Shadow,0 4px 10px rgba(0 0 0 0.1),气泡确认框阴影,气泡确认框阴影效果,High
Shadow,Popconfirm Shadow Large,0 6px 16px rgba(0 0 0 0.12),气泡确认框大阴影,气泡确认框大阴影效果,Medium
Border,Popconfirm Border Width,1px,气泡确认框边框宽度,气泡确认框边框宽度1px,Medium
Border,Popconfirm Border Style,solid,气泡确认框边框样式,气泡确认框实线边框,High
Position,Position Top,top,顶部位置,气泡确认框在触发元素顶部,High
Position,Position Top Start,top-start,顶部左侧,气泡确认框在触发元素顶部左侧,Medium
