Category,Name,Value,Usage,Description,Severity
Size,Drawer Width Small,320px,小抽屉宽度,小尺寸抽屉宽度320px,Medium
Size,Drawer Width Default,480px,默认抽屉宽度,默认抽屉宽度480px,High
Size,Drawer Width Large,640px,大抽屉宽度,大尺寸抽屉宽度640px,Medium
Size,Drawer Height Small,320px,小抽屉高度,小尺寸抽屉高度320px,Medium
Size,Drawer Height Default,480px,默认抽屉高度,默认抽屉高度480px,Medium
Size,Drawer Height Large,640px,大抽屉高度,大尺寸抽屉高度640px,Low
Size,Drawer Header Height,56px,抽屉头部高度,抽屉头部高度56px,High
Size,Drawer Footer Height,64px,抽屉底部高度,抽屉底部高度64px,High
Size,Drawer Header Padding,16px 24px,抽屉头部内边距,抽屉头部内边距上下16px左右24px,High
Size,Drawer Body Padding,24px,抽屉主体内边距,抽屉主体内边距24px,High
Size,Drawer Footer Padding,16px 24px,抽屉底部内边距,抽屉底部内边距上下16px左右24px,High
Size,Drawer Title Font Size,16px,抽屉标题字号,抽屉标题文字16px,High
Size,Drawer Close Icon Size,16px,关闭图标大小,关闭图标大小16px,Medium
Color,Drawer Background,#FFFFFF,抽屉背景,抽屉白色背景,High
Color,Drawer Header Background,#FFFFFF,抽屉头部背景,抽屉头部白色背景,High
Color,Drawer Body Background,#FFFFFF,抽屉主体背景,抽屉主体白色背景,High
Color,Drawer Footer Background,#FFFFFF,抽屉底部背景,抽屉底部白色背景,High
Color,Drawer Title Color,#1D2129,抽屉标题颜色,抽屉标题深色文字#1D2129,High
Color,Drawer Close Icon Color,#86909C,关闭图标颜色,关闭图标灰色#86909C,Medium
Color,Drawer Close Icon Hover Color,#4E5969,关闭图标悬停颜色,关闭图标悬停深灰#4E5969,Medium
Color,Drawer Border Color,#E5E6EB,抽屉边框颜色,抽屉边框灰色#E5E6EB,Medium
Color,Drawer Mask Background,rgba(0 0 0 0.45),抽屉遮罩背景,抽屉遮罩半透明黑色背景,High
Shadow,Drawer Shadow,-2px 0 8px rgba(0 0 0 0.15),抽屉阴影,抽屉阴影效果,High
Shadow,Drawer Shadow Right,2px 0 8px rgba(0 0 0 0.15),抽屉右侧阴影,抽屉右侧阴影效果,Medium
Shadow,Drawer Shadow Top,0 2px 8px rgba(0 0 0 0.15),抽屉顶部阴影,抽屉顶部阴影效果,Medium
Shadow,Drawer Shadow Bottom,0 -2px 8px rgba(0 0 0 0.15),抽屉底部阴影,抽屉底部阴影效果,Medium
Position,Position Right,right,右侧位置,抽屉从右侧滑出,High
Position,Position Left,left,左侧位置,抽屉从左侧滑出,Medium
Position,Position Top,top,顶部位置,抽屉从顶部滑出,Low
Position,Position Bottom,bottom,底部位置,抽屉从底部滑出,Low
Header,Header Visible,true,显示头部,显示抽屉头部,High
Header,Header Hidden,false,隐藏头部,隐藏抽屉头部,Low
