Category,Name,Value,Usage,Description,Severity
Purpose,Dropdown Purpose,向下弹出菜单列表,下拉菜单用途,向下弹出的菜单列表用于承载操作命令,High
Purpose,Dropdown Scenario,操作命令/筛选选择,使用场景,用于操作命令集合或筛选选择场景,High
Purpose,Dropdown Behavior,点击/悬停触发,下拉行为,点击或悬停触发下拉菜单显示,High
Trigger,Trigger Type Click,click,点击触发,点击触发下拉菜单,High
Trigger,Trigger Type Hover,hover,悬停触发,悬停触发下拉菜单,Medium
Trigger,Trigger Type Context,contextMenu,右键触发,右键触发下拉菜单,Low
Trigger,Trigger Delay Show,100ms,显示延迟,悬停触发显示延迟100ms,Low
Trigger,Trigger Delay Hide,100ms,隐藏延迟,悬停触发隐藏延迟100ms,Low
Panel,Panel Background,#FFFFFF,面板背景,下拉面板白色背景,High
Panel,Panel Border,none,面板边框,下拉面板无边框,Medium
Panel,Panel Border Radius,4px,面板圆角,下拉面板圆角4px,High
Panel,Panel Shadow,0 4px 10px rgba(0 0 0 0.1),面板阴影,下拉面板阴影效果,High
Panel,Panel Min Width,120px,面板最小宽度,下拉面板最小宽度120px,Medium
Panel,Panel Max Width,280px,面板最大宽度,下拉面板最大宽度280px,Medium
Panel,Panel Max Height,300px,面板最大高度,下拉面板最大高度300px超出滚动,Medium
Panel,Panel Padding,4px 0,面板内边距,下拉面板上下内边距4px,High
Panel,Panel Margin Top,4px,面板顶部间距,下拉面板与触发器间距4px,Medium
Item,Item Height,36px,菜单项高度,下拉菜单项高度36px,High
Item,Item Padding,0 12px,菜单项内边距,下拉菜单项左右内边距12px,High
Item,Item Font Size,14px,菜单项字号,下拉菜单项文字14px,High
Item,Item Color,#1D2129,菜单项颜色,下拉菜单项深色文字,High
Item,Item Line Height,36px,菜单项行高,下拉菜单项行高36px,Medium
Item,Item Background,transparent,菜单项背景,下拉菜单项透明背景,Medium
Item,Item Hover Background,#F2F3F5,菜单项悬停背景,下拉菜单项悬停灰色背景,High
Item,Item Hover Color,#1D2129,菜单项悬停颜色,下拉菜单项悬停深色文字,Medium
Item,Item Active Background,#E8F3FF,菜单项激活背景,下拉菜单项激活蓝色背景,High
Item,Item Active Color,#165DFF,菜单项激活颜色,下拉菜单项激活蓝色文字,High
Item,Item Cursor,pointer,菜单项光标,下拉菜单项可点击光标,Low
Item,Item Transition,background 0.2s,菜单项过渡,下拉菜单项背景过渡0.2s,Low
Disabled,Disabled Color,#C9CDD4,禁用颜色,禁用菜单项灰色文字,High
Disabled,Disabled Background,transparent,禁用背景,禁用菜单项透明背景,Medium
Disabled,Disabled Cursor,not-allowed,禁用光标,禁用菜单项禁止光标,Medium
Disabled,Disabled Opacity,1,禁用透明度,禁用菜单项不透明,Low
Danger,Danger Color,#F53F3F,危险颜色,危险菜单项红色文字,High
Danger,Danger Hover Background,#FFECE8,危险悬停背景,危险菜单项悬停浅红背景,High
Danger,Danger Hover Color,#F53F3F,危险悬停颜色,危险菜单项悬停红色文字,Medium
Icon,Icon Show,true,显示图标,菜单项支持显示图标,Medium
Icon,Icon Size,16px,图标大小,菜单项图标16px,Medium
Icon,Icon Gap,8px,图标间距,图标与文字间距8px,Medium
Icon,Icon Position,left,图标位置,图标在文字左侧,Medium
Icon,Icon Color Inherit,true,图标颜色继承,图标颜色继承文字颜色,Low
Arrow,Arrow Show,true,显示箭头,子菜单项显示右箭头,Medium
Arrow,Arrow Icon,RightOutlined,箭头图标,子菜单右箭头图标,Medium
Arrow,Arrow Size,12px,箭头大小,子菜单箭头12px,Low
Arrow,Arrow Color,#86909C,箭头颜色,子菜单箭头灰色,Low
Arrow,Arrow Position,right,箭头位置,子菜单箭头在右侧,Low
Divider,Divider Show,true,显示分割线,菜单项之间显示分割线,Medium
Divider,Divider Height,1px,分割线高度,分割线高度1px,Low
Divider,Divider Color,#E5E6EB,分割线颜色,分割线灰色,Medium
Divider,Divider Margin,4px 12px,分割线间距,分割线上下4px左右12px间距,Low
Group,Group Title Show,true,显示分组标题,菜单支持分组标题,Medium
