Category,Name,Value,Usage,Description,Severity
Purpose,Page Header Purpose,展示页面标题和操作,页头用途,展示页面的标题、返回导航、操作按钮等信息,High
Purpose,Page Header Position,页面顶部内容区首行,页头位置,页头位于页面内容区域的最顶部,High
Structure,Page Header Height,auto,页头高度,页头高度根据内容自适应,High
Structure,Page Header Min Height,56px,页头最小高度,页头最小高度56px,Medium
Structure,Page Header Padding,16px 24px,页头内边距,页头上下16px左右24px内边距,High
Structure,Page Header Background,#FFFFFF,页头背景色,页头白色背景,High
Structure,Page Header Border Bottom,1px solid #E5E6EB,页头底部边框,页头底部分割线#E5E6EB,Medium
Structure,Page Header Margin Bottom,16px,页头底部间距,页头与下方内容间距16px,Medium
BackButton,Back Button Show,true,显示返回按钮,页头左侧显示返回按钮,High
BackButton,Back Button Icon,ArrowLeftOutlined,返回按钮图标,返回按钮使用左箭头图标,High
BackButton,Back Button Size,16px,返回按钮图标大小,返回按钮图标16px,Medium
BackButton,Back Button Color,#4E5969,返回按钮颜色,返回按钮灰色#4E5969,Medium
BackButton,Back Button Hover Color,#165DFF,返回按钮悬停颜色,返回按钮悬停蓝色#165DFF,Medium
BackButton,Back Button Gap,8px,返回按钮间距,返回按钮与标题间距8px,Medium
BackButton,Back Button Cursor,pointer,返回按钮光标,返回按钮可点击光标,Low
Title,Title Font Size,20px,标题字号,页头标题文字20px,High
Title,Title Font Weight,600,标题字重,页头标题加粗600,High
Title,Title Color,#1D2129,标题颜色,页头标题深色#1D2129,High
Title,Title Line Height,28px,标题行高,页头标题行高28px,Medium
Title,Title Max Width,auto,标题最大宽度,标题宽度自适应,Low
Title,Title Ellipsis,true,标题省略,标题过长显示省略号,Low
SubTitle,SubTitle Font Size,14px,副标题字号,副标题文字14px,Medium
SubTitle,SubTitle Font Weight,400,副标题字重,副标题常规字重400,Medium
SubTitle,SubTitle Color,#86909C,副标题颜色,副标题灰色#86909C,Medium
SubTitle,SubTitle Line Height,22px,副标题行高,副标题行高22px,Medium
SubTitle,SubTitle Margin Left,12px,副标题左间距,副标题与标题间距12px,Medium
SubTitle,SubTitle Divider,1px solid #E5E6EB,副标题分隔线,标题与副标题之间竖线分隔,Low
Tag,Tag Height,22px,标签高度,标题旁标签高度22px,Medium
Tag,Tag Padding,0 8px,标签内边距,标签左右内边距8px,Medium
Tag,Tag Font Size,12px,标签字号,标签文字12px,Medium
Tag,Tag Border Radius,2px,标签圆角,标签圆角2px,Low
Tag,Tag Margin Left,8px,标签左间距,标签与标题间距8px,Medium
Tag,Tag Success Background,#E8FFEA,成功标签背景,成功标签浅绿背景,Medium
Tag,Tag Success Color,#00B42A,成功标签颜色,成功标签绿色文字,Medium
Tag,Tag Success Border,#AFF0B5,成功标签边框,成功标签绿色边框,Low
Tag,Tag Processing Background,#E8F3FF,进行中标签背景,进行中标签浅蓝背景,Medium
Tag,Tag Processing Color,#165DFF,进行中标签颜色,进行中标签蓝色文字,Medium
Tag,Tag Processing Border,#BEDAFF,进行中标签边框,进行中标签蓝色边框,Low
Tag,Tag Warning Background,#FFF7E8,警告标签背景,警告标签浅橙背景,Medium
Tag,Tag Warning Color,#FF7D00,警告标签颜色,警告标签橙色文字,Medium
Tag,Tag Warning Border,#FFCF8B,警告标签边框,警告标签橙色边框,Low
Tag,Tag Error Background,#FFECE8,错误标签背景,错误标签浅红背景,Medium
Tag,Tag Error Color,#F53F3F,错误标签颜色,错误标签红色文字,Medium
Tag,Tag Error Border,#FDCDC5,错误标签边框,错误标签红色边框,Low
Tag,Tag Default Background,#F2F3F5,默认标签背景,默认标签灰色背景,Low
Tag,Tag Default Color,#4E5969,默认标签颜色,默认标签灰色文字,Low
Tag,Tag Default Border,#E5E6EB,默认标签边框,默认标签灰色边框,Low
Actions,Actions Position,right,操作区位置,操作按钮区域右对齐,High
Actions,Actions Gap,12px,操作按钮间距,操作按钮之间间距12px,High
Actions,Actions Align,center,操作区对齐,操作区垂直居中对齐,Medium
Actions,Primary Button Background,#165DFF,主按钮背景,主操作按钮蓝色背景,High
Actions,Primary Button Color,#FFFFFF,主按钮颜色,主操作按钮白色文字,High
Actions,Primary Button Height,32px,主按钮高度,主操作按钮高度32px,High
Actions,Primary Button Padding,0 16px,主按钮内边距,主操作按钮左右内边距16px,Medium
Actions,Primary Button Border Radius,2px,主按钮圆角,主操作按钮圆角2px,Medium
Actions,Primary Button Hover,#0E42D2,主按钮悬停,主操作按钮悬停深蓝色,Medium
Actions,Default Button Background,#FFFFFF,默认按钮背景,默认按钮白色背景,High
Actions,Default Button Color,#4E5969,默认按钮颜色,默认按钮灰色文字,High
Actions,Default Button Border,#E5E6EB,默认按钮边框,默认按钮灰色边框,High
Actions,Default Button Hover Border,#165DFF,默认按钮悬停边框,默认按钮悬停蓝色边框,Medium
Actions,Default Button Hover Color,#165DFF,默认按钮悬停颜色,默认按钮悬停蓝色文字,Medium
Actions,Danger Button Background,#F53F3F,危险按钮背景,危险按钮红色背景,High
Actions,Danger Button Color,#FFFFFF,危险按钮颜色,危险按钮白色文字,High
Actions,Danger Button Hover,#CB2634,危险按钮悬停,危险按钮悬停深红色,Medium
Actions,Text Button Color,#165DFF,文字按钮颜色,文字按钮蓝色,Medium
Actions,Text Button Hover,#0E42D2,文字按钮悬停,文字按钮悬停深蓝色,Medium
Actions,Icon Button Size,32px,图标按钮大小,图标按钮32px正方形,Medium
Actions,Icon Button Icon Size,16px,图标按钮图标大小,图标按钮内图标16px,Medium
