Category,Name,Value,Usage,Description,Severity
Purpose,TreeSelect Purpose,树选择,树选择器用途,类似Select的选择控件可选择的数据结构是一个树形结构时可以使用TreeSelect,High
Purpose,TreeSelect Scenario,树形数据选择,使用场景,用于组织架构/学科体系/分类级联等场景,High
Purpose,TreeSelect Behavior,点击弹出树面板,树选择行为,点击TreeSelect然后可以在浮层中选择树节点,High
Type,Type Basic,基础用法,基础类型,展示常规的树形选择结构可按需多选单选,High
Type,Type Multiple,可复选用法,多选类型,支持多选的树形选择,High
Type,Type Checkable,复选框模式,复选框类型,带复选框的树形选择,High
Type,Type Search,可搜索,搜索类型,支持搜索过滤的树形选择,High
Size,Size Large,40px,大尺寸,大尺寸树选择器高度40px,Medium
Size,Size Default,32px,默认尺寸,默认尺寸树选择器高度32px,High
Size,Size Small,28px,小尺寸,小尺寸树选择器高度28px,Medium
Selector,Selector Height,32px,选择器高度,树选择器高度32px,High
Selector,Selector Min Height,32px,选择器最小高度,多选时最小高度32px,High
Selector,Selector Padding,0 12px,选择器内边距,树选择器左右内边距12px,High
Selector,Selector Border Radius,2px,选择器圆角,树选择器圆角2px,High
Selector,Selector Border,1px solid #E5E6EB,选择器边框,树选择器灰色边框,High
Selector,Selector Background,#FFFFFF,选择器背景,树选择器白色背景,High
Selector,Selector Min Width,200px,选择器最小宽度,树选择器最小宽度200px,Medium
Default,Default Border,1px solid #E5E6EB,默认边框,默认状态灰色边框#E5E6EB,High
Default,Default Color,#1D2129,默认文字颜色,默认状态深色文字,High
Default,Default Placeholder,#C9CDD4,默认占位符颜色,默认状态占位符灰色,High
Default,Default Placeholder Text,请选择,默认占位符文字,默认占位符文字请选择,High
Hover,Hover Border,1px solid #C9CDD4,悬停边框,悬停状态深灰边框,Medium
Focus,Focus Border,1px solid #165DFF,聚焦边框,聚焦状态蓝色边框#165DFF,High
Focus,Focus Shadow,0 0 0 2px rgba(22 93 255 0.1),聚焦阴影,聚焦状态蓝色阴影,High
Disabled,Disabled Background,#F2F3F5,禁用背景,禁用状态灰色背景,High
Disabled,Disabled Border,1px solid #E5E6EB,禁用边框,禁用状态灰色边框,High
Disabled,Disabled Color,#C9CDD4,禁用文字颜色,禁用状态灰色文字,High
Error,Error Border,1px solid #F53F3F,错误边框,错误状态红色边框,High
Error,Error Focus Shadow,0 0 0 2px rgba(245 63 63 0.1),错误聚焦阴影,错误聚焦状态红色阴影,Medium
Icon,Icon Arrow,DownOutlined,下拉箭头图标,选择器下拉箭头图标,High
Icon,Icon Arrow Size,14px,箭头图标大小,下拉箭头14px,Medium
Icon,Icon Arrow Color,#86909C,箭头图标颜色,下拉箭头灰色#86909C,Medium
Icon,Icon Arrow Rotate,180deg,箭头旋转角度,展开时箭头旋转180度,Medium
