Category,Name,Value,Usage,Description,Severity
Size,Tree Node Height,32px,树节点高度,树节点高度32px,High
Size,Tree Node Padding,0 8px,树节点内边距,树节点左右内边距8px,High
Size,Tree Node Indent,24px,树节点缩进,树节点层级缩进24px,High
Size,Tree Node Font Size,14px,树节点字号,树节点文字14px,High
Size,Tree Node Line Height,32px,树节点行高,树节点行高32px,Medium
Size,Tree Icon Size,16px,树图标大小,树节点图标大小16px,Medium
Size,Tree Icon Gap,8px,树图标间距,图标与文字间距8px,Medium
Size,Tree Expand Icon Size,16px,展开图标大小,展开/收起图标大小16px,High
Size,Tree Checkbox Size,16px,复选框大小,树节点复选框大小16px,Medium
Size,Tree Checkbox Gap,8px,复选框间距,复选框与文字间距8px,Medium
Size,Tree Min Height,200px,树最小高度,树组件最小高度200px,Medium
Size,Tree Max Height,400px,树最大高度,树组件最大高度400px,Low
Color,Tree Background,#FFFFFF,树背景,树组件白色背景,High
Color,Tree Node Color,#1D2129,树节点文字,树节点深色文字#1D2129,High
Color,Tree Node Hover Background,#F7F8FA,树节点悬停背景,树节点悬停浅灰背景#F7F8FA,High
Color,Tree Node Selected Background,#E8F3FF,树节点选中背景,树节点选中浅蓝背景#E8F3FF,High
Color,Tree Node Selected Color,#165DFF,树节点选中文字,树节点选中蓝色文字#165DFF,High
Color,Tree Node Active Background,#E8F3FF,树节点激活背景,树节点激活浅蓝背景#E8F3FF,Medium
Color,Tree Node Disabled Color,#C9CDD4,树节点禁用文字,树节点禁用灰色文字#C9CDD4,Medium
Color,Tree Node Disabled Background,transparent,树节点禁用背景,树节点禁用透明背景,Low
Color,Tree Icon Color,#4E5969,树图标颜色,树节点图标灰色#4E5969,Medium
Color,Tree Icon Hover Color,#165DFF,树图标悬停颜色,树节点图标悬停蓝色#165DFF,Medium
Color,Tree Expand Icon Color,#86909C,展开图标颜色,展开/收起图标灰色#86909C,High
Color,Tree Expand Icon Hover Color,#165DFF,展开图标悬停颜色,展开图标悬停蓝色#165DFF,Medium
Color,Tree Line Color,#E5E6EB,树连接线颜色,树连接线灰色#E5E6EB,Medium
Color,Tree Border Color,#E5E6EB,树边框颜色,树组件边框灰色#E5E6EB,Low
Expand,Expand Icon Collapsed,right,收起图标,收起状态使用向右箭头,High
Expand,Expand Icon Expanded,down,展开图标,展开状态使用向下箭头,High
Expand,Expand Icon Position,left,展开图标位置,展开图标在节点左侧,High
Expand,Expand On Click Node,false,点击节点展开,点击节点不展开,High
Expand,Expand On Click Icon,true,点击图标展开,点击图标展开/收起,High
Expand,Default Expand All,false,默认全部展开,默认不全部展开,Medium
Expand,Default Expand Level,1,默认展开层级,默认展开第1层,Medium
Expand,Expand Animation,true,展开动画,启用展开/收起动画,Medium
Expand,Expand Animation Duration,0.3s,展开动画时长,展开动画时长0.3s,Low
Checkbox,Checkbox Enabled,false,启用复选框,不启用复选框,High
Checkbox,Checkbox Position,left,复选框位置,复选框在节点左侧,High
Checkbox,Checkbox Checked Color,#165DFF,复选框选中颜色,复选框选中蓝色#165DFF,High
Checkbox,Checkbox Unchecked Color,#E5E6EB,复选框未选中颜色,复选框未选中灰色#E5E6EB,Medium
Checkbox,Checkbox Indeterminate Color,#165DFF,复选框半选颜色,复选框半选蓝色#165DFF,Medium
Checkbox,Checkbox Border Radius,2px,复选框圆角,复选框圆角2px,Low
Checkbox,Checkbox Border Width,1px,复选框边框宽度,复选框边框宽度1px,Low
Checkbox,Checkbox Cascade,true,复选框级联,启用复选框级联选择,High
Checkbox,Checkbox Strict,false,复选框严格模式,不启用严格模式,Medium
Selection,Selection Mode Single,single,单选模式,树节点单选模式,High
Selection,Selection Mode Multiple,multiple,多选模式,树节点多选模式,Medium
Selection,Selection Highlight,true,选中高亮,选中节点高亮显示,High
Selection,Selection Persist,true,选中持久化,选中状态持久化,Medium
Selection,Selection Clear On Click Outside,false,点击外部清除选中,点击外部不清除选中,Low
Icon,Icon Folder,folder,文件夹图标,文件夹节点图标,Medium
Icon,Icon File,file,文件图标,文件节点图标,Medium
Icon,Icon Custom,custom,自定义图标,支持自定义节点图标,Medium
Icon,Icon Position,left,图标位置,图标在文字左侧,High
Icon,Icon Color Inherit,false,图标颜色继承,图标颜色不继承文字颜色,Low
Line,Show Line,false,显示连接线,不显示连接线,Medium
Line,Line Width,1px,连接线宽度,连接线宽度1px,Low
Line,Line Style,solid,连接线样式,连接线实线样式,Low
Line,Line Dash,none,连接线虚线,连接线无虚线,Low
Line,Line Indent,12px,连接线缩进,连接线缩进12px,Low
Drag,Draggable,false,可拖拽,节点不可拖拽,Medium
Drag,Drop Allowed,false,允许放置,不允许放置节点,Medium
Drag,Drag Ghost Opacity,0.5,拖拽幽灵透明度,拖拽幽灵透明度0.5,Low
Drag,Drop Indicator Color,#165DFF,放置指示器颜色,放置指示器蓝色#165DFF,Low
Drag,Drop Indicator Height,2px,放置指示器高度,放置指示器高度2px,Low
Drag,Drop Position Before,before,放置在前,放置在节点前,Low
Drag,Drop Position After,after,放置在后,放置在节点后,Low
Drag,Drop Position Inner,inner,放置在内,放置在节点内,Low
Search,Search Enabled,false,启用搜索,不启用搜索功能,Medium
Search,Search Highlight Color,#FF7D00,搜索高亮颜色,搜索高亮橙色#FF7D00,Medium
Search,Search Highlight Background,#FFF7E8,搜索高亮背景,搜索高亮浅橙背景#FFF7E8,Medium
Search,Search Case Sensitive,false,搜索区分大小写,搜索不区分大小写,Low
Search,Search Match Mode,contains,搜索匹配模式,搜索包含匹配,Medium
Search,Search Expand Matched,true,搜索展开匹配项,搜索时展开匹配节点,Medium
Filter,Filter Enabled,false,启用过滤,不启用过滤功能,Medium
Filter,Filter Mode,strict,过滤模式,严格过滤模式,Low
Filter,Filter Highlight,true,过滤高亮,过滤结果高亮显示,Medium
Filter,Filter Show Matched Only,false,仅显示匹配项,不仅显示匹配项,Low
