Category,Name,Value,Usage,Description,Severity
Size,Skeleton Line Height Small,12px,小骨架屏行高,小尺寸骨架屏行高12px,Medium
Size,Skeleton Line Height Default,16px,默认骨架屏行高,默认骨架屏行高16px,High
Size,Skeleton Line Height Large,20px,大骨架屏行高,大尺寸骨架屏行高20px,Medium
Size,Skeleton Line Width,100%,骨架屏行宽度,骨架屏行宽度100%,High
Size,Skeleton Line Gap,12px,骨架屏行间距,骨架屏行间距12px,High
Size,Skeleton Avatar Size Small,32px,小头像骨架尺寸,小尺寸头像骨架32px,Medium
Size,Skeleton Avatar Size Default,40px,默认头像骨架尺寸,默认头像骨架40px,High
Size,Skeleton Avatar Size Large,64px,大头像骨架尺寸,大尺寸头像骨架64px,Medium
Size,Skeleton Avatar Size XLarge,80px,超大头像骨架尺寸,超大头像骨架80px,Low
Size,Skeleton Title Width,40%,标题骨架宽度,标题骨架宽度40%,High
Size,Skeleton Title Height,16px,标题骨架高度,标题骨架高度16px,High
Size,Skeleton Paragraph Width,100%,段落骨架宽度,段落骨架宽度100%,High
Size,Skeleton Paragraph Height,16px,段落骨架高度,段落骨架高度16px,High
Size,Skeleton Paragraph Last Width,60%,段落最后行宽度,段落最后行宽度60%,Medium
Size,Skeleton Button Width Small,64px,小按钮骨架宽度,小按钮骨架宽度64px,Medium
Size,Skeleton Button Width Default,80px,默认按钮骨架宽度,默认按钮骨架宽度80px,Medium
Size,Skeleton Button Width Large,96px,大按钮骨架宽度,大按钮骨架宽度96px,Low
Size,Skeleton Button Height Small,24px,小按钮骨架高度,小按钮骨架高度24px,Medium
Size,Skeleton Button Height Default,32px,默认按钮骨架高度,默认按钮骨架高度32px,Medium
Size,Skeleton Button Height Large,40px,大按钮骨架高度,大按钮骨架高度40px,Low
Size,Skeleton Image Width,100%,图片骨架宽度,图片骨架宽度100%,Medium
Size,Skeleton Image Height,200px,图片骨架高度,图片骨架高度200px,Medium
