Category,Name,Value,Usage,Description,Severity
Purpose,Cascader Purpose,级联选择,级联选择器用途,需要从一组相关联的数据集合进行选择例如省市区公司层级等分级数据,High
Purpose,Cascader Scenario,分级数据选择,使用场景,从一个较大的数据集合中进行选择需多级分类进行分隔方便选择,High
Purpose,Cascader Difference,比Select组件灵活,与Select区别,比Select组件灵活可选择不限层级中的选项节约纵向空间,High
Purpose,Cascader Behavior,逐级展开选择,级联行为,点击选项逐级展开下一级面板进行选择,High
Type,Type Single,单选类型,单选级联,单选级联选择器,High
Type,Type Multiple,多选类型,多选级联,多选级联选择器支持复选框,High
Type,Type Search,搜索类型,搜索级联,带搜索功能的级联选择器,Medium
Size,Size Large,40px,大尺寸,大尺寸级联选择器高度40px,Medium
Size,Size Default,32px,默认尺寸,默认尺寸级联选择器高度32px,High
Size,Size Small,28px,小尺寸,小尺寸级联选择器高度28px,Medium
Selector,Selector Height,32px,选择器高度,级联选择器高度32px,High
Selector,Selector Padding,0 12px,选择器内边距,级联选择器左右内边距12px,High
Selector,Selector Border Radius,2px,选择器圆角,级联选择器圆角2px,High
Selector,Selector Border,1px solid #E5E6EB,选择器边框,级联选择器灰色边框,High
Selector,Selector Background,#FFFFFF,选择器背景,级联选择器白色背景,High
Selector,Selector Min Width,200px,选择器最小宽度,级联选择器最小宽度200px,Medium
Default,Default Border,1px solid #E5E6EB,默认边框,默认状态灰色边框#E5E6EB,High
Default,Default Color,#1D2129,默认文字颜色,默认状态深色文字,High
Default,Default Placeholder,#C9CDD4,默认占位符颜色,默认状态占位符灰色,High
Hover,Hover Border,1px solid #C9CDD4,悬停边框,悬停状态深灰边框,Medium
Focus,Focus Border,1px solid #165DFF,聚焦边框,聚焦状态蓝色边框#165DFF,High
Focus,Focus Shadow,0 0 0 2px rgba(22 93 255 0.1),聚焦阴影,聚焦状态蓝色阴影,High
Disabled,Disabled Background,#F2F3F5,禁用背景,禁用状态灰色背景,High
Disabled,Disabled Border,1px solid #E5E6EB,禁用边框,禁用状态灰色边框,High
Disabled,Disabled Color,#C9CDD4,禁用文字颜色,禁用状态灰色文字,High
Error,Error Border,1px solid #F53F3F,错误边框,错误状态红色边框,High
Error,Error Focus Shadow,0 0 0 2px rgba(245 63 63 0.1),错误聚焦阴影,错误聚焦状态红色阴影,Medium
Panel,Panel Background,#FFFFFF,面板背景,级联面板白色背景,High
Panel,Panel Border,none,面板边框,级联面板无边框,Medium
Panel,Panel Border Radius,4px,面板圆角,级联面板圆角4px,High
Panel,Panel Shadow,0 4px 10px rgba(0 0 0 0.1),面板阴影,级联面板阴影效果,High
Panel,Panel Margin Top,4px,面板顶部间距,级联面板与选择器间距4px,Medium
Panel,Panel Min Width,672px,面板最小宽度,级联面板最小宽度下拉菜单宽度不低于672,Medium
Column,Column Width,180px,列宽度,级联面板每列宽度180px,High
Column,Column Min Width,120px,列最小宽度,级联面板每列最小宽度120px,Medium
Column,Column Max Height,256px,列最大高度,级联面板每列最大高度256px,High
Column,Column Border Right,1px solid #E5E6EB,列右边框,级联面板列右侧分隔线,Medium
Column,Column Padding,4px 0,列内边距,级联面板列上下内边距4px,Medium
Column,Column Count Max,4,最大列数,级联面板最多显示4列,Medium
Option,Option Height,36px,选项高度,级联选项高度36px,High
Option,Option Padding,0 12px,选项内边距,级联选项左右内边距12px,High
Option,Option Font Size,14px,选项字号,级联选项文字14px,High
Option,Option Color,#1D2129,选项颜色,级联选项深色文字,High
Option,Option Background,transparent,选项背景,级联选项透明背景,Medium
