
RangeSelector,Range Selector Layout,flex,范围选择器布局,范围选择器flex布局,High
RangeSelector,Range Selector Align,center,范围选择器对齐,范围选择器垂直居中,Medium
RangeSelector,Range Start Input,开始日期,开始输入框,范围选择开始日期输入框,High
RangeSelector,Range End Input,结束日期,结束输入框,范围选择结束日期输入框,High
RangeSelector,Range Separator Icon,SwapRightOutlined,范围分隔图标,范围选择器箭头分隔图标,Medium
RangeSelector,Range Separator Text,~,范围分隔文字,范围选择器波浪线分隔,High
RangeSelector,Range Separator Width,24px,范围分隔宽度,分隔符宽度24px,Medium
RangeSelector,Range Separator Color,#86909C,范围分隔颜色,分隔符灰色,Medium
RangeSelector,Range Separator Margin,0 8px,范围分隔间距,分隔符左右间距8px,Medium
RangeSelector,Range Input Placeholder Start,开始日期,开始占位符,开始日期输入框占位符,High
RangeSelector,Range Input Placeholder End,结束日期,结束占位符,结束日期输入框占位符,High
RangeSelector,Range Combined Border,1px solid #E5E6EB,组合边框,范围选择器组合边框,Medium
RangeSelector,Range Combined Border Radius,2px,组合圆角,范围选择器组合圆角2px,Medium
RangeSelector,Range Active Input Border,1px solid #165DFF,激活输入框边框,激活输入框蓝色边框,High
RangeSelector,Range Active Input Background,#FFFFFF,激活输入框背景,激活输入框白色背景,Medium
RangePanel,Range Panel Layout,flex,范围面板布局,范围面板flex布局,High
RangePanel,Range Panel Gap,16px,范围面板间距,两个面板间距16px,Medium
RangePanel,Range Panel Divider,1px solid #E5E6EB,面板分隔线,范围面板中间分隔线,Medium
RangePanel,Range Panel Divider Height,100%,分隔线高度,分隔线高度100%,Medium
RangePanel,Range Panel Single Width,280px,单面板宽度,范围面板单侧宽度280px,High
RangePanel,Range Active Panel,start/end,激活面板,当前激活的面板start或end,Medium
RangePanel,Range Sync Scroll,true,同步滚动,范围面板月份同步滚动,Medium
Layout,Layout Vertical,垂直结构,垂直布局,标签在上输入框在下的垂直布局,High
Layout,Layout Horizontal,水平结构,水平布局,标签在左输入框在右的水平布局,High
Layout,Vertical Label Position,top,垂直标签位置,垂直结构标签在顶部,High
Layout,Horizontal Label Position,left,水平标签位置,水平结构标签在左侧,High
Layout,Vertical Gap,4px,垂直间距,垂直结构标签与输入框间距4px,Medium
Layout,Horizontal Gap,8px,水平间距,水平结构标签与输入框间距8px,Medium
Label,Label Font Size,14px,标签字号,标签文字字号14px,High
Label,Label Color,#1D2129,标签颜色,标签深色文字#1D2129,High
Label,Label Font Weight,400,标签字重,标签常规字重,Medium
Label,Label Line Height,22px,标签行高,标签行高22px,Medium
Label,Label Required,*,必填标记,必填项显示红色星号,High
Label,Label Required Color,#F53F3F,必填标记颜色,必填星号红色#F53F3F,High
Label,Label Required Position,after,必填标记位置,必填星号在标签后,Medium
DateTime,DateTime Panel Layout,flex,日期时间面板布局,日期时间面板flex布局,High
DateTime,DateTime Date Panel Width,280px,日期面板宽度,日期时间选择器日期面板宽度,High
DateTime,DateTime Time Panel Width,120px,时间面板宽度,日期时间选择器时间面板宽度,High
DateTime,DateTime Divider,1px solid #E5E6EB,面板分隔线,日期和时间面板分隔线,Medium
DateTime,DateTime Time Column Height,224px,时间列高度,时间选择列高度224px,Medium
DateTime,DateTime Time Item Height,28px,时间项高度,时间选择项高度28px,Medium
DateTime,DateTime Format,YYYY-MM-DD HH:mm:ss,日期时间格式,日期时间完整格式,High
