Category,Name,Value,Usage,Description,Severity
Purpose,Anchor Purpose,页面分区跳转,锚点用途,在各个页面分区之间跳转导航,High
Purpose,Anchor Scenario,内容过长时使用,使用场景,当平铺呈现的内容过长时使用锚点导航,High
Purpose,Anchor Behavior,点击跳转到指定位置,锚点行为,点击锚点项跳转到页面指定位置,High
Structure,Anchor Width,auto,锚点宽度,锚点导航宽度自适应内容,Medium
Structure,Anchor Min Width,120px,锚点最小宽度,锚点导航最小宽度120px,Low
Structure,Anchor Max Width,200px,锚点最大宽度,锚点导航最大宽度200px,Low
Structure,Anchor Position,fixed/absolute,锚点定位,锚点导航固定或绝对定位,High
Structure,Anchor Top,auto,锚点顶部距离,锚点距离顶部距离自适应,Medium
Structure,Anchor Right,24px,锚点右侧距离,锚点距离右侧24px,Medium
Structure,Anchor Background,transparent,锚点背景,锚点导航透明背景,Low
Structure,Anchor Padding,0,锚点内边距,锚点导航无内边距,Low
Indicator,Indicator Show,true,显示指示器,显示左侧竖线指示器,High
Indicator,Indicator Width,2px,指示器宽度,左侧指示器宽度2px,High
Indicator,Indicator Color,#165DFF,指示器颜色,指示器蓝色#165DFF,High
Indicator,Indicator Height,auto,指示器高度,指示器高度与当前项等高,Medium
Indicator,Indicator Position,left,指示器位置,指示器在锚点项左侧,High
Indicator,Indicator Transition,0.2s,指示器过渡,指示器滑动动画0.2s,Medium
Indicator,Indicator Border Radius,1px,指示器圆角,指示器圆角1px,Low
Rail,Rail Show,true,显示轨道线,显示左侧轨道线,Medium
Rail,Rail Width,1px,轨道线宽度,轨道线宽度1px,Medium
Rail,Rail Color,#E5E6EB,轨道线颜色,轨道线灰色#E5E6EB,Medium
Rail,Rail Position,left,轨道线位置,轨道线在锚点项左侧,Medium
Rail,Rail Offset,8px,轨道线偏移,轨道线距离左边缘8px,Low
Item,Item Height,32px,锚点项高度,一级锚点项高度32px,High
Item,Item Padding,0 0 0 12px,锚点项内边距,锚点项左内边距12px,High
Item,Item Font Size,14px,锚点项字号,锚点项文字14px,High
Item,Item Line Height,32px,锚点项行高,锚点项行高32px,Medium
Item,Item Color,#4E5969,锚点项颜色,锚点项默认灰色文字,High
Item,Item Hover Color,#165DFF,锚点项悬停颜色,锚点项悬停蓝色文字,Medium
Item,Item Active Color,#165DFF,锚点项激活颜色,锚点项激活蓝色文字,High
Item,Item Active Font Weight,500,锚点项激活字重,锚点项激活中等字重,Medium
Item,Item Cursor,pointer,锚点项光标,锚点项可点击光标,Low
Item,Item Transition,color 0.2s,锚点项过渡,锚点项颜色过渡0.2s,Low
Item,Item Ellipsis,true,锚点项省略,锚点项文字过长显示省略号,Low
Item,Item Max Width,180px,锚点项最大宽度,锚点项最大宽度180px,Low
SubItem,SubItem Height,28px,二级锚点项高度,二级锚点项高度28px,Medium
